method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
continuous_fiqa,0.01,1,1,0.009257738056121442,0.009257738056121442,0.009257738056121442,0.0015060490210681364,0.0015060490210681364,0.0015060490210681364
continuous_fiqa,0.05,1,1,0.046978708023920616,0.046978708023920616,0.046978708023920616,0.006719295632457839,0.006719295632457839,0.006719295632457839
continuous_fiqa,0.1,1,1,0.09520601958336071,0.09520601958336071,0.09520601958336071,0.012528341856577793,0.012528341856577793,0.012528341856577793
continuous_fiqa,0.2,1,1,0.19242459091805217,0.19242459091805217,0.19242459091805217,0.02403058438012015,0.02403058438012015,0.02403058438012015
continuous_fiqa,0.3,1,1,0.2893556548596964,0.2893556548596964,0.2893556548596964,0.034523277559869586,0.034523277559869586,0.034523277559869586
continuous_fiqa_margin,0.01,1,1,0.009545245449168693,0.009545245449168693,0.009545245449168693,0.0009433493868228986,0.0009433493868228986,0.0009433493868228986
continuous_fiqa_margin,0.05,1,1,0.047323716895577315,0.047323716895577315,0.047323716895577315,0.0053621965145722655,0.0053621965145722655,0.0053621965145722655
continuous_fiqa_margin,0.1,1,1,0.09492672668725767,0.09492672668725767,0.09492672668725767,0.01150224252354236,0.01150224252354236,0.01150224252354236
continuous_fiqa_margin,0.2,1,1,0.19163599921140828,0.19163599921140828,0.19163599921140828,0.022971385068599706,0.022971385068599706,0.022971385068599706
continuous_fiqa_margin,0.3,1,1,0.28974995071301834,0.28974995071301834,0.28974995071301834,0.03374542806547176,0.03374542806547176,0.03374542806547176
continuous_fiqa_margin_distortion,0.01,1,1,0.009791680357494907,0.009791680357494907,0.009791680357494907,0.0008936994190953776,0.0008936994190953776,0.0008936994190953776
continuous_fiqa_margin_distortion,0.05,1,0,0.05125846093185253,0.05125846093185253,0.05125846093185253,0.005378746503814772,0.005378746503814772,0.005378746503814772
continuous_fiqa_margin_distortion,0.1,1,0,0.10133403430373925,0.10133403430373925,0.10133403430373925,0.01050924316899194,0.01050924316899194,0.01050924316899194
continuous_fiqa_margin_distortion,0.2,1,0,0.2028159295524742,0.2028159295524742,0.2028159295524742,0.020985386359498866,0.020985386359498866,0.020985386359498866
continuous_fiqa_margin_distortion,0.3,1,0,0.3052671354406256,0.3052671354406256,0.3052671354406256,0.03098157986197309,0.03098157986197309,0.03098157986197309
continuous_fiqa_runnerup,0.01,1,1,0.009356312019451928,0.009356312019451928,0.009356312019451928,0.006421395826092713,0.006421395826092713,0.006421395826092713
continuous_fiqa_runnerup,0.05,1,0,0.050535585200762304,0.050535585200762304,0.050535585200762304,0.0111215927709647,0.0111215927709647,0.0111215927709647
continuous_fiqa_runnerup,0.1,1,0,0.10147368075179077,0.10147368075179077,0.10147368075179077,0.014299190705526042,0.014299190705526042,0.014299190705526042
continuous_fiqa_runnerup,0.2,1,0,0.2011894591575212,0.2011894591575212,0.2011894591575212,0.01837048805918276,0.01837048805918276,0.01837048805918276
continuous_fiqa_runnerup,0.3,1,1,0.2994101991194059,0.2994101991194059,0.2994101991194059,0.021001936348741375,0.021001936348741375,0.021001936348741375
fiqa_2bin,0.01,1,1,0.009816323848327528,0.009816323848327528,0.009816323848327528,0.0009102494083378846,0.0009102494083378846,0.0009102494083378846
fiqa_2bin,0.05,1,1,0.04496615627258987,0.04496615627258987,0.04496615627258987,0.0051470466544196744,0.0051470466544196744,0.0051470466544196744
fiqa_2bin,0.1,1,1,0.09083590720904251,0.09083590720904251,0.09083590720904251,0.01084024295384208,0.01084024295384208,0.01084024295384208
fiqa_2bin,0.2,1,1,0.18397187356246303,0.18397187356246303,0.18397187356246303,0.022110785627989342,0.022110785627989342,0.022110785627989342
fiqa_2bin,0.3,1,1,0.2797611224288625,0.2797611224288625,0.2797611224288625,0.03301722853880145,0.03301722853880145,0.03301722853880145
fiqa_5bin,0.01,1,0,0.010194190707761057,0.010194190707761057,0.010194190707761057,0.0013239991394005594,0.0013239991394005594,0.0013239991394005594
fiqa_5bin,0.05,1,1,0.04647762371032398,0.04647762371032398,0.04647762371032398,0.005511146417754829,0.005511146417754829,0.005511146417754829
fiqa_5bin,0.1,1,1,0.09256916606427022,0.09256916606427022,0.09256916606427022,0.011535342502027373,0.011535342502027373,0.011535342502027373
fiqa_5bin,0.2,1,1,0.18559834395741603,0.18559834395741603,0.18559834395741603,0.022772785197689622,0.022772785197689622,0.022772785197689622
fiqa_5bin,0.3,1,1,0.282044752579352,0.282044752579352,0.282044752579352,0.03396057792562435,0.03396057792562435,0.03396057792562435
global_safe,0.01,1,1,0.009914897811658014,0.009914897811658014,0.009914897811658014,0.0009764493653079125,0.0009764493653079125,0.0009764493653079125
global_safe,0.05,1,1,0.045491884077019124,0.045491884077019124,0.045491884077019124,0.005246346589874717,0.005246346589874717,0.005246346589874717
global_safe,0.1,1,1,0.09201058027206414,0.09201058027206414,0.09201058027206414,0.01100574284626715,0.01100574284626715,0.01100574284626715
global_safe,0.2,1,1,0.18526154958270355,0.18526154958270355,0.18526154958270355,0.02128328616586399,0.02128328616586399,0.02128328616586399
global_safe,0.3,1,1,0.27987612538608136,0.27987612538608136,0.27987612538608136,0.03197457921652351,0.03197457921652351,0.03197457921652351
