schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,partition_seed,tpir_cluster95_low,tpir_cluster95_high
2,genuine-score-topk-v2,20,conditional-threshold-cc8be883f60a6731b5174bc8,global_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1389,1,0.011409936255503713,0.010828556837984124,0.012022150255812039,1.6549989242506992e-05,2.921485459104056e-06,9.374844928628428e-05,False,False,False,8972,0.0,5.177124566255694e-05
2,genuine-score-topk-v2,20,conditional-threshold-53e9bcf9a6eb493a115de180,fiqa_2bin,0.01,negative_squared_l2_adc,182159,121736,60423,1316,3,0.010810277978576591,0.010244624408853646,0.011406803975109587,4.964996772752098e-05,1.6885609984492088e-05,0.00014598007326325498,False,False,False,8972,0.0,0.00013398483908531295
2,genuine-score-topk-v2,20,conditional-threshold-2ff1a753d86a59162fcb7606,fiqa_5bin,0.01,negative_squared_l2_adc,182159,121736,60423,1271,11,0.01044062561608727,0.009884891106875252,0.011027255880615625,0.0001820498816675769,0.00010166019422344313,0.0003259884830337389,False,False,False,8972,6.370370593055103e-05,0.0003437503271022064
2,genuine-score-topk-v2,20,continuous-threshold-42984da82faa6cec41512a91,continuous_fiqa,0.01,negative_squared_l2_adc,182159,121736,60423,1294,48,0.010629559045804034,0.010068732578460094,0.011221269345005542,0.0007943994836403357,0.000599268008606345,0.001053002015944474,False,False,False,8972,0.00043822503724760744,0.0012799442167496335
2,genuine-score-topk-v2,20,continuous-threshold-56660fb33cd6cca2cead1de9,continuous_fiqa_margin,0.01,negative_squared_l2_adc,182159,121736,60423,1294,48,0.010629559045804034,0.010068732578460094,0.011221269345005542,0.0007943994836403357,0.000599268008606345,0.001053002015944474,False,False,False,8972,0.00043822503724760744,0.0012799442167496335
2,genuine-score-topk-v2,20,continuous-threshold-fd3b8ab4482984591f7cca83,continuous_fiqa_margin_distortion,0.01,negative_squared_l2_adc,182159,121736,60423,1726,127,0.014178221725701518,0.013529262016113744,0.014857841313486496,0.002101848633798388,0.0017669769981677665,0.0025000250922262235,False,False,False,8972,0.001052615400649316,0.0034560325265438263
2,genuine-score-topk-v2,20,continuous-threshold-588cc772518935457ff7479b,continuous_fiqa_runnerup,0.01,negative_squared_l2_adc,182159,121736,60423,1237,518,0.010161332719984229,0.009613213182385014,0.010740365638882308,0.008572894427618622,0.007868404282576754,0.009339866640028371,False,False,False,8972,0.005918028431432626,0.011543731322721506
2,genuine-score-topk-v2,20,conditional-threshold-e75a172f6a9cc0ec758ab244,global_safe,0.05,negative_squared_l2_adc,182159,121736,60423,6269,81,0.05149668134323454,0.050269270058126515,0.0527523973642272,0.0013405491286430664,0.001078801188894841,0.001665698685944897,False,False,False,8972,0.0008041736768297146,0.0019694426155334815
2,genuine-score-topk-v2,20,conditional-threshold-e205a8457b6207aca970843c,fiqa_2bin,0.05,negative_squared_l2_adc,182159,121736,60423,6218,99,0.051077741999079974,0.049855130657037505,0.05232868451598087,0.0016384489350081922,0.0013461051036167651,0.0019941565077442017,False,False,False,8972,0.001006759056840611,0.0024284939912191314
2,genuine-score-topk-v2,20,conditional-threshold-b6142a3f72695e75a46ac074,fiqa_5bin,0.05,negative_squared_l2_adc,182159,121736,60423,6290,177,0.05166918577906289,0.05043980469675189,0.052926860710622255,0.0029293480959237377,0.0025288857240994434,0.003393010078853516,False,False,False,8972,0.002112420868618951,0.003846824266057543
