partition_seed,target_fpir,reference_method,candidate_method,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,bootstrap_seed
8972,0.01,global_safe,fiqa_2bin,fpir,1389,1316,1145,121736,-0.000599658276927121,-0.0009284435171190112,-0.0002792928961030427,query,2000,8972
8972,0.01,global_safe,fiqa_2bin,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972
8972,0.01,global_safe,fiqa_5bin,fpir,1389,1271,1059,121736,-0.0009693106394164421,-0.0013471774988499704,-0.0006076674114477241,query,2000,8972
8972,0.01,global_safe,fiqa_5bin,tpir_at_rank_k,1,11,1,60423,0.00016549989242506993,4.9693924782932436e-05,0.0003210409133101421,mated_identity_cluster,2000,8972
8972,0.01,global_safe,continuous_fiqa,fpir,1389,1294,1046,121736,-0.000780377209699678,-0.0011828875599658277,-0.0003860813563777354,query,2000,8972
8972,0.01,global_safe,continuous_fiqa,tpir_at_rank_k,1,48,0,60423,0.0007778494943978286,0.0004150660185232844,0.0012734621848727765,mated_identity_cluster,2000,8972
8972,0.01,global_safe,continuous_fiqa_margin,fpir,1389,1294,1046,121736,-0.000780377209699678,-0.0011828875599658277,-0.0003860813563777354,query,2000,8972
8972,0.01,global_safe,continuous_fiqa_margin,tpir_at_rank_k,1,48,0,60423,0.0007778494943978286,0.0004150660185232844,0.0012734621848727765,mated_identity_cluster,2000,8972
8972,0.01,global_safe,continuous_fiqa_margin_distortion,fpir,1389,1726,521,121736,0.0027682854701978053,0.0020207662482749555,0.0035322336860090686,query,2000,8972
8972,0.01,global_safe,continuous_fiqa_margin_distortion,tpir_at_rank_k,1,127,0,60423,0.002085298644555881,0.0010203131708905145,0.003441255330686707,mated_identity_cluster,2000,8972
8972,0.01,global_safe,continuous_fiqa_runnerup,fpir,1389,1237,98,121736,-0.0012486035355194847,-0.00207847308930801,-0.00043536833804297826,query,2000,8972
8972,0.01,global_safe,continuous_fiqa_runnerup,tpir_at_rank_k,1,518,0,60423,0.008556344438376115,0.005916291793493216,0.011524596482182504,mated_identity_cluster,2000,8972
8972,0.01,fiqa_2bin,fiqa_5bin,fpir,1316,1271,1068,121736,-0.00036965236248932116,-0.0007064467372018138,-4.1072484721035685e-05,query,2000,8972
8972,0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,3,11,1,60423,0.00013239991394005594,0.0,0.0002945206687075897,mated_identity_cluster,2000,8972
8972,0.01,fiqa_2bin,continuous_fiqa,fpir,1316,1294,1079,121736,-0.00018071893277255702,-0.0005423621607412758,0.0001398518104751254,query,2000,8972
8972,0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,3,48,1,60423,0.0007447495159128147,0.00038543287484290207,0.001228886726633012,mated_identity_cluster,2000,8972
8972,0.01,fiqa_5bin,continuous_fiqa,fpir,1271,1294,1102,121736,0.00018893342971676414,-0.00011500295721889991,0.00048465531970822107,query,2000,8972
