method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
continuous_fiqa,0.01,20,10,0.00809127949004403,0.009914897811658014,0.010342051652756786,0.0012743491716730383,0.0016384489350081922,0.0017211988812207272
continuous_fiqa,0.05,20,20,0.03763061050141289,0.04525777091410922,0.04726621541696786,0.00577594624563494,0.006454495804577727,0.006719295632457839
continuous_fiqa,0.1,20,20,0.08065814549516988,0.09318525333508576,0.09540316751002169,0.011138142760207206,0.012338016980288963,0.012528341856577793
continuous_fiqa,0.2,20,20,0.17608595649602418,0.18916343563120197,0.19269566931721102,0.02232593548814193,0.023658209622163744,0.02403058438012015
continuous_fiqa,0.3,20,20,0.27144805152132484,0.2857453834527174,0.29039889597161067,0.03262002879698128,0.03397712791486686,0.03465567747380964
continuous_fiqa_margin,0.01,20,8,0.008288427416705001,0.01026812118025892,0.010678846027469277,0.0007778494943978286,0.000918524402959138,0.0009764493653079125
continuous_fiqa_margin,0.05,20,20,0.03771275547085497,0.04614904383255569,0.047841230203062364,0.004418847127749367,0.005213246611389702,0.0053621965145722655
continuous_fiqa_margin,0.1,20,20,0.07980383781297233,0.0925486298219097,0.09548531247946376,0.009565893782169042,0.011138142760207206,0.011568442480512389
continuous_fiqa_margin,0.2,20,20,0.17556022869159493,0.18837073667608595,0.19194815009528818,0.021150886251923937,0.022574185326779538,0.02298793505784221
continuous_fiqa_margin,0.3,20,20,0.2709551817046724,0.2850923309456529,0.28974995071301834,0.032106979130463564,0.033323403339787824,0.03377852804395677
continuous_fiqa_margin_distortion,0.01,20,8,0.008009134520601958,0.01014079647762371,0.010514556088585135,0.0006785495589427867,0.0008936994190953776,0.0009598993760654055
continuous_fiqa_margin_distortion,0.05,20,15,0.03995531313662351,0.04965252677926004,0.05138167838601564,0.004154047299869255,0.0050891216920709,0.005378746503814772
continuous_fiqa_margin_distortion,0.1,20,14,0.08406716172701584,0.09804002102911218,0.10180226062955905,0.008771494298528706,0.010136868411035532,0.010525793158234447
continuous_fiqa_margin_distortion,0.2,20,12,0.1846290333179996,0.19944387855687717,0.20288986002497206,0.01903248762888304,0.02056336163381494,0.021084686294953907
continuous_fiqa_margin_distortion,0.3,20,8,0.28413123480318064,0.3003795097588224,0.3052671354406256,0.02916108104529732,0.0305347301524254,0.03098157986197309
continuous_fiqa_runnerup,0.01,20,14,0.008271998422816586,0.009775251363606493,0.01018597621081685,0.006255895933667643,0.006446220809956474,0.006653095675487811
continuous_fiqa_runnerup,0.05,20,3,0.04818623907471906,0.05199365840835907,0.0528274298481961,0.010873342932327093,0.011187792727934727,0.011303642652632276
continuous_fiqa_runnerup,0.1,20,1,0.09887789971742131,0.10383945587172241,0.10493198396530197,0.014199890770071,0.014348840673253562,0.014464690597951111
continuous_fiqa_runnerup,0.2,20,2,0.19761615298679108,0.20268039035289478,0.20440132746270617,0.018304288102212733,0.01841186303228903,0.01848633798388031
continuous_fiqa_runnerup,0.3,20,6,0.2970854964841953,0.3010900637444963,0.302901360320694,0.020968836370256358,0.02103503632722639,0.021101236284196415
fiqa_2bin,0.01,20,13,0.008074850496155615,0.009816323848327528,0.010202405204705264,0.0006619995697002797,0.0009102494083378846,0.0009598993760654055
fiqa_2bin,0.05,20,20,0.03651343891700072,0.04369701649470986,0.045491884077019124,0.004054747364414213,0.004882246826539562,0.005246346589874717
fiqa_2bin,0.1,20,20,0.07811165144246567,0.08937783400144575,0.09178878885457055,0.009251443986561409,0.010625093093689489,0.010989192857024642
fiqa_2bin,0.2,20,20,0.16768252612210027,0.181273411316291,0.18506440165604257,0.020273736822071065,0.021879085778594244,0.02234248547738444
fiqa_2bin,0.3,20,20,0.26026812118025894,0.27666014983242426,0.2806975750805021,0.03088227992651805,0.03265312877546629,0.03309997848501398
fiqa_5bin,0.01,20,12,0.008452717355589143,0.009799894854439113,0.01044062561608727,0.0009929993545504195,0.0012412491931880244,0.0013570991178855733
fiqa_5bin,0.05,20,20,0.041129986199645134,0.046210652559637244,0.04767694026417822,0.004700196944871986,0.005511146417754829,0.0059083461595749965
fiqa_5bin,0.1,20,20,0.08556220017086154,0.09248291384635604,0.0944913583492147,0.010409943233536898,0.011527067507406119,0.011866342286877513
fiqa_5bin,0.2,20,20,0.17573273312742327,0.18524101334034304,0.18783268712624038,0.0212998361551065,0.0225990103106433,0.023021035036327225
fiqa_5bin,0.3,20,20,0.27005980153775383,0.2809563317342446,0.28348228954458826,0.03263657878622379,0.033869552984790566,0.03439087764592953
global_safe,0.01,20,13,0.007926989551159887,0.009832752842215943,0.010374909640533614,0.0007612995051553217,0.0009598993760654055,0.0010260993330354336
global_safe,0.05,20,20,0.036258789511730304,0.04396398764539659,0.04563974502201485,0.004154047299869255,0.004956721778130844,0.005279446568359731
global_safe,0.1,20,20,0.07728198725110075,0.09026089242294802,0.0927663139909312,0.008920444201711269,0.010757493007629544,0.011105042781722191
global_safe,0.2,20,20,0.16664749950713018,0.18087500821449692,0.18526154958270355,0.019115237575095576,0.02090263641328633,0.02128328616586399
global_safe,0.3,20,20,0.25839521587697967,0.27587977262272456,0.27987612538608136,0.029641030733330024,0.03144497956076329,0.03197457921652351
