method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,0.01,conditional-threshold-59eb2880411a849dd7747098,all,98825,0,-0.3938274681568146,1.0,-0.3938274681568146,,-0.3938274681568146,False,0.009997470275739944,,True,
global_safe,0.01,conditional-threshold-a7106b9216d1a5fc011bcfd7,all,73447,25378,-0.39379042387008667,1.0,-0.39379042387008667,-0.393700510263443,-0.393700510263443,False,0.009979985567824418,0.009969264717471825,True,True
fiqa_s_2bin,0.01,conditional-threshold-d518575f7300f4291b095118,low,36600,12634,-0.3821442127227783,0.9945652173913043,-0.3821442127227783,-0.3817059099674225,-0.3817059099674225,False,0.009808743169398906,0.009973088491372488,True,True
fiqa_s_2bin,0.01,conditional-threshold-d518575f7300f4291b095118,high,36847,12744,-0.4116106331348419,0.9946014522093557,-0.41151442988348685,-0.4072587192058563,-0.4072587192058563,False,0.008955952994816403,0.009965473948524796,True,True
fiqa_l_2bin,0.01,conditional-threshold-d687fd1741adf24a88a9b4b8,low,36880,12160,-0.3838913142681122,0.9946062567421791,-0.3838913142681122,-0.3861722946166992,-0.3838913142681122,False,0.009978308026030369,0.009046052631578948,True,True
fiqa_l_2bin,0.01,conditional-threshold-d687fd1741adf24a88a9b4b8,high,36567,13218,-0.40675437450408936,0.9945603394348193,-0.40668385501305665,-0.401015043258667,-0.401015043258667,False,0.008532283206169496,0.009986382206082615,True,True
fiqa_s_5bin,0.01,conditional-threshold-aa6d3b22c519c54f450fcd10,q1,14509,4947,-0.3779962360858917,0.9864028825888912,-0.3779962360858917,-0.3742874264717102,-0.3742874264717102,False,0.00827072851333655,0.009904992925005053,True,True
fiqa_s_5bin,0.01,conditional-threshold-aa6d3b22c519c54f450fcd10,q2,14732,5142,-0.3837831914424896,0.98660594695955,-0.3837831914424896,-0.38368654251098633,-0.38368654251098633,False,0.00984251968503937,0.009918319719953326,True,True
fiqa_s_5bin,0.01,conditional-threshold-aa6d3b22c519c54f450fcd10,q3,14684,5025,-0.39151084423065186,0.9865627519484009,-0.39151084423065186,-0.39773499965667725,-0.39151084423065186,False,0.009942794878779623,0.008756218905472637,True,True
fiqa_s_5bin,0.01,conditional-threshold-aa6d3b22c519c54f450fcd10,q4,14762,5130,-0.4017776548862457,0.9866328031011897,-0.40167088799657646,-0.3967159390449524,-0.3967159390449524,False,0.008399945806801246,0.009941520467836258,True,True
fiqa_s_5bin,0.01,conditional-threshold-aa6d3b22c519c54f450fcd10,q5,14760,5134,-0.44642505049705505,0.9866310160427807,-0.4457213790180849,-0.4449736773967743,-0.4449736773967743,False,0.009552845528455284,0.009933774834437087,True,True
fiqa_l_5bin,0.01,conditional-threshold-5266d27e1768e892ffd05f0c,q1,14722,4610,-0.3935367166996002,0.9865969709154269,-0.3935367166996002,-0.3994927704334259,-0.3935367166996002,False,0.009985056378209482,0.0078091106290672455,True,True
fiqa_l_5bin,0.01,conditional-threshold-5266d27e1768e892ffd05f0c,q2,14739,4774,-0.3821442127227783,0.9866122230403641,-0.3821442127227783,-0.38262641429901123,-0.3821442127227783,False,0.009973539588845918,0.009426057813154587,True,True
fiqa_l_5bin,0.01,conditional-threshold-5266d27e1768e892ffd05f0c,q3,14831,5423,-0.3775370419025421,0.9866941653915242,-0.3775370419025421,-0.3760918080806732,-0.3760918080806732,False,0.00937226080507046,0.009957588050894339,True,True
fiqa_l_5bin,0.01,conditional-threshold-5266d27e1768e892ffd05f0c,q4,14640,5580,-0.39883187413215637,0.9865229110512129,-0.3987639300585436,-0.395471453666687,-0.395471453666687,False,0.008674863387978142,0.00985663082437276,True,True
fiqa_l_5bin,0.01,conditional-threshold-5266d27e1768e892ffd05f0c,q5,14515,4991,-0.5483921766281128,0.9864084267753993,-0.5462908955848504,-0.5408622026443481,-0.5408622026443481,False,0.008680675163623837,0.009817671809256662,True,True
global_empirical,0.05,conditional-threshold-bb04da7585d7b78ee19a1ccf,all,98825,0,-0.46756935119628906,1.0,-0.46756935119628906,,-0.46756935119628906,False,0.04999747027573995,,True,
global_safe,0.05,conditional-threshold-9cb37a0ee56048f94f0e921a,all,73447,25378,-0.4675920307636261,1.0,-0.4675920307636261,-0.46736276149749756,-0.46736276149749756,False,0.049750159979304806,0.04996453621246749,True,True
fiqa_s_2bin,0.05,conditional-threshold-055a24801a86bdc160ca86f5,low,36600,12634,-0.45267775654792786,0.9945652173913043,-0.45267775654792786,-0.4513823091983795,-0.4513823091983795,False,0.048797814207650274,0.04994459395282571,True,True
fiqa_s_2bin,0.05,conditional-threshold-055a24801a86bdc160ca86f5,high,36847,12744,-0.4928325414657593,0.9946014522093557,-0.4926962793624735,-0.4905516505241394,-0.4905516505241394,False,0.048280728417510244,0.049984306340238545,True,True
fiqa_l_2bin,0.05,conditional-threshold-797be06853b2f95413d29380,low,36880,12160,-0.4530889391899109,0.9946062567421791,-0.4530889391899109,-0.45231541991233826,-0.45231541991233826,False,0.049078091106290675,0.05,True,True
fiqa_l_2bin,0.05,conditional-threshold-797be06853b2f95413d29380,high,36567,13218,-0.4897330105304718,0.9945603394348193,-0.4896125711159596,-0.4871642291545868,-0.4871642291545868,False,0.04804878715781989,0.04993191103041307,True,True
fiqa_s_5bin,0.05,conditional-threshold-929336e4be51ec259ff84da1,q1,14509,4947,-0.4480836093425751,0.9864028825888912,-0.4480836093425751,-0.4483741521835327,-0.4480836093425751,False,0.04996898476807499,0.04972710733778047,True,True
fiqa_s_5bin,0.05,conditional-threshold-929336e4be51ec259ff84da1,q2,14732,5142,-0.45041051506996155,0.98660594695955,-0.45041051506996155,-0.45120710134506226,-0.45041051506996155,False,0.04995927233233777,0.048813691170750684,True,True
fiqa_s_5bin,0.05,conditional-threshold-929336e4be51ec259ff84da1,q3,14684,5025,-0.464954674243927,0.9865627519484009,-0.464954674243927,-0.46342527866363525,-0.46342527866363525,False,0.048351947698174885,0.0499502487562189,True,True
fiqa_s_5bin,0.05,conditional-threshold-929336e4be51ec259ff84da1,q4,14762,5130,-0.47864142060279846,0.9866328031011897,-0.47849372123320655,-0.47036466002464294,-0.47036466002464294,False,0.044777130470126,0.04990253411306043,True,True
fiqa_s_5bin,0.05,conditional-threshold-929336e4be51ec259ff84da1,q5,14760,5134,-0.5397357940673828,0.9866310160427807,-0.5387713052531614,-0.5317671895027161,-0.5317671895027161,False,0.044783197831978316,0.049863654070899883,True,True
fiqa_l_5bin,0.05,conditional-threshold-4c719030fb35d9e89b15385d,q1,14722,4610,-0.4662964940071106,0.9865969709154269,-0.4662964940071106,-0.4669845998287201,-0.4662964940071106,False,0.049993207444640676,0.04945770065075922,True,True
fiqa_l_5bin,0.05,conditional-threshold-4c719030fb35d9e89b15385d,q2,14739,4774,-0.44806912541389465,0.9866122230403641,-0.44806912541389465,-0.4428052008152008,-0.4428052008152008,False,0.04498269896193772,0.04985337243401759,True,True
fiqa_l_5bin,0.05,conditional-threshold-4c719030fb35d9e89b15385d,q3,14831,5423,-0.44216570258140564,0.9866941653915242,-0.44216570258140564,-0.44549041986465454,-0.44216570258140564,False,0.04996291551480008,0.047759542688548776,True,True
fiqa_l_5bin,0.05,conditional-threshold-4c719030fb35d9e89b15385d,q4,14640,5580,-0.47178366780281067,0.9865229110512129,-0.47172717673759257,-0.4652860462665558,-0.4652860462665558,False,0.04412568306010929,0.05,True,True
fiqa_l_5bin,0.05,conditional-threshold-4c719030fb35d9e89b15385d,q5,14515,4991,-0.6576228737831116,0.9864084267753993,-0.6550400556652797,-0.65152907371521,-0.65152907371521,False,0.04567688598002067,0.049889801642957324,True,True
global_empirical,0.1,conditional-threshold-786a8d6e0b48fae5ce925e67,all,98825,0,-0.5153154730796814,1.0,-0.5153154730796814,,-0.5153154730796814,False,0.0999949405514799,,True,
global_safe,0.1,conditional-threshold-68cb0a5f61d7176b745dd087,all,73447,25378,-0.5155245661735535,1.0,-0.5155245661735535,-0.5147621035575867,-0.5147621035575867,False,0.09915993845902488,0.09996847663330444,True,True
fiqa_s_2bin,0.1,conditional-threshold-e80d1361e9ea6b6e9fc6e181,low,36600,12634,-0.49436983466148376,0.9945652173913043,-0.49436983466148376,-0.49677830934524536,-0.49436983466148376,False,0.1,0.09735634003482665,True,True
fiqa_s_2bin,0.1,conditional-threshold-e80d1361e9ea6b6e9fc6e181,high,36847,12744,-0.5468084812164307,0.9946014522093557,-0.5466395935059932,-0.5408514738082886,-0.5408514738082886,False,0.0937661139305778,0.09996861268047709,True,True
fiqa_l_2bin,0.1,conditional-threshold-b479da4fc6fbe9805682bff5,low,36880,12160,-0.49594709277153015,0.9946062567421791,-0.49594709277153015,-0.49699369072914124,-0.49594709277153015,False,0.1,0.09868421052631579,True,True
fiqa_l_2bin,0.1,conditional-threshold-b479da4fc6fbe9805682bff5,high,36567,13218,-0.5458704233169556,0.9945603394348193,-0.545705352154536,-0.5408332347869873,-0.5408332347869873,False,0.0951130800995433,0.09993947647147829,True,True
fiqa_s_5bin,0.1,conditional-threshold-fa41960a962e2973eb2cbad3,q1,14509,4947,-0.48967185616493225,0.9864028825888912,-0.48967185616493225,-0.49231281876564026,-0.48967185616493225,False,0.09993796953614997,0.09581564584596726,True,True
fiqa_s_5bin,0.1,conditional-threshold-fa41960a962e2973eb2cbad3,q2,14732,5142,-0.49330294132232666,0.98660594695955,-0.49330294132232666,-0.49677830934524536,-0.49330294132232666,False,0.09998642411077925,0.09646052119797745,True,True
fiqa_s_5bin,0.1,conditional-threshold-fa41960a962e2973eb2cbad3,q3,14684,5025,-0.5128188133239746,0.9865627519484009,-0.5128188133239746,-0.5065791010856628,-0.5065791010856628,False,0.09268591664396622,0.0999004975124378,True,True
fiqa_s_5bin,0.1,conditional-threshold-fa41960a962e2973eb2cbad3,q4,14762,5130,-0.526971697807312,0.9866328031011897,-0.526818681744837,-0.5237127542495728,-0.5237127542495728,False,0.09592196179379488,0.1,True,True
fiqa_s_5bin,0.1,conditional-threshold-fa41960a962e2973eb2cbad3,q5,14760,5134,-0.6067345142364502,0.9866310160427807,-0.6055151299040584,-0.5989243388175964,-0.5989243388175964,False,0.09369918699186992,0.09992208804051422,True,True
fiqa_l_5bin,0.1,conditional-threshold-a3b831eb2fd4751ece5aa124,q1,14722,4610,-0.5082414150238037,0.9865969709154269,-0.5082414150238037,-0.5124641060829163,-0.5082414150238037,False,0.09998641488928135,0.09436008676789588,True,True
fiqa_l_5bin,0.1,conditional-threshold-a3b831eb2fd4751ece5aa124,q2,14739,4774,-0.4900040328502655,0.9866122230403641,-0.4900040328502655,-0.48812979459762573,-0.48812979459762573,False,0.09776782685392496,0.09991621281943863,True,True
