split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,689,0.009380914128555285,-0.3531593382358551,-0.35561149895191213,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.3531593382358551,-0.35329012960195544,[],False,global_safe,0.01
test,all,121736,1.0,1713,0.014071433265426826,-0.3531593382358551,-0.3399116531014443,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,334,0.00912568306010929,-0.34599974751472473,-0.34870307505130765,[0.54886115],False,fiqa_s_2bin,0.01
fit,high,36847,0.5016814846079486,337,0.009145927755312509,-0.36283960938453674,-0.3673445105552673,[0.54886115],False,fiqa_s_2bin,0.01
safety,low,12634,0.49783276853968006,126,0.009973088491372488,-0.34599974751472473,-0.3463413119316101,[0.54886115],False,fiqa_s_2bin,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.36283960938453674,-0.36319839745759985,[0.54886115],False,fiqa_s_2bin,0.01
test,low,59869,0.4917937175527371,864,0.014431508794200671,-0.34599974751472473,-0.33229095458984376,[0.54886115],False,fiqa_s_2bin,0.01
test,high,61867,0.508206282447263,826,0.013351221167989397,-0.36283960938453674,-0.349882917404175,[0.54886115],False,fiqa_s_2bin,0.01
fit,low,36880,0.5021307881874004,366,0.00992407809110629,-0.35883226784944794,-0.35889504909515385,[0.5589450499999999],False,fiqa_l_2bin,0.01
fit,high,36567,0.4978692118125996,310,0.008477589083053025,-0.34689778089523315,-0.351945077776909,[0.5589450499999999],False,fiqa_l_2bin,0.01
safety,low,12160,0.4791551737725589,115,0.009457236842105263,-0.35883226784944794,-0.36041500657796877,[0.5589450499999999],False,fiqa_l_2bin,0.01
safety,high,13218,0.5208448262274411,132,0.009986382206082615,-0.34689778089523315,-0.3478187423944474,[0.5589450499999999],False,fiqa_l_2bin,0.01
test,low,58258,0.4785601629756194,813,0.013955164955885887,-0.35883226784944794,-0.34700674057006836,[0.5589450499999999],False,fiqa_l_2bin,0.01
test,high,63478,0.5214398370243807,896,0.014115126500519866,-0.34689778089523315,-0.3314303037524224,[0.5589450499999999],False,fiqa_l_2bin,0.01
fit,q1,14509,0.19754380709899655,105,0.007236887449169481,-0.33756598830223083,-0.35014929294586183,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q2,14732,0.2005800100752924,145,0.00984251968503937,-0.3464012145996094,-0.34697255611419675,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q3,14684,0.1999264775960897,146,0.009942794878779623,-0.3481459617614746,-0.34859341412782663,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q4,14762,0.20098846787479407,117,0.007925755317707627,-0.35185423493385315,-0.3595893865823746,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
fit,q5,14760,0.2009612373548273,145,0.009823848238482384,-0.3893302000939527,-0.39042619645595555,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q1,4947,0.19493261880368823,49,0.009904992925005053,-0.33756598830223083,-0.33874194860458373,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q2,5142,0.20261643943573174,51,0.009918319719953326,-0.3464012145996094,-0.34676924645900725,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q3,5025,0.19800614705650563,41,0.008159203980099502,-0.3481459617614746,-0.353346779346466,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q4,5130,0.2021435889352983,51,0.009941520467836258,-0.35185423493385315,-0.35290522664785384,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
safety,q5,5134,0.2023012057687761,40,0.007791195948578107,-0.3893302000939527,-0.40054924607276915,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
test,q1,23625,0.1940674903068936,246,0.010412698412698413,-0.33756598830223083,-0.33523885846138024,"[0.402596312, 0.503465532, 0.5970315259999999, 0.73005686]",False,fiqa_s_5bin,0.01
