reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s_2bin,0.01,fpir,1802,1690,1558,121736,-0.0009200236577511993,-0.0012403890385752777,-0.0006078727738713281,query,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.01,tpir_at_rank_k,79,68,62,60423,-0.0001820498816675769,-0.00034294769506525033,-3.451998904430522e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_2bin,0.01,fpir,1713,1690,1530,121736,-0.00018893342971676414,-0.00047644082276401394,0.00010678846027469278,query,2000,8972,False,none
global_safe,fiqa_s_2bin,0.01,tpir_at_rank_k,74,68,60,60423,-9.929993545504196e-05,-0.00021513389885003198,1.591871914119362e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.01,fpir,1802,1709,1641,121736,-0.0007639482158112637,-0.001018597621081685,-0.0005175133074850496,query,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.01,tpir_at_rank_k,79,75,72,60423,-6.619995697002797e-05,-0.00019018832572501062,3.3641589575328315e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_2bin,0.01,fpir,1713,1709,1589,121736,-3.2857987776828546e-05,-0.0002875073930472498,0.0002217914174935927,query,2000,8972,False,none
global_safe,fiqa_l_2bin,0.01,tpir_at_rank_k,74,75,69,60423,1.6549989242506992e-05,-6.819041556993873e-05,0.0001003875772376136,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.01,fpir,1802,1610,1455,121736,-0.0015771834132877703,-0.0019386212788328843,-0.0012239600446868634,query,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.01,tpir_at_rank_k,79,64,60,60423,-0.00024824983863760486,-0.0005138144589437084,-4.855490634935286e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_5bin,0.01,fpir,1713,1610,1448,121736,-0.000846093185253335,-0.0011664585660774135,-0.0005339423013734639,query,2000,8972,False,none
global_safe,fiqa_s_5bin,0.01,tpir_at_rank_k,74,64,60,60423,-0.00016549989242506993,-0.00033119841369251367,-1.6499599899735375e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.01,fpir,1802,1521,1241,121736,-0.0023082736413222054,-0.0027682854701978053,-0.0018400473155023985,query,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.01,tpir_at_rank_k,79,76,44,60423,-4.964996772752098e-05,-0.0004879239573808247,0.00033387427304948516,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_5bin,0.01,fpir,1713,1521,1230,121736,-0.0015771834132877703,-0.0020207662482749555,-0.001141815075244792,query,2000,8972,False,none
global_safe,fiqa_l_5bin,0.01,tpir_at_rank_k,74,76,44,60423,3.3099978485013984e-05,-0.00030800852118595845,0.0003698979360338826,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.01,fpir,1690,1709,1529,121736,0.0001560754419399356,-0.00013163731353091901,0.0004435828349871854,query,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.01,tpir_at_rank_k,68,75,60,60423,0.00011584992469754894,-1.629261744277347e-05,0.0002529816631869086,mated_identity_cluster,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.01,fpir,1610,1521,1190,121736,-0.0007310902280344352,-0.0011746730630216205,-0.0002790875336794386,query,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.01,tpir_at_rank_k,64,76,44,60423,0.00019859987091008392,-8.090336990343073e-05,0.00048477291417739054,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.01,fpir,1690,1610,1469,121736,-0.000657159755536571,-0.0009775251363606493,-0.0003694470000657171,query,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.01,tpir_at_rank_k,68,64,58,60423,-6.619995697002797e-05,-0.0002207783232079872,5.310213358171972e-05,mated_identity_cluster,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.01,fpir,1709,1521,1255,121736,-0.0015443254255109416,-0.00197969376355392,-0.0011089570874679635,query,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.01,tpir_at_rank_k,75,76,44,60423,1.6549989242506992e-05,-0.00034636775650048247,0.00035814417853302356,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.05,fpir,6470,6368,5670,121736,-0.0008378786883091279,-0.0014706003154366823,-0.00020536242360517842,query,2000,8972,False,none
global_empirical,fiqa_s_2bin,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801119,-0.0006045752201615626,7.116717870284666e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_2bin,0.05,fpir,6414,6368,5651,121736,-0.0003778668594335283,-0.0010021686271932707,0.00024684563317342226,query,2000,8972,False,none
global_safe,fiqa_s_2bin,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801119,-0.0006045752201615626,7.116717870284666e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.05,fpir,6470,6313,6216,121736,-0.0012896760202405204,-0.0016100414010645988,-0.0009939541302490635,query,2000,8972,False,none
global_empirical,fiqa_l_2bin,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.0001889503205212729,0.00015465725916588368,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_2bin,0.05,fpir,6414,6313,6202,121736,-0.0008296641913649208,-0.001133600578300585,-0.000542156798317671,query,2000,8972,False,none
global_safe,fiqa_l_2bin,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.0001889503205212729,0.00015465725916588368,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.05,fpir,6470,6291,5532,121736,-0.0014703949530130774,-0.00215219819938227,-0.0008292534665177127,query,2000,8972,False,none
global_empirical,fiqa_s_5bin,0.05,tpir_at_rank_k,421,398,347,60423,-0.00038064975257766083,-0.0009539034228101678,0.00015533332689112488,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s_5bin,0.05,fpir,6414,6291,5518,121736,-0.0010103831241374778,-0.00169218637050667,-0.00036123250312150996,query,2000,8972,False,none
global_safe,fiqa_s_5bin,0.05,tpir_at_rank_k,421,398,347,60423,-0.00038064975257766083,-0.0009539034228101678,0.00015533332689112488,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.05,fpir,6470,6494,5056,121736,0.0001971479266609713,-0.0006984376026812114,0.001076099099691135,query,2000,8972,False,none
global_empirical,fiqa_l_5bin,0.05,tpir_at_rank_k,421,447,319,60423,0.0004302997203051818,-0.0005216255756319804,0.0013327215471766259,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l_5bin,0.05,fpir,6414,6494,5041,121736,0.000657159755536571,-0.0002384257738056118,0.0015116728001577171,query,2000,8972,False,none
global_safe,fiqa_l_5bin,0.05,tpir_at_rank_k,421,447,319,60423,0.0004302997203051818,-0.0005216255756319804,0.0013327215471766259,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.05,fpir,6368,6313,5620,121736,-0.0004517973319313925,-0.001084313596635342,0.00017270979825195393,query,2000,8972,False,none
fiqa_s_2bin,fiqa_l_2bin,0.05,tpir_at_rank_k,405,420,367,60423,0.00024824983863760486,-0.000101181868709727,0.000609803416242685,mated_identity_cluster,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.05,fpir,6291,6494,4848,121736,0.0016675428796740488,0.0007473138594992447,0.002571137543536834,query,2000,8972,False,none
fiqa_s_5bin,fiqa_l_5bin,0.05,tpir_at_rank_k,398,447,301,60423,0.0008109494728828426,-6.769656744571704e-05,0.0017114513473067041,mated_identity_cluster,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.05,fpir,6368,6291,5711,121736,-0.0006325162647039496,-0.001199316553854242,-5.7501478609449955e-05,query,2000,8972,False,none
fiqa_s_2bin,fiqa_s_5bin,0.05,tpir_at_rank_k,405,398,352,60423,-0.00011584992469754894,-0.0005329109538139004,0.0002690551293038281,mated_identity_cluster,2000,8972,False,none
fiqa_l_2bin,fiqa_l_5bin,0.05,fpir,6313,6494,4982,121736,0.0014868239469014919,0.0006156765459683256,0.0023659804823552596,query,2000,8972,False,none
