method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,0.01,conditional-threshold-ab7c0b64853ab0eac639b44c,all,98825,0,-0.3551550507545471,1.0,-0.3551550507545471,,-0.3551550507545471,False,0.009997470275739944,,True,
global_safe,0.01,conditional-threshold-2af8706baa90845afe6bc522,all,73447,25378,-0.35557302832603455,1.0,-0.35557302832603455,-0.3531593382358551,-0.3531593382358551,False,0.009380914128555285,0.009969264717471825,True,True
fiqa_s_2bin,0.01,conditional-threshold-82ede21f31bdb3cb4eaf0545,low,36600,12634,-0.34868720173835754,0.9945652173913043,-0.34868720173835754,-0.34599974751472473,-0.34599974751472473,False,0.00912568306010929,0.009973088491372488,True,True
fiqa_s_2bin,0.01,conditional-threshold-82ede21f31bdb3cb4eaf0545,high,36847,12744,-0.36718350648880005,0.9946014522093557,-0.36712082676756613,-0.36283960938453674,-0.36283960938453674,False,0.009145927755312509,0.009965473948524796,True,True
fiqa_l_2bin,0.01,conditional-threshold-4178ebd88d622ec5c913dd52,low,36880,12160,-0.3588499426841736,0.9946062567421791,-0.35883226784944794,-0.35958459973335266,-0.35883226784944794,False,0.00992407809110629,0.009457236842105263,True,True
fiqa_l_2bin,0.01,conditional-threshold-4178ebd88d622ec5c913dd52,high,36567,13218,-0.35188841819763184,0.9945603394348193,-0.35188841819763184,-0.34689778089523315,-0.34689778089523315,False,0.008477589083053025,0.009986382206082615,True,True
fiqa_s_5bin,0.01,conditional-threshold-55f2ebb356dacb73f0e485e3,q1,14509,4947,-0.3498305678367615,0.9864028825888912,-0.3498305678367615,-0.33756598830223083,-0.33756598830223083,False,0.007236887449169481,0.009904992925005053,True,True
fiqa_s_5bin,0.01,conditional-threshold-55f2ebb356dacb73f0e485e3,q2,14732,5142,-0.34678518772125244,0.98660594695955,-0.34678518772125244,-0.3464012145996094,-0.3464012145996094,False,0.00984251968503937,0.009918319719953326,True,True
fiqa_s_5bin,0.01,conditional-threshold-55f2ebb356dacb73f0e485e3,q3,14684,5025,-0.3481459617614746,0.9865627519484009,-0.3481459617614746,-0.3530603349208832,-0.3481459617614746,False,0.009942794878779623,0.008159203980099502,True,True
fiqa_s_5bin,0.01,conditional-threshold-55f2ebb356dacb73f0e485e3,q4,14762,5130,-0.35942837595939636,0.9866328031011897,-0.3593768407684678,-0.35185423493385315,-0.35185423493385315,False,0.007925755317707627,0.009941520467836258,True,True
fiqa_s_5bin,0.01,conditional-threshold-55f2ebb356dacb73f0e485e3,q5,14760,5134,-0.38978761434555054,0.9866310160427807,-0.3893302000939527,-0.3994569778442383,-0.3893302000939527,False,0.009823848238482384,0.007791195948578107,True,True
fiqa_l_5bin,0.01,conditional-threshold-28f4251d23fcb92954c160ff,q1,14722,4610,-0.3784763216972351,0.9865969709154269,-0.3781693481900484,-0.38733527064323425,-0.3781693481900484,False,0.00991713082461622,0.007592190889370932,True,True
