method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l_2bin,0.01,high,20,-0.4058857175064038,-0.4048033431033327,-0.40235928222267847,-0.40099549293518066,-0.3898734450340271,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.01,low,20,-0.38435226678848267,-0.3837115913629532,-0.38278210163116455,-0.3822532370686531,-0.3738560974597931,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.05,high,20,-0.4888805485640776,-0.48727607764746483,-0.4868194883473155,-0.48430302136608044,-0.4663214087486267,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.05,low,20,-0.45259231328964233,-0.4523157998919487,-0.4511379301548004,-0.45009322464466095,-0.44583359360694885,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.1,high,20,-0.544892262804175,-0.5428396732832506,-0.5404747517394721,-0.5380598157644272,-0.5192595720291138,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.1,low,20,-0.49594709277153015,-0.4950084760785103,-0.4940936863422394,-0.49290718138217926,-0.4887802302837372,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.2,high,20,-0.6273781657218933,-0.6251306378919828,-0.6232876166923251,-0.6180004942267553,-0.6015003323554993,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.2,low,20,-0.553309977054596,-0.552927166223526,-0.5518885552883148,-0.5502515733242035,-0.5431950688362122,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.3,high,20,-0.6957010600299025,-0.6934322220001494,-0.6919989287853241,-0.687157238950878,-0.6741369366645813,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.3,low,20,-0.5999742150306702,-0.5989037752151489,-0.5984022319316864,-0.5960971862077713,-0.5871849656105042,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_5bin,0.01,q1,20,-0.39454102516174316,-0.3934989379917839,-0.39161959290504456,-0.39121387053042417,-0.38818252086639404,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.01,q2,20,-0.38262641429901123,-0.3821399658918381,-0.3817572146654129,-0.38071007281541824,-0.3653983175754547,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.01,q3,20,-0.37707027792930603,-0.3757197856903076,-0.3753257840871811,-0.37416812777519226,-0.36268505454063416,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.01,q4,20,-0.3986165523529053,-0.39610330959917317,-0.3954405683998425,-0.39331205431411587,-0.38691815733909607,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.01,q5,20,-0.5517551391734733,-0.5394955724477768,-0.5338881271663327,-0.5305930670392076,-0.5248253466846707,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_l_5bin,0.05,q1,20,-0.4662964940071106,-0.46492864191532135,-0.4642322510480881,-0.4618019536137581,-0.4585894048213959,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.05,q2,20,-0.4482566714286804,-0.44704388082027435,-0.4460149109363556,-0.4446117877960205,-0.4382951557636261,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.05,q3,20,-0.4424152672290802,-0.44183069467544556,-0.4396182745695114,-0.4387701526284218,-0.42915576696395874,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.05,q4,20,-0.4724779252624279,-0.46771488097462827,-0.4670938917347479,-0.46534644067287445,-0.4495823085308075,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.05,q5,20,-0.6560629218323271,-0.6516299545764923,-0.6497736030137519,-0.6468172075986394,-0.642674682376621,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_l_5bin,0.1,q1,20,-0.5087783336639404,-0.5080348551273346,-0.5066916346549988,-0.5048676580190659,-0.49966949224472046,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.1,q2,20,-0.49035224318504333,-0.48832162469625473,-0.48669207096099854,-0.48562362790107727,-0.4779474437236786,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.1,q3,20,-0.4860170781612396,-0.48518314957618713,-0.4825313687324524,-0.48187386244535446,-0.47300225496292114,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.1,q4,20,-0.5171011333615271,-0.5155471329731481,-0.5147661864757538,-0.5135132876164261,-0.4965052604675293,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.1,q5,20,-0.7215859021876165,-0.7183243036270142,-0.7157106101512909,-0.7125359810792762,-0.7076156135077949,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_l_5bin,0.2,q1,20,-0.5667058229446411,-0.5662378370761871,-0.5652239322662354,-0.5627635568380356,-0.5554293990135193,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.2,q2,20,-0.5463651418685913,-0.5452163070440292,-0.5437577366828918,-0.5419003814458847,-0.5368961095809937,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.2,q3,20,-0.5439428091049194,-0.5421358644962311,-0.5400902926921844,-0.5388238430023193,-0.5316416621208191,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.2,q4,20,-0.5864350151263901,-0.5837901483507286,-0.5813286545777888,-0.5778253129616632,-0.5587344765663147,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.2,q5,20,-0.8218991756439209,-0.81786287225018,-0.8132277176088638,-0.8084991276575562,-0.8059399890517929,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
fiqa_l_5bin,0.3,q1,20,-0.6129459738731384,-0.6116897165775299,-0.6110438704490662,-0.6092998534440994,-0.6000626087188721,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.3,q2,20,-0.5924028754234314,-0.5912660658359528,-0.5895647704601288,-0.58860644698143,-0.5786289572715759,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
