reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_s_2bin,0.01,fpir,1272,1220,1070,121736,-0.00042715384109877114,-0.0007310902280344352,-0.00012321745416310706,query,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.01,tpir_at_rank_k,62,58,51,60423,-6.619995697002797e-05,-0.0002503905116148435,8.39828718731121e-05,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.01,fpir,1193,1220,1048,121736,0.0002217914174935927,-5.7501478609449955e-05,0.0005092988105408425,query,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.01,tpir_at_rank_k,57,58,51,60423,1.6549989242506992e-05,-0.00012055999999402196,0.0001437909344629114,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.01,fpir,1272,1119,1034,121736,-0.001256818032463692,-0.0015525399224551489,-0.000961096142472235,query,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.01,tpir_at_rank_k,62,50,46,60423,-0.00019859987091008392,-0.00044864537005119456,0.0,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.01,fpir,1193,1119,993,121736,-0.0006078727738713281,-0.0009118091608069921,-0.00032036538082407835,query,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.01,tpir_at_rank_k,57,50,45,60423,-0.00011584992469754894,-0.0003295831669385089,6.772904591529799e-05,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.01,fpir,1272,1217,1040,121736,-0.0004517973319313925,-0.0007805825721232828,-0.00012321745416310706,query,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.01,tpir_at_rank_k,62,57,48,60423,-8.274994621253496e-05,-0.0003179326612184552,0.00011466579756019271,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.01,fpir,1193,1217,1024,121736,0.0001971479266609713,-0.00010678846027469278,0.0005092988105408425,query,2000,8972,False,none,0
global_safe,fiqa_s_5bin,0.01,tpir_at_rank_k,57,57,48,60423,0.0,-0.000186804764626651,0.00016857268320370536,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.01,fpir,1272,1121,803,121736,-0.0012403890385752777,-0.001684177235986068,-0.0007883863442202812,query,2000,8972,False,none,0
global_empirical,fiqa_l_5bin,0.01,tpir_at_rank_k,62,69,32,60423,0.00011584992469754894,-0.00034339790452629003,0.0005892634931292604,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.01,fpir,1193,1121,783,121736,-0.0005914437799829139,-0.0010350266149700992,-0.00016428993888414274,query,2000,8972,False,none,0
global_safe,fiqa_l_5bin,0.01,tpir_at_rank_k,57,69,32,60423,0.00019859987091008392,-0.0002211739163224193,0.000638331749381715,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.01,fpir,1220,1119,978,121736,-0.0008296641913649208,-0.0011582440691332062,-0.0005257278044292567,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_l_2bin,0.01,tpir_at_rank_k,58,50,45,60423,-0.00013239991394005594,-0.00030096649058041793,1.619366517009479e-05,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.01,fpir,1217,1121,755,121736,-0.0007885917066438852,-0.001256818032463692,-0.0003283745153446814,query,2000,8972,False,none,0
fiqa_s_5bin,fiqa_l_5bin,0.01,tpir_at_rank_k,57,69,29,60423,0.00019859987091008392,-0.0002137595442263316,0.0006056995853709837,mated_identity_cluster,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.01,fpir,1220,1217,1073,121736,-2.464349083262141e-05,-0.0002957218899914569,0.0002464349083262141,query,2000,8972,False,none,0
fiqa_s_2bin,fiqa_s_5bin,0.01,tpir_at_rank_k,58,57,52,60423,-1.6549989242506992e-05,-0.0001374518492439151,9.763361969821343e-05,mated_identity_cluster,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.01,fpir,1119,1121,816,121736,1.6428993888414273e-05,-0.0003942958533219426,0.00041072484721035683,query,2000,8972,False,none,0
fiqa_l_2bin,fiqa_l_5bin,0.01,tpir_at_rank_k,50,69,32,60423,0.00031444979560763285,-6.292035174396978e-05,0.0007058770167285715,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.05,fpir,5589,5567,4740,121736,-0.00018071893277255702,-0.000846093185253335,0.0005095041729644465,query,2000,8972,False,none,0
global_empirical,fiqa_s_2bin,0.05,tpir_at_rank_k,322,315,270,60423,-0.00011584992469754894,-0.00037666908163174986,0.00014671472146952027,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.05,fpir,5520,5567,4717,121736,0.0003860813563777354,-0.0002957218899914569,0.0010596701058027207,query,2000,8972,False,none,0
global_safe,fiqa_s_2bin,0.05,tpir_at_rank_k,316,315,268,60423,-1.6549989242506992e-05,-0.0002657613947318823,0.00022443371115283566,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.05,fpir,5589,5037,5037,121736,-0.00453440231320234,-0.004912269172635868,-0.0041647499507130184,query,2000,8972,False,none,0
global_empirical,fiqa_l_2bin,0.05,tpir_at_rank_k,322,282,282,60423,-0.0006619995697002797,-0.0010352290147844214,-0.000377592949269048,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.05,fpir,5520,5037,5037,121736,-0.0039676020240520474,-0.0043126108957087465,-0.003622593152395347,query,2000,8972,False,none,0
global_safe,fiqa_l_2bin,0.05,tpir_at_rank_k,316,282,282,60423,-0.0005626996342452378,-0.0009250308340481231,-0.0002944275908434137,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s_5bin,0.05,fpir,5589,5445,4665,121736,-0.0011828875599658277,-0.0018729053032792273,-0.0005501659328382741,query,2000,8972,False,none,0
