method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l_2bin,0.01,high,20,-0.3168734312057495,-0.31462421268224716,-0.31345275044441223,-0.3098584786057472,-0.299630731344223,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.01,low,20,-0.33747982271161153,-0.3361295851006655,-0.33480886989042624,-0.33361954241991043,-0.32924121618270874,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.05,high,20,-0.40445351087305537,-0.4013074202642767,-0.3997092545032501,-0.3946627080440521,-0.37872204184532166,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.05,low,20,-0.4031975069506602,-0.4024800807237625,-0.40159834921360016,-0.39948077499866486,-0.39694178104400635,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.1,high,20,-0.465536830991364,-0.46283017759240336,-0.461564889700096,-0.4569782316684723,-0.44152936339378357,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.1,low,20,-0.44175881147384644,-0.4407360628247261,-0.43955881893634796,-0.4377634823322296,-0.43602651357650757,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.2,high,20,-0.5417193183718795,-0.539233922607085,-0.538308872307192,-0.5357188478028397,-0.5243160724639893,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.2,low,20,-0.4894619882106781,-0.4888591095805168,-0.4877159297466278,-0.4860323518514633,-0.48471254110336304,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_2bin,0.3,high,20,-0.5980001506222753,-0.5957819278542361,-0.5949968518419624,-0.5913226379751386,-0.5830695629119873,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l_2bin,0.3,low,20,-0.5252566337585449,-0.5244072824716568,-0.5233786106109619,-0.5220297873020172,-0.5198318958282471,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l_5bin,0.01,q1,20,-0.3704940876530593,-0.36913557217686777,-0.36836634096340815,-0.36702931502745106,-0.35889044404029846,13114.0,13815.0,14028.5,14254.75,14722.0,4610.0,5578.25,5802.5,6023.75,7069.0,0
fiqa_l_5bin,0.01,q2,20,-0.33381277322769165,-0.3330554592278859,-0.33282013699130225,-0.3290960192680359,-0.3216942250728607,12990.0,13604.0,13803.0,14159.25,14739.0,4774.0,5449.0,5825.5,6066.75,6518.0,0
fiqa_l_5bin,0.01,q3,20,-0.3072192966938019,-0.3066050708293915,-0.30632515251636505,-0.3039374276995659,-0.29363301396369934,13145.0,13697.25,13929.0,14275.75,14831.0,5201.0,5514.25,5932.0,6260.0,6762.0,0
fiqa_l_5bin,0.01,q4,20,-0.29959771037101746,-0.2987791374325752,-0.297027587890625,-0.29184626042842865,-0.2859010696411133,13118.0,13716.75,13928.0,14238.5,14640.0,5182.0,5581.5,5927.0,6223.25,7018.0,0
fiqa_l_5bin,0.01,q5,20,-0.47303307056427,-0.4614628329873085,-0.4572144094340146,-0.4523634880466324,-0.44745848049988624,13041.0,13669.5,13939.5,14164.5,14609.0,4864.0,5410.0,5611.0,6199.5,6896.0,0
