method,target_fpir,split_count,target_met_split_count,target_met_split_fraction,wilson_upper_met_split_count,wilson_lower_exceeds_target_split_count,observed_pattern,split_dependent_method,between_split_statistics_are_ci,fpir_min,fpir_q25,fpir_median,fpir_q75,fpir_max,fpir_excess_min,fpir_excess_q25,fpir_excess_median,fpir_excess_q75,fpir_excess_max,tpir_min,tpir_q25,tpir_median,tpir_q75,tpir_max
fiqa_l_2bin,0.01,20,0,0.0,0,20,all_observed_splits_exceed,True,False,0.011697443648550963,0.013381415522113426,0.0140426825261221,0.014264473943615694,0.014564303082079254,0.0016974436485509628,0.003381415522113425,0.0040426825261221,0.004264473943615694,0.004564303082079254,0.0009267993975803915,0.0012040117173923838,0.0012495241878092778,0.001261936679741158,0.0012908991609155455
fiqa_l_2bin,0.05,20,5,0.25,3,9,split_sensitive_target_attainment,True,False,0.04532759413813498,0.049948248669251495,0.051114707235328904,0.05163222054281395,0.05249884997042781,-0.004672405861865021,-5.1751330748509364e-05,0.0011147072353289052,0.0016322205428139537,0.002498849970427805,0.0059083461595749965,0.0065951707131390366,0.006785495589427867,0.006893070519504162,0.007116495374278007
fiqa_l_2bin,0.1,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.08511861733587435,0.09057304330682789,0.09235148189524874,0.093076411250575,0.09435171190116318,-0.014881382664125656,-0.009426956693172117,-0.00764851810475127,-0.006923588749424996,-0.005648288098836829,0.01155189249126988,0.012656604273207223,0.012908991609155453,0.013045529020406137,0.013339291329460636
fiqa_l_2bin,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.16668857199185122,0.1748928008148781,0.17807797200499442,0.1790965696260761,0.18144180850364724,-0.03331142800814879,-0.02510719918512192,-0.021922027995005602,-0.020903430373923913,-0.018558191496352766,0.023434784767389902,0.02465534647402479,0.025023583734670573,0.025193221124406272,0.025437333465733247
fiqa_l_2bin,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.2541318919629362,0.26367303016363275,0.26662614181507527,0.2688420023657751,0.27079089176578824,-0.045868108037063815,-0.03632696983636721,-0.03337385818492475,-0.031157997634224888,-0.029209108234211745,0.03554937689290502,0.03705128841666253,0.03737815070420204,0.037767075451400955,0.0380980752362511
fiqa_l_5bin,0.01,20,0,0.0,0,20,all_observed_splits_exceed,True,False,0.010867779457186042,0.011904859696392192,0.012666754287967406,0.012980958796083329,0.013217125583229282,0.0008677794571860416,0.0019048596963921927,0.0026667542879674046,0.002980958796083328,0.003217125583229282,0.0009598993760654055,0.0012081492147030105,0.0012908991609155455,0.0013901990963705875,0.0014563990533406153
fiqa_l_5bin,0.05,20,3,0.15,2,14,split_sensitive_target_attainment,True,False,0.04758658079779194,0.05099354340540185,0.05258510218834199,0.05314984885325623,0.05365709403956102,-0.0024134192022080628,0.0009935434054018505,0.002585102188341983,0.003149848853256223,0.003657094039561014,0.006355195869122685,0.007083395395792993,0.007273720272081823,0.007368882710226239,0.007464045148370653
fiqa_l_5bin,0.1,20,20,1.0,19,0,all_observed_splits_meet,True,False,0.09097555365709403,0.09511976736544654,0.09628622593152394,0.09704606689886311,0.09857396333048564,-0.009024446342905973,-0.00488023263455346,-0.0037137740684760542,-0.0029539331011368894,-0.0014260366695143661,0.012429041921122751,0.01326895387517998,0.013430316270294423,0.013517203713817587,0.013769591049765818
fiqa_l_5bin,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.17556022869159493,0.17985641059341526,0.1829861339291582,0.18424911283433001,0.185992639810738,-0.02443977130840508,-0.020143589406584755,-0.017013866070841835,-0.01575088716566999,-0.01400736018926202,0.02444433411118283,0.025280108567929428,0.025644208331264587,0.025900733164523442,0.02639723284179865
fiqa_l_5bin,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.26717651311033713,0.27148296313333775,0.2751692186370507,0.2769250673588749,0.27908753367943745,-0.032823486889662856,-0.028517036866662265,-0.024830781362949333,-0.023074932641125062,-0.02091246632056254,0.037866375386856,0.03841252503185873,0.038859374741406424,0.03904142462307399,0.03935587441868163
fiqa_s_2bin,0.01,20,0,0.0,0,20,all_observed_splits_exceed,True,False,0.010982782414404943,0.013338289413156339,0.013833212854044818,0.014057057895774463,0.01451501610041401,0.0009827824144049424,0.003338289413156338,0.0038332128540448183,0.004057057895774463,0.004515016100414011,0.0009267993975803915,0.0011253992684904755,0.001150224252354236,0.0011626367442861161,0.0012246992039455175
fiqa_s_2bin,0.05,20,4,0.2,2,14,split_sensitive_target_attainment,True,False,0.046231188801997766,0.05063415916409279,0.05181704672405862,0.05263028192153513,0.05324636919235066,-0.0037688111980022365,0.0006341591640927884,0.0018170467240586144,0.002630281921535124,0.003246369192350655,0.005809046224119954,0.006462770799198981,0.00662827069162405,0.006773083097495986,0.006835145557155388
fiqa_s_2bin,0.1,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.08651508181638956,0.0921440658474075,0.09376437536965236,0.09477681211802588,0.09558388644279424,-0.013484918183610445,-0.0078559341525925,-0.006235624630347644,-0.005223187881974116,-0.004416113557205767,0.01150224252354236,0.012193204574417027,0.012470416894229019,0.012623504294722209,0.01282624166294292
