reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s,0.01,fpir,1272,1230,1073,121736,-0.00034500887165669973,-0.000657159755536571,-4.928698166524282e-05,query,2000,8972,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,62,58,51,60423,-6.619995697002797e-05,-0.0002503905116148435,8.39828718731121e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.01,fpir,1207,1230,1053,121736,0.00018893342971676414,-9.857396333048565e-05,0.00048465531970822107,query,2000,8972,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,59,58,51,60423,-1.6549989242506992e-05,-0.00019086424390631887,0.00012181333215433806,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.01,fpir,1272,1195,1061,121736,-0.0006325162647039496,-0.0009446671485838208,-0.00034480350923309566,query,2000,8972,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,62,55,49,60423,-0.00011584992469754894,-0.0003417264826011797,8.257413309986587e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.01,fpir,1207,1195,1030,121736,-9.857396333048565e-05,-0.0003942958533219426,0.00019735328908457536,query,2000,8972,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,59,55,48,60423,-6.619995697002797e-05,-0.0002996634379464213,0.00015260367236971084,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.01,fpir,1230,1195,1029,121736,-0.0002875073930472498,-0.0005916491424065186,3.2857987776828546e-05,query,2000,8972,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,58,55,49,60423,-4.964996772752098e-05,-0.00021397918195230578,0.00011852822029262931,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.05,fpir,5589,5570,4728,121736,-0.0001560754419399356,-0.0008543076821975423,0.0004928698166524282,query,2000,8972,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,322,313,268,60423,-0.00014894990318256292,-0.0004316557056187112,0.0001304120170869848,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.05,fpir,5538,5570,4711,121736,0.00026286390221462837,-0.00041893934415456396,0.0009448725110074248,query,2000,8972,False,none
