reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s,0.01,fpir,1409,1310,1310,121736,-0.0008132351974765065,-0.0009857396333048565,-0.000657159755536571,query,2000,8972,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.01,fpir,1389,1310,1310,121736,-0.0006489452585923638,-0.0007968062035880923,-0.0005092988105408425,query,2000,8972,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.01,fpir,1409,1316,1155,121736,-0.0007639482158112637,-0.0011007425905237562,-0.0004517973319313925,query,2000,8972,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.01,fpir,1389,1316,1145,121736,-0.000599658276927121,-0.0009284435171190112,-0.0002792928961030427,query,2000,8972,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.01,fpir,1310,1316,1117,121736,4.928698166524282e-05,-0.0002792928961030427,0.0003532233686009069,query,2000,8972,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.05,fpir,6354,6275,5850,121736,-0.0006489452585923638,-0.001150234934612604,-0.00013964644805152134,query,2000,8972,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,86,87,71,60423,1.6549989242506992e-05,-0.00020045330449850978,0.00021325809687414268,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.05,fpir,6269,6275,5815,121736,4.928698166524282e-05,-0.00046001182887559964,0.000542156798317671,query,2000,8972,False,none
global_safe,fiqa_s,0.05,tpir_at_rank_k,81,87,70,60423,9.929993545504196e-05,-6.685413794755737e-05,0.0002632656865648265,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.05,fpir,6354,6218,5574,121736,-0.0011171715844121707,-0.0017332588552277058,-0.0004926644542288242,query,2000,8972,False,none
global_empirical,fiqa_l,0.05,tpir_at_rank_k,86,99,67,60423,0.0002151498601525909,-0.00013364381885656415,0.0005692243583095842,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.05,fpir,6269,6218,5542,121736,-0.00041893934415456396,-0.0010350266149700992,0.00020536242360517842,query,2000,8972,False,none
global_safe,fiqa_l,0.05,tpir_at_rank_k,81,99,66,60423,0.00029789980636512584,0.0,0.000623381382094245,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.05,fpir,6275,6218,5586,121736,-0.0004682263258198068,-0.001076099099691135,0.00014786094499572846,query,2000,8972,False,none
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,87,99,66,60423,0.00019859987091008392,-6.890383648082788e-05,0.0005011662222680342,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.1,fpir,11951,11768,10747,121736,-0.0015032529407899061,-0.0022920500098573956,-0.0007721627127554708,query,2000,8972,False,none
global_empirical,fiqa_s,0.1,tpir_at_rank_k,374,370,298,60423,-6.619995697002797e-05,-0.0005059365800331544,0.00040186438889503617,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.1,fpir,11749,11768,10667,121736,0.0001560754419399356,-0.0005916491424065186,0.0008873710323979748,query,2000,8972,False,none
global_safe,fiqa_s,0.1,tpir_at_rank_k,357,370,288,60423,0.0002151498601525909,-0.00025502595746929876,0.0007158051483544015,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.1,fpir,11951,11512,10237,121736,-0.003606164158506933,-0.0044853206939607015,-0.0027354274824209763,query,2000,8972,False,none
global_empirical,fiqa_l,0.1,tpir_at_rank_k,374,426,286,60423,0.0008605994406103636,-4.874101887584203e-05,0.001977610894003777,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.1,fpir,11749,11512,10162,121736,-0.0019468357757770915,-0.0028340014457514623,-0.0010925280935795492,query,2000,8972,False,none
global_safe,fiqa_l,0.1,tpir_at_rank_k,357,426,281,60423,0.0011419492577329825,0.0002686261038670918,0.0023021247306504147,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.1,fpir,11768,11512,10176,121736,-0.002102911217717027,-0.002957629624761779,-0.0012650325294078992,query,2000,8972,False,none
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,370,426,278,60423,0.0009267993975803915,-5.033601127969764e-05,0.002065737457526387,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.2,fpir,23541,23148,20984,121736,-0.0032282972990734047,-0.004296181901820332,-0.002110714989814026,query,2000,8972,False,none
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1113,1062,948,60423,-0.0008440494513678566,-0.0016965118900974137,-9.65092842815128e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.2,fpir,23048,23148,20781,121736,0.0008214496944207137,-0.00025464940527042125,0.0019468357757770915,query,2000,8972,False,none
global_safe,fiqa_s,0.2,tpir_at_rank_k,1075,1062,935,60423,-0.0002151498601525909,-0.0009423609298723777,0.0004929266574625334,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.2,fpir,23541,23244,19761,121736,-0.0024397055924295194,-0.0037706594598146802,-0.0010350266149700992,query,2000,8972,False,none
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1113,1209,910,60423,0.0015887989672806713,0.00041446097896812636,0.0028358232812746497,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.2,fpir,23048,23244,19579,121736,0.0016100414010645988,0.0003037310245120592,0.002998702109482813,query,2000,8972,False,none
global_safe,fiqa_l,0.2,tpir_at_rank_k,1075,1209,892,60423,0.002217698558495937,0.0010193198322801431,0.0035425410360594134,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.2,fpir,23148,23244,19731,121736,0.0007885917066438852,-0.0005503712952618781,0.002209905040415324,query,2000,8972,False,none
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1062,1209,890,60423,0.0024328484186485278,0.0011540804867281374,0.003756622923737696,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_s,0.3,fpir,35180,34610,31305,121736,-0.004682263258198068,-0.006144854439114148,-0.0032773789183150434,query,2000,8972,False,none
global_empirical,fiqa_s,0.3,tpir_at_rank_k,1890,1824,1609,60423,-0.0010922992900054614,-0.0022090029309792263,3.174722204606661e-05,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_s,0.3,fpir,34619,34610,31076,121736,-7.393047249786423e-05,-0.0014379476900834584,0.001314524873496746,query,2000,8972,False,none
global_safe,fiqa_s,0.3,tpir_at_rank_k,1852,1824,1596,60423,-0.00046339969879019576,-0.001519252254485649,0.0006118572946294592,mated_identity_cluster,2000,8972,False,none
global_empirical,fiqa_l,0.3,fpir,35180,34936,29467,121736,-0.0020043372543865415,-0.0037049434842610232,-0.0002622478149438162,query,2000,8972,False,none
global_empirical,fiqa_l,0.3,tpir_at_rank_k,1890,2025,1586,60423,0.002234248547738444,0.0009818975026965608,0.0035588063910647542,mated_identity_cluster,2000,8972,False,none
global_safe,fiqa_l,0.3,fpir,34619,34936,29249,121736,0.0026039955313136623,0.0008625221791417494,0.004362513964644802,query,2000,8972,False,none
global_safe,fiqa_l,0.3,tpir_at_rank_k,1852,2025,1566,60423,0.0028631481389537095,0.0016012202131873452,0.004215809989152186,mated_identity_cluster,2000,8972,False,none
fiqa_s,fiqa_l,0.3,fpir,34610,34936,29527,121736,0.002677926003811527,0.00101839225865808,0.004345674245909179,query,2000,8972,False,none
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,1824,2025,1565,60423,0.0033265478377439055,0.0017813502485448216,0.00501931033268308,mated_identity_cluster,2000,8972,False,none
