split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,689,0.009380914128555285,-0.3531593382358551,-0.35561149895191213,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.3531593382358551,-0.35329012960195544,[],False,global_safe,0.01
test,all,121736,1.0,1713,0.014071433265426826,-0.3531593382358551,-0.3399116531014443,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,334,0.00912568306010929,-0.34599974751472473,-0.34870307505130765,[0.54886115],False,fiqa_s,0.01
fit,high,36847,0.5016814846079486,337,0.009145927755312509,-0.36283960938453674,-0.3673445105552673,[0.54886115],False,fiqa_s,0.01
safety,low,12634,0.49783276853968006,126,0.009973088491372488,-0.34599974751472473,-0.3463413119316101,[0.54886115],False,fiqa_s,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.36283960938453674,-0.36319839745759985,[0.54886115],False,fiqa_s,0.01
test,low,59869,0.4917937175527371,864,0.014431508794200671,-0.34599974751472473,-0.33229095458984376,[0.54886115],False,fiqa_s,0.01
test,high,61867,0.508206282447263,826,0.013351221167989397,-0.36283960938453674,-0.349882917404175,[0.54886115],False,fiqa_s,0.01
fit,low,36880,0.5021307881874004,366,0.00992407809110629,-0.35883226784944794,-0.35889504909515385,[0.5589450499999999],False,fiqa_l,0.01
fit,high,36567,0.4978692118125996,310,0.008477589083053025,-0.34689778089523315,-0.351945077776909,[0.5589450499999999],False,fiqa_l,0.01
safety,low,12160,0.4791551737725589,115,0.009457236842105263,-0.35883226784944794,-0.36041500657796877,[0.5589450499999999],False,fiqa_l,0.01
safety,high,13218,0.5208448262274411,132,0.009986382206082615,-0.34689778089523315,-0.3478187423944474,[0.5589450499999999],False,fiqa_l,0.01
test,low,58258,0.4785601629756194,813,0.013955164955885887,-0.35883226784944794,-0.34700674057006836,[0.5589450499999999],False,fiqa_l,0.01
test,high,63478,0.5214398370243807,896,0.014115126500519866,-0.34689778089523315,-0.3314303037524224,[0.5589450499999999],False,fiqa_l,0.01
fit,all,73447,1.0,3597,0.04897409016025161,-0.424654096364975,-0.35561149895191213,[],False,global_safe,0.05
safety,all,25378,1.0,1268,0.04996453621246749,-0.424654096364975,-0.35329012960195544,[],False,global_safe,0.05
test,all,121736,1.0,6414,0.05268778340014457,-0.424654096364975,-0.3399116531014443,[],False,global_safe,0.05
fit,low,36600,0.4983185153920514,1724,0.04710382513661202,-0.410920649766922,-0.34870307505130765,[0.54886115],False,fiqa_s,0.05
fit,high,36847,0.5016814846079486,1838,0.04988194425597742,-0.442974565542188,-0.3673445105552673,[0.54886115],False,fiqa_s,0.05
safety,low,12634,0.49783276853968006,631,0.04994459395282571,-0.410920649766922,-0.3463413119316101,[0.54886115],False,fiqa_s,0.05
safety,high,12744,0.5021672314603199,615,0.04825800376647834,-0.442974565542188,-0.36319839745759985,[0.54886115],False,fiqa_s,0.05
test,low,59869,0.4917937175527371,3199,0.05343332943593512,-0.410920649766922,-0.33229095458984376,[0.54886115],False,fiqa_s,0.05
test,high,61867,0.508206282447263,3169,0.05122278435999806,-0.442974565542188,-0.349882917404175,[0.54886115],False,fiqa_s,0.05
fit,low,36880,0.5021307881874004,1826,0.049511930585683296,-0.42112109065055847,-0.35889504909515385,[0.5589450499999999],False,fiqa_l,0.05
fit,high,36567,0.4978692118125996,1713,0.04684551644925753,-0.42820996046066284,-0.351945077776909,[0.5589450499999999],False,fiqa_l,0.05
safety,low,12160,0.4791551737725589,608,0.05,-0.42112109065055847,-0.36041500657796877,[0.5589450499999999],False,fiqa_l,0.05
safety,high,13218,0.5208448262274411,660,0.04993191103041307,-0.42820996046066284,-0.3478187423944474,[0.5589450499999999],False,fiqa_l,0.05
test,low,58258,0.4785601629756194,3180,0.05458477805623262,-0.42112109065055847,-0.34700674057006836,[0.5589450499999999],False,fiqa_l,0.05
test,high,63478,0.5214398370243807,3133,0.04935568228362582,-0.42820996046066284,-0.3314303037524224,[0.5589450499999999],False,fiqa_l,0.05
fit,all,73447,1.0,7344,0.09999046931801163,-0.46976378560066223,-0.35561149895191213,[],False,global_safe,0.1
safety,all,25378,1.0,2489,0.09807707463157066,-0.46976378560066223,-0.35329012960195544,[],False,global_safe,0.1
test,all,121736,1.0,11611,0.09537852401918906,-0.46976378560066223,-0.3399116531014443,[],False,global_safe,0.1
