reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_s,0.01,fpir,1218,1059,869,121736,-0.0013061050141289347,-0.00169218637050667,-0.0009364526516396136,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.01,tpir_at_rank_k,125,109,91,60423,-0.0002647998278801119,-0.0005865231647431607,1.540559811555972e-05,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.01,fpir,1065,1059,814,121736,-4.928698166524282e-05,-0.00041893934415456396,0.0003041417493592681,query,2000,8972,False,none,0
global_safe,fiqa_s,0.01,tpir_at_rank_k,112,109,87,60423,-4.964996772752098e-05,-0.0003078617356470328,0.00020287527786828425,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.01,fpir,1218,1036,891,121736,-0.0014950384438456989,-0.0018400473155023985,-0.0011500295721889992,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.01,tpir_at_rank_k,125,104,92,60423,-0.00034754977409264686,-0.0007474576455002604,-1.648397190096646e-05,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.01,fpir,1065,1036,833,121736,-0.00023822041138200697,-0.0005832292830387067,7.393047249786423e-05,query,2000,8972,False,none,0
global_safe,fiqa_l,0.01,tpir_at_rank_k,112,104,90,60423,-0.00013239991394005594,-0.00035111337334069496,8.822511443654721e-05,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.01,fpir,1059,1036,818,121736,-0.00018893342971676414,-0.0005503712952618781,0.00014786094499572846,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,109,104,82,60423,-8.274994621253496e-05,-0.00044331734728182275,0.0002732458251199118,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.05,fpir,5742,5613,4747,121736,-0.0010596701058027207,-0.0017661168430045343,-0.0003942958533219426,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.05,tpir_at_rank_k,412,403,352,60423,-0.00014894990318256292,-0.0005985199271937496,0.00025385073182339617,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.05,fpir,5677,5613,4726,121736,-0.0005257278044292567,-0.0012157455477426562,0.00018071893277255702,query,2000,8972,False,none,0
global_safe,fiqa_s,0.05,tpir_at_rank_k,405,403,350,60423,-3.3099978485013984e-05,-0.0004620859385375097,0.00036868378060788965,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.05,fpir,5742,5390,4704,121736,-0.0028915029243609123,-0.0035897351646185186,-0.0022177088125123227,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.05,tpir_at_rank_k,412,397,350,60423,-0.00024824983863760486,-0.0008030730070077886,0.00026543551998075746,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.05,fpir,5677,5390,4679,121736,-0.0023575606229874484,-0.0030393638693566407,-0.001691981008083066,query,2000,8972,False,none,0
global_safe,fiqa_l,0.05,tpir_at_rank_k,405,397,347,60423,-0.00013239991394005594,-0.000659503436741273,0.00036477228323821367,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.05,fpir,5613,5390,4628,121736,-0.0018318328185581915,-0.002521850561871591,-0.0011500295721889992,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,403,397,346,60423,-9.929993545504196e-05,-0.0006566977768847832,0.00043020234420157065,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.1,fpir,11211,11023,9395,121736,-0.0015443254255109416,-0.002505421567983177,-0.0006158819083919312,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.1,tpir_at_rank_k,762,733,643,60423,-0.0004799496880327028,-0.0011245566593755605,0.0001499135059422826,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.1,fpir,11132,11023,9370,121736,-0.0008953801669185779,-0.001864896168758625,5.7501478609449955e-05,query,2000,8972,False,none,0
global_safe,fiqa_s,0.1,tpir_at_rank_k,756,733,643,60423,-0.00038064975257766083,-0.00099179983242642,0.00021331026630435506,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.1,fpir,11211,10734,9224,121736,-0.0039183150423868045,-0.004822115068673194,-0.0029654333968587763,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.1,tpir_at_rank_k,762,767,659,60423,8.274994621253496e-05,-0.0005652660512254083,0.0007464323485136603,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.1,fpir,11132,10734,9195,121736,-0.0032693697837944406,-0.004181589669448642,-0.002299853781954394,query,2000,8972,False,none,0
global_safe,fiqa_l,0.1,tpir_at_rank_k,756,767,655,60423,0.0001820498816675769,-0.00046759358869478696,0.0008585918564926953,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.1,fpir,11023,10734,9259,121736,-0.0023739896168758624,-0.003261360649273838,-0.0014621804560688704,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,733,767,644,60423,0.0005626996342452378,-0.00018630156967873617,0.0014442750016665795,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.2,fpir,22220,22089,18916,121736,-0.001076099099691135,-0.0023249079976342246,0.00023842577380561104,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1421,1412,1217,60423,-0.00014894990318256292,-0.0011179188825731403,0.0007367846260009276,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.2,fpir,22206,22089,18913,121736,-0.000961096142472235,-0.002217914174935927,0.0003532233686009069,query,2000,8972,False,none,0
global_safe,fiqa_s,0.2,tpir_at_rank_k,1420,1412,1217,60423,-0.00013239991394005594,-0.0010983094992142,0.000752774803264893,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.2,fpir,22220,22000,18678,121736,-0.00180718932772557,-0.0030968653479660907,-0.00046001182887559964,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1421,1512,1234,60423,0.0015060490210681364,0.0005064873339088625,0.0026184168071454713,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.2,fpir,22206,22000,18675,121736,-0.00169218637050667,-0.0029820677531707954,-0.0003199546559768702,query,2000,8972,False,none,0
global_safe,fiqa_l,0.2,tpir_at_rank_k,1420,1512,1234,60423,0.0015225990103106433,0.0005398558369752109,0.002629344860603234,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.2,fpir,22089,22000,18813,121736,-0.0007310902280344352,-0.001987908260498127,0.0006162926332391392,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1412,1512,1245,60423,0.0016549989242506992,0.0005803566562613746,0.0029404919094304406,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.3,fpir,33836,33434,29361,121736,-0.003302227771571269,-0.004830329565617401,-0.0017086153643950846,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2185,2138,1877,60423,-0.0007778494943978286,-0.001841509829865183,0.00025136170934869997,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.3,fpir,33568,33434,29253,121736,-0.0011007425905237562,-0.002612415390681474,0.00041893934415456396,query,2000,8972,False,none,0
global_safe,fiqa_s,0.3,tpir_at_rank_k,2167,2138,1868,60423,-0.0004799496880327028,-0.0015153360489092297,0.0005972835596002746,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.3,fpir,33836,33619,28652,121736,-0.0017825458368929488,-0.0034008017349017546,-0.00020536242360517842,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.3,tpir_at_rank_k,2185,2321,1903,60423,0.002250798536980951,0.0010665152825337849,0.0034738481924841916,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.3,fpir,33568,33619,28551,121736,0.00041893934415456396,-0.0012161562725898657,0.0020209716106985597,query,2000,8972,False,none,0
global_safe,fiqa_l,0.3,tpir_at_rank_k,2167,2321,1893,60423,0.0025486983433460767,0.001367004448596458,0.0038331923195689976,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.3,fpir,33434,33619,28855,121736,0.0015196819346783204,-3.306335020043336e-05,0.003113499704278109,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,2138,2321,1905,60423,0.0030286480313787795,0.0015858683929620564,0.004670296208042954,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.01,fpir,1218,1121,987,121736,-0.0007968062035880923,-0.0011171715844121707,-0.0005010843135966354,query,2000,8972,False,none,1
global_empirical,fiqa_s,0.01,tpir_at_rank_k,125,120,105,60423,-8.274994621253496e-05,-0.0002833603205832078,0.00011150044417830382,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_s,0.01,fpir,1123,1121,953,121736,-1.6428993888414273e-05,-0.0003121508838798712,0.0002792928961030427,query,2000,8972,False,none,1
global_safe,fiqa_s,0.01,tpir_at_rank_k,117,120,103,60423,4.964996772752098e-05,-0.0001676087227858708,0.0003084107021078622,mated_identity_cluster,2000,8972,False,none,1
global_empirical,fiqa_l,0.01,fpir,1218,1119,1022,121736,-0.0008132351974765065,-0.0010845189590589469,-0.000542156798317671,query,2000,8972,False,none,1
global_empirical,fiqa_l,0.01,tpir_at_rank_k,125,112,105,60423,-0.0002151498601525909,-0.0005024987035016915,1.6602838345650585e-05,mated_identity_cluster,2000,8972,False,none,1
global_safe,fiqa_l,0.01,fpir,1123,1119,990,121736,-3.2857987776828546e-05,-0.0002957218899914569,0.0002217914174935927,query,2000,8972,False,none,1
global_safe,fiqa_l,0.01,tpir_at_rank_k,117,112,104,60423,-8.274994621253496e-05,-0.0002620736409956977,8.310477479766766e-05,mated_identity_cluster,2000,8972,False,none,1
fiqa_s,fiqa_l,0.01,fpir,1121,1119,962,121736,-1.6428993888414273e-05,-0.00029592725241506175,0.00026286390221462837,query,2000,8972,False,none,1
