reference_method,candidate_method,target_fpir,metric,split_count,delta_min,delta_q25,delta_median,delta_q75,delta_max,positive_delta_split_count,negative_delta_split_count,positive_conditional_ci_split_count,negative_conditional_ci_split_count,between_split_statistics_are_ci,independent_replications,multiple_comparison_adjustment
fiqa_s,fiqa_l,0.01,fpir,20,-0.0005175133074850496,-0.0002115232963133338,-0.00011500295721889992,-6.160872708155352e-06,0.00021357692054938557,5,15,0,2,False,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,20,-0.00019859987091008392,-0.00014894990318256292,-0.00013239991394005594,-9.516243814441521e-05,0.0,0,19,0,0,False,False,none
fiqa_s,fiqa_l,0.05,fpir,20,-0.0021357692054938555,-0.0018195110731418808,-0.0015073601892620096,-0.0011808339357297758,-0.00016428993888414274,0,20,0,19,False,False,none
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,20,-0.00016549989242506993,-9.929993545504196e-05,-6.619995697002797e-05,-3.3099978485013984e-05,0.00014894990318256292,3,16,0,0,False,False,none
fiqa_s,fiqa_l,0.1,fpir,20,-0.004772622724584346,-0.002550601301176316,-0.00169218637050667,-0.0011377078267726885,-0.00010678846027469278,0,20,0,16,False,False,none
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,20,0.00031444979560763285,0.0005626996342452378,0.0006288995912152658,0.0008274994621253496,0.0009102494083378846,20,0,9,0,False,False,none
fiqa_s,fiqa_l,0.2,fpir,20,-0.0040333179996057044,-0.001217799171978708,-0.00035733061707301047,0.0008666294276138529,0.00220969967799172,10,10,4,4,False,False,none
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,20,0.0008771494298528706,0.0013777866044387072,0.0016218989457656853,0.001853598795160783,0.002184598580010923,20,0,19,0,False,False,none
fiqa_s,fiqa_l,0.3,fpir,20,-0.0024807780771505554,0.000856361306433594,0.002074160478412302,0.002844269566931721,0.005569428928172439,19,1,13,1,False,False,none
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,20,0.0024328484186485278,0.002859010641643083,0.00305347301524254,0.00323138539959949,0.0035913476656240172,20,0,20,0,False,False,none
global_empirical,fiqa_l,0.01,fpir,20,-0.002883288427416705,-0.0009179700335151476,-0.0007516264703949531,-0.0005729611618584478,-0.00034500887165669973,0,20,0,20,False,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,20,-0.0005295996557602237,-0.0002523873359482316,-0.0002151498601525909,-0.0001820498816675769,-8.274994621253496e-05,0,20,0,6,False,False,none
global_empirical,fiqa_l,0.05,fpir,20,-0.009233094565288822,-0.002608102779785766,-0.002074160478412302,-0.0015833442859959255,-0.001191102056910035,0,20,0,20,False,False,none
global_empirical,fiqa_l,0.05,tpir_at_rank_k,20,-0.0011088492792479686,-0.00024824983863760486,-0.00014894990318256292,-5.792496234877447e-05,-1.6549989242506992e-05,0,20,0,4,False,False,none
global_empirical,fiqa_l,0.1,fpir,20,-0.015016100414010646,-0.004708960373266741,-0.003450088716566997,-0.002121393835841493,-0.0007557337188670566,0,20,0,19,False,False,none
global_empirical,fiqa_l,0.1,tpir_at_rank_k,20,-0.0014232990748556014,-5.792496234877448e-05,0.00014067490856130944,0.0003516872714032736,0.0005461496450027307,13,7,0,3,False,False,none
global_empirical,fiqa_l,0.2,fpir,20,-0.01994479858053493,-0.005025218505618716,-0.0018482618124466058,0.0003265262535322337,0.0016428993888414273,7,13,1,12,False,False,none
global_empirical,fiqa_l,0.2,tpir_at_rank_k,20,-0.0012246992039455175,0.0009143869056485113,0.0012577991824305314,0.001688098902735713,0.001969448719858332,17,3,15,3,False,False,none
global_empirical,fiqa_l,0.3,fpir,20,-0.02814286653085365,-0.006957678911743445,-0.002045409739107577,-0.0009672570151803904,0.0011582440691332062,3,17,0,12,False,False,none
global_empirical,fiqa_l,0.3,tpir_at_rank_k,20,-0.0013239991394005594,0.0014853615345150025,0.002168048590768416,0.002362510964367873,0.0026314482895586117,16,4,16,1,False,False,none
global_empirical,fiqa_s,0.01,fpir,20,-0.0023657751199316554,-0.0008358250640730762,-0.000628409016231846,-0.0005483176710258264,-0.0002792928961030427,0,20,0,19,False,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,20,-0.0004302997203051818,-0.00010757493007629545,-9.102494083378847e-05,-4.964996772752098e-05,-1.6549989242506992e-05,0,20,0,1,False,False,none
global_empirical,fiqa_s,0.05,fpir,20,-0.007417690740619045,-0.0012506571597555366,-0.0009200236577511994,-0.0001581290661759874,0.0004517973319313925,4,16,0,12,False,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,20,-0.0010095493437929266,-0.00019032487628883041,-9.929993545504195e-05,-2.8962481174387235e-05,4.964996772752098e-05,2,16,0,4,False,False,none
global_empirical,fiqa_s,0.1,fpir,20,-0.011122428862456462,-0.002291844647433791,-0.0014950384438456989,-0.0008152888217125583,0.0006735887494249852,2,18,0,12,False,False,none
