split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,all,67064,1.0,670,0.009990456877013002,-0.323942095041275,-0.3240216001868251,[],False,global_safe,0.01,0
safety,all,31761,1.0,252,0.00793425899688297,-0.323942095041275,-0.3328480541706084,[],False,global_safe,0.01,0
test,all,121736,1.0,1193,0.009799894854439115,-0.323942095041275,-0.3246752083301546,[],False,global_safe,0.01,0
fit,low,33340,0.49713706310390077,333,0.009988002399520095,-0.3154825270175934,-0.31568285793066014,[0.5466472],False,fiqa_s,0.01,0
fit,high,33724,0.5028629368960993,336,0.009963230933459851,-0.33931164580012196,-0.3394912543892862,[0.5466472],False,fiqa_s,0.01,0
safety,low,15435,0.4859733635590819,134,0.008681567865241335,-0.3154825270175934,-0.3216860347986221,[0.5466472],False,fiqa_s,0.01,0
safety,high,16326,0.5140266364409181,127,0.007779002817591572,-0.33931164580012196,-0.34806979447603226,[0.5466472],False,fiqa_s,0.01,0
test,low,59311,0.48721002825786947,626,0.010554534572001822,-0.3154825270175934,-0.31349252760410307,[0.5466472],False,fiqa_s,0.01,0
test,high,62425,0.5127899717421305,594,0.009515418502202643,-0.33931164580012196,-0.3414858639240263,[0.5466472],False,fiqa_s,0.01,0
fit,low,33776,0.5036383156387928,264,0.007816200852676456,-0.3324296772480011,-0.3397243544459343,[0.5597402],False,fiqa_l,0.01,0
fit,high,33288,0.4963616843612072,332,0.009973564047104061,-0.31101471185684204,-0.3113007807731629,[0.5597402],False,fiqa_l,0.01,0
safety,low,15462,0.48682346273731936,154,0.009959901694476782,-0.3324296772480011,-0.33292280167341237,[0.5597402],False,fiqa_l,0.01,0
safety,high,16299,0.5131765372626806,100,0.006135345726731701,-0.31101471185684204,-0.3327952933311462,[0.5597402],False,fiqa_l,0.01,0
test,low,58468,0.4802852073339029,532,0.009098994321680235,-0.3324296772480011,-0.3365066972374916,[0.5597402],False,fiqa_l,0.01,0
test,high,63268,0.5197147926660971,587,0.00927799203388759,-0.31101471185684204,-0.3140688386559486,[0.5597402],False,fiqa_l,0.01,0
fit,all,67064,1.0,3353,0.049997017774066566,-0.4030708074569702,-0.3240216001868251,[],False,global_safe,0.05,0
safety,all,31761,1.0,1534,0.0482982273857876,-0.4030708074569702,-0.3328480541706084,[],False,global_safe,0.05,0
test,all,121736,1.0,5520,0.045344023132023396,-0.4030708074569702,-0.3246752083301546,[],False,global_safe,0.05,0
fit,low,33340,0.49713706310390077,1667,0.05,-0.3873468041419983,-0.31568285793066014,[0.5466472],False,fiqa_s,0.05,0
fit,high,33724,0.5028629368960993,1618,0.04797770134029178,-0.42452722787857056,-0.3394912543892862,[0.5466472],False,fiqa_s,0.05,0
safety,low,15435,0.4859733635590819,754,0.04885001619695497,-0.3873468041419983,-0.3216860347986221,[0.5466472],False,fiqa_s,0.05,0
safety,high,16326,0.5140266364409181,816,0.04998162440279309,-0.42452722787857056,-0.34806979447603226,[0.5466472],False,fiqa_s,0.05,0
test,low,59311,0.48721002825786947,2665,0.044932643185918296,-0.3873468041419983,-0.31349252760410307,[0.5466472],False,fiqa_s,0.05,0
test,high,62425,0.5127899717421305,2902,0.046487785342410895,-0.42452722787857056,-0.3414858639240263,[0.5466472],False,fiqa_s,0.05,0
fit,low,33776,0.5036383156387928,1385,0.04100544765513974,-0.39694178104400635,-0.3397243544459343,[0.5597402],False,fiqa_l,0.05,0
fit,high,33288,0.4963616843612072,1664,0.04998798365777457,-0.3984573185443878,-0.3113007807731629,[0.5597402],False,fiqa_l,0.05,0
safety,low,15462,0.48682346273731936,773,0.04999353253136722,-0.39694178104400635,-0.33292280167341237,[0.5597402],False,fiqa_l,0.05,0
safety,high,16299,0.5131765372626806,628,0.03852997116387508,-0.3984573185443878,-0.3327952933311462,[0.5597402],False,fiqa_l,0.05,0
test,low,58468,0.4802852073339029,2471,0.04226243415201478,-0.39694178104400635,-0.3365066972374916,[0.5597402],False,fiqa_l,0.05,0
test,high,63268,0.5197147926660971,2566,0.040557627868748815,-0.3984573185443878,-0.3140688386559486,[0.5597402],False,fiqa_l,0.05,0
fit,all,67064,1.0,6692,0.09978527973279255,-0.4500289261341095,-0.3240216001868251,[],False,global_safe,0.1,0
