reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_s,0.01,fpir,1409,1356,1356,121736,-0.00043536833804297826,-0.0005585857922060854,-0.00032036538082407835,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.01,fpir,1400,1356,1351,121736,-0.00036143786554511403,-0.00048465531970822107,-0.0002464349083262141,query,2000,8972,False,none,0
global_safe,fiqa_s,0.01,tpir_at_rank_k,1,1,1,60423,0.0,0.0,0.0,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.01,fpir,1409,1345,1175,121736,-0.0005257278044292567,-0.0008625221791417494,-0.00020536242360517842,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.01,fpir,1400,1345,1170,121736,-0.0004517973319313925,-0.0007885917066438852,-0.00014786094499572846,query,2000,8972,False,none,0
global_safe,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.01,fpir,1356,1345,1157,121736,-9.035946638627851e-05,-0.00041072484721035683,0.0002217914174935927,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,1,3,1,60423,3.3099978485013984e-05,0.0,8.406070487677685e-05,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.05,fpir,6354,6140,5783,121736,-0.0017579023460603273,-0.0022507721627127554,-0.0012403890385752777,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.05,tpir_at_rank_k,86,84,70,60423,-3.3099978485013984e-05,-0.00025990487371227634,0.0001636658676525622,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.05,fpir,6320,6140,5765,121736,-0.0014786094499572846,-0.00197969376355392,-0.0009693106394164421,query,2000,8972,False,none,0
global_safe,fiqa_s,0.05,tpir_at_rank_k,84,84,70,60423,0.0,-0.00019000635917422798,0.00017670776958188467,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.05,fpir,6354,6055,5440,121736,-0.002456134586317934,-0.0031050798449102977,-0.0018154038246697773,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.05,tpir_at_rank_k,86,97,66,60423,0.0001820498816675769,-0.00016034046406555194,0.00052747623881521,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.05,fpir,6320,6055,5428,121736,-0.0021768416902148914,-0.002809357954918841,-0.0015361109285667346,query,2000,8972,False,none,0
global_safe,fiqa_l,0.05,tpir_at_rank_k,84,97,66,60423,0.0002151498601525909,-8.297132201500157e-05,0.0005442855729889246,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.05,fpir,6140,6055,5401,121736,-0.0006982322402576066,-0.0013145248734967468,-7.393047249786423e-05,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,84,97,64,60423,0.0002151498601525909,-6.478557368042856e-05,0.0005152190539592348,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.1,fpir,11951,11740,10752,121736,-0.0017332588552277058,-0.0025138414273509885,-0.0010103831241374778,query,2000,8972,False,none,0
global_empirical,fiqa_s,0.1,tpir_at_rank_k,374,367,296,60423,-0.00011584992469754894,-0.0005596397526279001,0.00034531008370515174,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_s,0.1,fpir,11951,11740,10752,121736,-0.0017332588552277058,-0.0025138414273509885,-0.0010103831241374778,query,2000,8972,False,none,0
global_safe,fiqa_s,0.1,tpir_at_rank_k,374,367,296,60423,-0.00011584992469754894,-0.0005596397526279001,0.00034531008370515174,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_l,0.1,fpir,11951,11349,10080,121736,-0.004945127160412697,-0.00588157981205231,-0.0040661759873825325,query,2000,8972,False,none,0
global_empirical,fiqa_l,0.1,tpir_at_rank_k,374,413,275,60423,0.0006454495804577728,-0.0002797195756885158,0.0017685115909162133,mated_identity_cluster,2000,8972,False,none,0
global_safe,fiqa_l,0.1,fpir,11951,11349,10080,121736,-0.004945127160412697,-0.00588157981205231,-0.0040661759873825325,query,2000,8972,False,none,0
global_safe,fiqa_l,0.1,tpir_at_rank_k,374,413,275,60423,0.0006454495804577728,-0.0002797195756885158,0.0017685115909162133,mated_identity_cluster,2000,8972,False,none,0
fiqa_s,fiqa_l,0.1,fpir,11740,11349,10005,121736,-0.0032118683051849907,-0.00411566833147138,-0.002308068278898601,query,2000,8972,False,none,0
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,367,413,265,60423,0.0007612995051553217,-0.00024332054897631156,0.0019145896389113667,mated_identity_cluster,2000,8972,False,none,0
global_empirical,fiqa_s,0.2,fpir,23541,23342,21151,121736,-0.0016346848918972203,-0.0027027748570677525,-0.0005255224420056527,query,2000,8972,False,none,0
