method,target_fpir,split_count,target_met_split_count,target_met_split_fraction,wilson_upper_met_split_count,wilson_lower_exceeds_target_split_count,observed_pattern,split_dependent_method,between_split_statistics_are_ci,fpir_min,fpir_q25,fpir_median,fpir_q75,fpir_max,fpir_excess_min,fpir_excess_q25,fpir_excess_median,fpir_excess_q75,fpir_excess_max,tpir_min,tpir_q25,tpir_median,tpir_q75,tpir_max
fiqa_l,0.01,20,2,0.1,0,15,split_sensitive_target_attainment,True,False,0.009742393375829664,0.01061313005191562,0.010752776499967143,0.011013586777945719,0.011064927383847014,-0.0002576066241703357,0.0006131300519156202,0.0007527764999671416,0.0010135867779457182,0.0010649273838470134,1.6549989242506992e-05,3.3099978485013984e-05,3.3099978485013984e-05,4.964996772752098e-05,4.964996772752098e-05
fiqa_l,0.05,20,11,0.55,5,0,split_sensitive_target_attainment,True,False,0.04739764736807518,0.04906929749622133,0.04982503121508839,0.050344598146809486,0.051077741999079974,-0.0026023526319248202,-0.0009307025037786701,-0.00017496878491161244,0.0003445981468094845,0.0010777419990799716,0.0012412491931880244,0.0014522615560299886,0.0015805239726594178,0.0016384489350081922,0.0016880989027357133
fiqa_l,0.1,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.08591542353946244,0.09236175001642899,0.09338240126174673,0.09447287573109023,0.09569888940001314,-0.014084576460537568,-0.007638249983571009,-0.00661759873825328,-0.005527124268909778,-0.004301110599986863,0.005279446568359731,0.006582758221207156,0.006868245535640402,0.007054432914618606,0.0072323452989755555
fiqa_l,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.17850101859762108,0.18632738056121445,0.188530919366498,0.1909624104619833,0.19203029506473024,-0.021498981402378936,-0.013672619438785567,-0.011469080633502021,-0.009037589538016706,-0.007969704935269772,0.01810568823130265,0.01926004998096751,0.0196448372308558,0.020008936994190953,0.020290286811313573
fiqa_l,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.27242557665768546,0.28005889794308997,0.2843899914569232,0.2868461260432411,0.2884767036866662,-0.027574423342314525,-0.01994110205691002,-0.015610008543076814,-0.013153873956758863,-0.011523296313333764,0.031229829700610695,0.0323138539959949,0.033066878506528966,0.03347649074028102,0.03374542806547176
fiqa_s,0.01,20,1,0.05,0,16,split_sensitive_target_attainment,True,False,0.009890254320825393,0.010682953275941381,0.010929388184267596,0.011120375238220412,0.011385292764671092,-0.00010974567917460681,0.0006829532759413809,0.0009293881842675948,0.0011203752382204116,0.0013852927646710918,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05,1.6549989242506992e-05
fiqa_s,0.05,20,8,0.4,2,3,split_sensitive_target_attainment,True,False,0.04792337517250444,0.04966074127620425,0.05023986331077085,0.05091345206019583,0.0516774002760071,-0.0020766248274955643,-0.00033925872379575624,0.00023986331077084644,0.0009134520601958296,0.0016774002760070947,0.0012577991824305314,0.0013364116313324397,0.0013901990963705875,0.0014232990748556014,0.0014729490425831222
fiqa_s,0.1,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.08957908917657882,0.09501913977788,0.09593300256292304,0.09686534796609056,0.09745679174607347,-0.010420910823421184,-0.0049808602221200066,-0.004066997437076961,-0.0031346520339094533,-0.0025432082539265377,0.005163596643662182,0.005804908726809328,0.005991096105787531,0.006098671035863827,0.006206245965940122
fiqa_s,0.2,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.17992212656896892,0.1865245284878754,0.18920040086745088,0.19082276401393178,0.1934924755207991,-0.020077873431031096,-0.013475471512124602,-0.010799599132549145,-0.009177235986068226,-0.006507524479200916,0.016334839382354402,0.0172161263095179,0.017476788640087386,0.017658838521754962,0.0179898383066051
fiqa_s,0.3,20,20,1.0,20,0,all_observed_splits_meet,True,False,0.2710701846618913,0.2787425248077808,0.2838642636524939,0.2861088749424985,0.28795919037918116,-0.028929815338108678,-0.021257475192219225,-0.01613573634750609,-0.01389112505750148,-0.012040809620818826,0.02844943150786952,0.029616205749466263,0.030162355394468994,0.030423017725038477,0.030634030087880442
