method,target_fpir,quality_group,split_count,threshold_min,threshold_q25,threshold_median,threshold_q75,threshold_max,fit_non_mated_count_min,fit_non_mated_count_q25,fit_non_mated_count_median,fit_non_mated_count_q75,fit_non_mated_count_max,safety_non_mated_count_min,safety_non_mated_count_q25,safety_non_mated_count_median,safety_non_mated_count_q75,safety_non_mated_count_max,global_fallback_split_count
fiqa_l,0.01,high,20,-0.17964929342269897,-0.17898199962210717,-0.17788315588119863,-0.1753789745271206,-0.17197385430335999,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.01,low,20,-0.15594224631786346,-0.15430545061826706,-0.15326698124408722,-0.15206632018089294,-0.14840959012508392,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.05,high,20,-0.28177001349395986,-0.2798978372760002,-0.2781304952544461,-0.27497175030044985,-0.2661037743091583,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.05,low,20,-0.2415311634540558,-0.24036318063735962,-0.2392098382115364,-0.23858362063765526,-0.2356935441493988,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.1,high,20,-0.3604575356727011,-0.35713126636280434,-0.35539235562745275,-0.3516917006625553,-0.3344877064228058,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.1,low,20,-0.29347047209739685,-0.2925264909863472,-0.2916649580001831,-0.29083095490932465,-0.288707971572876,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.2,high,20,-0.473772257566452,-0.4695341081079631,-0.46778338793817453,-0.46366275325643197,-0.45282474160194397,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.2,low,20,-0.36941617727279663,-0.3682074323296547,-0.36758120357990265,-0.3657763600349426,-0.3634505867958069,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_l,0.3,high,20,-0.5546861233893764,-0.5522503458954594,-0.5502194594571568,-0.5438402985234325,-0.5363633036613464,32713.0,34283.5,34867.5,35477.0,36567.0,13025.0,13783.5,14623.5,15652.25,17358.0,0
fiqa_l,0.3,low,20,-0.4284173548221588,-0.4264589995145798,-0.4260709136724472,-0.42385704815387726,-0.41988566517829895,32695.0,34363.25,34764.5,35656.0,36880.0,12160.0,13751.25,14480.0,15127.75,16778.0,0
fiqa_s,0.01,high,20,-0.16699807345867157,-0.16667238947634888,-0.1658863864677726,-0.161747295409441,-0.15685045719146729,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.01,low,20,-0.16491820063532853,-0.1636148989200592,-0.16306161135435104,-0.16244756414887723,-0.15903356671333313,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.05,high,20,-0.2706525344402158,-0.26890869686984875,-0.2676408850727343,-0.2646547310388664,-0.2621959149837494,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.05,low,20,-0.2475646734237671,-0.2466106377542019,-0.24590763449668884,-0.24391625076532364,-0.24150684475898743,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.1,high,20,-0.342151939868927,-0.34024688967666555,-0.33883119547260854,-0.33686702818768055,-0.3344877064228058,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
fiqa_s,0.1,low,20,-0.30192044377326965,-0.3004250153899193,-0.29959166049957275,-0.29798730462789536,-0.28952327370643616,32345.0,34091.25,34460.0,35362.5,36600.0,12634.0,13833.75,14673.0,15257.25,16848.0,0
fiqa_s,0.2,high,20,-0.44420236349105835,-0.4425275770565066,-0.43969763300361975,-0.43740280693042843,-0.432389497756958,33063.0,34527.75,35188.5,35775.75,36847.0,12744.0,13959.75,14539.0,15270.75,16664.0,0
