method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met,partition_seed
global_empirical,0.01,conditional-threshold-763f191e2f8f8391306ac5cc,all,98825,0,-0.16620007157325745,1.0,-0.16620007157325745,,-0.16620007157325745,False,0.009997470275739944,,True,,0
global_safe,0.01,conditional-threshold-fe38950542524a982ea985f7,all,67064,31761,-0.16586348414421082,1.0,-0.16586348414421082,-0.1672685742378235,-0.16586348414421082,False,0.009990456877013002,0.009665942508107428,True,True,0
fiqa_s,0.01,conditional-threshold-05219317caebcb11dfd28d89,low,33340,15435,-0.1652849316596985,0.9940369707811568,-0.1652849316596985,-0.16352331638336182,-0.16352331638336182,False,0.009598080383923215,0.009977324263038548,True,True,0
fiqa_s,0.01,conditional-threshold-05219317caebcb11dfd28d89,high,33724,16326,-0.1661606729030609,0.99410446881264,-0.16615892081746458,-0.17111945152282715,-0.16615892081746458,False,0.009963230933459851,0.008759034668626731,True,True,0
fiqa_l,0.01,conditional-threshold-a2c88db876f1680022ab97c7,low,33776,15462,-0.1533282846212387,0.9941134918766188,-0.1533282846212387,-0.1575787514448166,-0.1533282846212387,False,0.009977498815727143,0.00886043202690467,True,True,0
fiqa_l,0.01,conditional-threshold-a2c88db876f1680022ab97c7,high,33288,16299,-0.1798257827758789,0.9940277114190158,-0.17974239589919672,-0.17964929342269897,-0.17964929342269897,False,0.009883441480413362,0.009939260077305357,True,True,0
global_empirical,0.05,conditional-threshold-953e64cd7baab9591d3e830f,all,98825,0,-0.2576870024204254,1.0,-0.2576870024204254,,-0.2576870024204254,False,0.04999747027573995,,True,,0
global_safe,0.05,conditional-threshold-20199803c131241c013596e5,all,67064,31761,-0.2572326064109802,1.0,-0.2572326064109802,-0.2584094703197479,-0.2572326064109802,False,0.049997017774066566,0.04924278202827367,True,True,0
fiqa_s,0.05,conditional-threshold-b9c8cc08d20f70a5c0b63141,low,33340,15435,-0.24882951378822327,0.9940369707811568,-0.24882951378822327,-0.24444222450256348,-0.24444222450256348,False,0.046580683863227355,0.04995140913508261,True,True,0
fiqa_s,0.05,conditional-threshold-b9c8cc08d20f70a5c0b63141,high,33724,16326,-0.2690284848213196,0.99410446881264,-0.26895894185226915,-0.2734163701534271,-0.26895894185226915,False,0.04987545961333175,0.04679652088692882,True,True,0
fiqa_l,0.05,conditional-threshold-24204183592dd231fcb61559,low,33776,15462,-0.24305443465709686,0.9941134918766188,-0.24305443465709686,-0.23877234756946564,-0.23877234756946564,False,0.04704523922311701,0.04999353253136722,True,True,0
fiqa_l,0.05,conditional-threshold-24204183592dd231fcb61559,high,33288,16299,-0.27865082025527954,0.9940277114190158,-0.2785229045013122,-0.2874009907245636,-0.2785229045013122,False,0.04992790194664744,0.044665316890606786,True,True,0
