reference_method,candidate_method,target_fpir,metric,split_count,delta_min,delta_q25,delta_median,delta_q75,delta_max,positive_delta_split_count,negative_delta_split_count,positive_conditional_ci_split_count,negative_conditional_ci_split_count,between_split_statistics_are_ci,independent_replications,multiple_comparison_adjustment
fiqa_s,fiqa_l,0.01,fpir,20,-0.00018071893277255702,3.6965236248932116e-05,0.00016018269041203915,0.0005010843135966354,0.0007146612341460209,15,4,9,0,False,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,20,-6.619995697002797e-05,4.964996772752098e-05,9.929993545504196e-05,0.00010343743276566871,0.00014894990318256292,18,1,1,0,False,False,none
fiqa_s,fiqa_l,0.05,fpir,20,-0.0021193402116054414,-0.0015587007951633042,-0.0008132351974765065,-0.0002710783991588355,0.00042715384109877114,2,18,0,12,False,False,none
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,20,-1.6549989242506992e-05,6.619995697002797e-05,0.00014894990318256292,0.00020273736822071066,0.00033099978485013986,16,2,0,0,False,False,none
fiqa_s,fiqa_l,0.1,fpir,20,-0.0033925872379575476,-0.0024581882105539857,-0.0012609252809357954,-0.0008912729184464743,-1.6428993888414273e-05,0,20,0,15,False,False,none
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,20,-1.6549989242506992e-05,0.00028548731443324557,0.0004302997203051818,0.0005337371530708505,0.0006619995697002797,18,1,0,0,False,False,none
fiqa_s,fiqa_l,0.2,fpir,20,-0.0034008017349017546,-0.002158359072090425,-0.0008994874153906815,6.366235131760531e-05,0.0025464940527042124,6,14,2,8,False,False,none
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,20,0.0010095493437929266,0.0013157241447793058,0.0014398490640981083,0.001559836486106284,0.0017211988812207272,20,0,20,0,False,False,none
fiqa_s,fiqa_l,0.3,fpir,20,-0.0061115857264901095,-0.0013389630019057632,-7.803772096996782e-05,0.0011171715844121707,0.004222251429322468,10,10,3,4,False,False,none
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,20,0.0013570991178855733,0.001774986346258875,0.0020108236929645995,0.00218873607732155,0.0029127981066812306,20,0,19,0,False,False,none
global_empirical,fiqa_l,0.01,fpir,20,-0.0031050798449102977,-0.0010165439968456331,-0.0007434119734507458,-0.0005380495498455674,-0.00023822041138200697,0,20,0,20,False,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,20,-0.00038064975257766083,-8.688744352316172e-05,-4.964996772752098e-05,-4.5512470416894234e-05,-1.6549989242506992e-05,0,20,0,3,False,False,none
global_empirical,fiqa_l,0.05,fpir,20,-0.007820201090885194,-0.003008559505815864,-0.001930406781888677,-0.0015155746862062166,-0.0006489452585923638,0,20,0,20,False,False,none
global_empirical,fiqa_l,0.05,tpir_at_rank_k,20,-0.0010591993115204475,-0.0003351372821607666,-0.00016549989242506993,-4.5512470416894234e-05,0.00014894990318256292,1,17,0,6,False,False,none
global_empirical,fiqa_l,0.1,fpir,20,-0.010613130051915621,-0.005158704080962082,-0.0033802654925412364,-0.0026553361372149567,-0.0016100414010645988,0,20,0,20,False,False,none
global_empirical,fiqa_l,0.1,tpir_at_rank_k,20,-0.0012246992039455175,-0.0001199874220081757,0.00013239991394005594,0.0002689373251907386,0.0004302997203051818,13,7,1,4,False,False,none
global_empirical,fiqa_l,0.2,fpir,20,-0.014597161069856082,-0.006392932246829204,-0.003207761056712887,-0.0024581882105539857,0.0001560754419399356,1,19,0,17,False,False,none
global_empirical,fiqa_l,0.2,tpir_at_rank_k,20,-0.0009102494083378846,0.0003103122982970061,0.0006454495804577728,0.0008192244675040961,0.0010922992900054614,16,4,2,0,False,False,none
global_empirical,fiqa_l,0.3,fpir,20,-0.017316159558388645,-0.007775021357692055,-0.005655681146086614,-0.0026060491555497138,-0.000657159755536571,0,20,0,16,False,False,none
global_empirical,fiqa_l,0.3,tpir_at_rank_k,20,-0.0002151498601525909,0.0012867616636049188,0.0014398490640981083,0.001990136206411466,0.002333548483193486,18,2,16,0,False,False,none
global_empirical,fiqa_s,0.01,fpir,20,-0.0038197410790563185,-0.0014231615955838865,-0.0009693106394164421,-0.0007454655976867977,-0.0002875073930472498,0,20,0,19,False,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,20,-0.00038064975257766083,-0.0001820498816675769,-0.00015722489780381642,-0.00014481240587193618,-8.274994621253496e-05,0,20,0,11,False,False,none
global_empirical,fiqa_s,0.05,fpir,20,-0.006916606427022409,-0.0020166589998028522,-0.00104734836038641,-0.0005175133074850496,9.857396333048565e-05,2,18,0,14,False,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,20,-0.0011584992469754894,-0.00043443721761580854,-0.00030617480098637937,-0.00019446237359945715,-0.00013239991394005594,0,20,0,9,False,False,none
global_empirical,fiqa_s,0.1,fpir,20,-0.009216665571400407,-0.0035876815403824668,-0.0017373661036998093,-0.0009118091608069921,-0.00014786094499572846,0,20,0,16,False,False,none
global_empirical,fiqa_s,0.1,tpir_at_rank_k,20,-0.0012743491716730383,-0.0005833871207983714,-0.0002813498171226189,-0.00015308740049318968,4.964996772752098e-05,2,17,0,5,False,False,none
global_empirical,fiqa_s,0.2,fpir,20,-0.01526253532233686,-0.00515665045672603,-0.002677926003811527,-0.0008912729184464743,0.0009118091608069921,3,17,0,12,False,False,none
global_empirical,fiqa_s,0.2,tpir_at_rank_k,20,-0.002234248547738444,-0.0010591993115204475,-0.0007943994836403356,-0.0006082121046621319,-0.0004137497310626748,0,20,0,5,False,False,none
global_empirical,fiqa_s,0.3,fpir,20,-0.02153841098771111,-0.006557222185713347,-0.0045549385555628576,-0.0023082736413222054,-0.0008953801669185779,0,20,0,18,False,False,none
global_empirical,fiqa_s,0.3,tpir_at_rank_k,20,-0.0031279479668338216,-0.0007157870347384274,-0.00037237475795640735,-3.3099978485013984e-05,0.00023169984939509788,5,15,0,3,False,False,none
global_safe,fiqa_l,0.01,fpir,20,-0.0007968062035880923,-1.8482618124466058e-05,9.446671485838207e-05,0.00021152329631333376,0.00043536833804297826,14,6,6,3,False,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,20,-9.929993545504196e-05,2.8962481174387235e-05,6.619995697002797e-05,9.929993545504196e-05,0.00013239991394005594,17,1,1,0,False,False,none
global_safe,fiqa_l,0.05,fpir,20,-0.00203719524216337,-0.0009816323848327528,-0.0003942958533219426,-0.00017045081159229808,0.0001560754419399356,2,18,0,12,False,False,none
global_safe,fiqa_l,0.05,tpir_at_rank_k,20,-0.00024824983863760486,-7.033745428065472e-05,-3.309997848501399e-05,1.6549989242506992e-05,0.00014894990318256292,8,11,0,0,False,False,none
global_safe,fiqa_l,0.1,fpir,20,-0.0031707958204639547,-0.0024109548531247946,-0.0011336005783005847,-0.0005729611618584478,0.0006325162647039496,2,18,1,14,False,False,none
global_safe,fiqa_l,0.1,tpir_at_rank_k,20,0.00011584992469754894,0.00022342485477384438,0.00038064975257766083,0.0004799496880327028,0.0005461496450027307,20,0,10,0,False,False,none
global_safe,fiqa_l,0.2,fpir,20,-0.001971479266609713,-0.0007331438522704869,0.0007680554642833673,0.0011069034632319118,0.0023082736413222054,14,6,5,4,False,False,none
global_safe,fiqa_l,0.2,tpir_at_rank_k,20,0.0007116495374278007,0.0009971368518610464,0.0010591993115204475,0.00118332423083925,0.0014894990318256294,20,0,13,0,False,False,none
global_safe,fiqa_l,0.3,fpir,20,-0.004920483669580075,-0.0002649175264506802,0.001199316553854242,0.00180718932772557,0.004123677465991983,14,6,9,2,False,False,none
global_safe,fiqa_l,0.3,tpir_at_rank_k,20,0.0016549989242506992,0.0019984112010327194,0.0021928735746321766,0.002461810899822915,0.002647998278801119,20,0,20,0,False,False,none
global_safe,fiqa_s,0.01,fpir,20,-0.0008132351974765065,-0.0003100972596438194,-0.00022589866596569626,5.5447854373398173e-05,0.0003860813563777354,7,13,1,5,False,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,20,-9.929993545504196e-05,-3.723747579564073e-05,-2.4824983863760486e-05,0.0,8.274994621253496e-05,3,13,0,0,False,False,none
global_safe,fiqa_s,0.05,fpir,20,-0.0004928698166524282,-0.00013964644805152134,0.00013553919957941778,0.00038197410790563184,0.0015853979102319774,11,9,4,0,False,False,none
