reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment,partition_seed
global_empirical,fiqa_s,0.01,fpir,1802,1611,1465,121736,-0.001568968916343563,-0.001930406781888677,-0.0012239600446868634,query,2000,42,False,none,0
global_empirical,fiqa_s,0.01,tpir_at_rank_k,79,68,62,60423,-0.0001820498816675769,-0.00034066113151214565,-3.437188631554903e-05,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_s,0.01,fpir,1686,1611,1430,121736,-0.0006160872708155352,-0.0009528816455280279,-0.0002957218899914569,query,2000,42,False,none,0
global_safe,fiqa_s,0.01,tpir_at_rank_k,70,68,59,60423,-3.3099978485013984e-05,-0.00014285030570105204,6.778225884324927e-05,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_l,0.01,fpir,1802,1589,1589,121736,-0.00174968784911612,-0.001987908260498127,-0.0015196819346783204,query,2000,42,False,none,0
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,64,64,60423,-0.00024824983863760486,-0.000498839009979348,-6.502938950268141e-05,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_l,0.01,fpir,1686,1589,1589,121736,-0.0007968062035880923,-0.0009528816455280279,-0.0006407307616481567,query,2000,42,False,none,0
global_safe,fiqa_l,0.01,tpir_at_rank_k,70,64,64,60423,-9.929993545504196e-05,-0.00024118780957381713,0.0,mated_identity_cluster,2000,42,False,none,0
fiqa_s,fiqa_l,0.01,fpir,1611,1589,1391,121736,-0.00018071893277255702,-0.0005092988105408425,0.00013964644805152134,query,2000,42,False,none,0
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,68,64,56,60423,-6.619995697002797e-05,-0.0002332650557162374,7.798007446094229e-05,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_s,0.05,fpir,6470,6178,5490,121736,-0.002398633107708484,-0.003072221857133469,-0.0017166244989156876,query,2000,42,False,none,0
global_empirical,fiqa_s,0.05,tpir_at_rank_k,421,391,354,60423,-0.0004964996772752097,-0.0009115290941676638,-0.0001001988996687103,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_s,0.05,fpir,6186,6178,5372,121736,-6.571597555365709e-05,-0.0007475192219228494,0.0006162926332391392,query,2000,42,False,none,0
global_safe,fiqa_s,0.05,tpir_at_rank_k,406,391,349,60423,-0.00024824983863760486,-0.0006239156200568059,0.00010127318706507452,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_l,0.05,fpir,6470,5955,5817,121736,-0.004230465926266675,-0.00469068311756588,-0.003778668594335283,query,2000,42,False,none,0
global_empirical,fiqa_l,0.05,tpir_at_rank_k,421,391,378,60423,-0.0004964996772752097,-0.0008269509696653318,-0.00019130551593664235,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_l,0.05,fpir,6186,5955,5722,121736,-0.0018975487941118485,-0.00232470263521062,-0.0014786094499572846,query,2000,42,False,none,0
global_safe,fiqa_l,0.05,tpir_at_rank_k,406,391,372,60423,-0.00024824983863760486,-0.0004864585846297776,0.0,mated_identity_cluster,2000,42,False,none,0
fiqa_s,fiqa_l,0.05,fpir,6178,5955,5315,121736,-0.0018318328185581915,-0.0024397055924295194,-0.0011664585660774135,query,2000,42,False,none,0
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,391,391,345,60423,0.0,-0.0003937685520546502,0.000384869581311729,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_s,0.1,fpir,11654,11119,9896,121736,-0.004394755865150818,-0.005298350529013603,-0.003482946704343826,query,2000,42,False,none,0
global_empirical,fiqa_s,0.1,tpir_at_rank_k,772,730,651,60423,-0.0006950995481852937,-0.00138127740205666,-6.429429161808866e-05,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_s,0.1,fpir,11129,11119,9701,121736,-8.214496944207137e-05,-0.0009284435171190112,0.0008134405599001106,query,2000,42,False,none,0
global_safe,fiqa_s,0.1,tpir_at_rank_k,740,730,639,60423,-0.00016549989242506993,-0.0008095573477517492,0.0004181267333057869,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_l,0.1,fpir,11654,10780,10034,121736,-0.007179470329237037,-0.00798469639219294,-0.006390673260169549,query,2000,42,False,none,0
global_empirical,fiqa_l,0.1,tpir_at_rank_k,772,752,679,60423,-0.00033099978485013986,-0.0008641300964276216,0.00020235630213203776,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_l,0.1,fpir,11129,10780,9848,121736,-0.0028668594335282908,-0.0036308076493395546,-0.002102911217717027,query,2000,42,False,none,0
global_safe,fiqa_l,0.1,tpir_at_rank_k,740,752,664,60423,0.00019859987091008392,-0.00030325550380489434,0.0007330131941048452,mated_identity_cluster,2000,42,False,none,0
fiqa_s,fiqa_l,0.1,fpir,11119,10780,9608,121736,-0.0027847144640862193,-0.00361437865545114,-0.0019386212788328843,query,2000,42,False,none,0
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,730,752,645,60423,0.0003640997633351538,-0.00026030487101354156,0.0010396015193217109,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_s,0.2,fpir,22069,21519,19127,121736,-0.004517973319313925,-0.005676422750870736,-0.0032775842807386477,query,2000,42,False,none,0
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1471,1409,1269,60423,-0.0010260993330354336,-0.0021116180648807405,6.766185395513237e-05,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_s,0.2,fpir,21374,21519,18821,121736,0.001191102056910035,4.908161924163801e-05,0.0024397055924295194,query,2000,42,False,none,0
global_safe,fiqa_s,0.2,tpir_at_rank_k,1431,1409,1257,60423,-0.0003640997633351538,-0.0013921268026127736,0.0007327742122557544,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_l,0.2,fpir,22069,21134,18535,121736,-0.007680554642833673,-0.008954007031609383,-0.006341386278504306,query,2000,42,False,none,0
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1471,1492,1284,60423,0.00034754977409264686,-0.0007500943680106959,0.0013610581893713117,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_l,0.2,fpir,21374,21134,18304,121736,-0.001971479266609713,-0.003203859170664388,-0.0006569543931129669,query,2000,42,False,none,0
global_safe,fiqa_l,0.2,tpir_at_rank_k,1431,1492,1263,60423,0.0010095493437929266,-0.00010327091476690321,0.0020520138043976267,mated_identity_cluster,2000,42,False,none,0
fiqa_s,fiqa_l,0.2,fpir,21519,21134,18497,121736,-0.0031625813235197477,-0.004370112374318197,-0.0018809144377998303,query,2000,42,False,none,0
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1409,1492,1264,60423,0.0013736491071280803,0.0003191355491103388,0.0024714625958402307,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_s,0.3,fpir,33045,32763,29032,121736,-0.0023164881382664124,-0.0037458106065584545,-0.0008707366760859565,query,2000,42,False,none,0
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2161,2157,1891,60423,-6.619995697002797e-05,-0.0012444179430597924,0.0011670167715397328,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_s,0.3,fpir,32618,32763,28847,121736,0.001191102056910035,-0.00023021127686140465,0.0026617023723467166,query,2000,42,False,none,0
global_safe,fiqa_s,0.3,tpir_at_rank_k,2139,2157,1879,60423,0.00029789980636512584,-0.0008341688089362987,0.0014843774044245145,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_l,0.3,fpir,33045,32019,27664,121736,-0.008428073864756523,-0.010046329762765328,-0.006825836235788922,query,2000,42,False,none,0
global_empirical,fiqa_l,0.3,tpir_at_rank_k,2161,2239,1871,60423,0.0012908991609155455,0.00013643346431883705,0.0025794726282863823,mated_identity_cluster,2000,42,False,none,0
global_safe,fiqa_l,0.3,fpir,32618,32019,27497,121736,-0.004920483669580075,-0.006522310573700466,-0.003302022409147665,query,2000,42,False,none,0
global_safe,fiqa_l,0.3,tpir_at_rank_k,2139,2239,1862,60423,0.0016549989242506992,0.0004852787242038047,0.002939870842639324,mated_identity_cluster,2000,42,False,none,0
fiqa_s,fiqa_l,0.3,fpir,32763,32019,27814,121736,-0.0061115857264901095,-0.007680554642833673,-0.0045095534599461145,query,2000,42,False,none,0
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,2157,2239,1870,60423,0.0013570991178855733,-7.825858573752789e-05,0.0027796133458307276,mated_identity_cluster,2000,42,False,none,0
global_empirical,fiqa_s,0.01,fpir,1802,1695,1589,121736,-0.0008789511730301637,-0.0011746730630216205,-0.000599658276927121,query,2000,42,False,none,1
global_empirical,fiqa_s,0.01,tpir_at_rank_k,79,72,66,60423,-0.00011584992469754894,-0.00023631490568747456,0.0,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_s,0.01,fpir,1720,1695,1564,121736,-0.00020536242360517842,-0.0004682263258198068,5.7501478609449955e-05,query,2000,42,False,none,1
global_safe,fiqa_s,0.01,tpir_at_rank_k,74,72,64,60423,-3.3099978485013984e-05,-0.00015698566357956245,9.693347006529505e-05,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_l,0.01,fpir,1802,1756,1710,121736,-0.0003778668594335283,-0.0005585857922060854,-0.0001971479266609713,query,2000,42,False,none,1
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,78,74,60423,-1.6549989242506992e-05,-0.00010555433749944095,6.438393459578333e-05,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_l,0.01,fpir,1720,1756,1663,121736,0.0002957218899914569,0.00010678846027469278,0.0004928698166524282,query,2000,42,False,none,1
global_safe,fiqa_l,0.01,tpir_at_rank_k,74,78,71,60423,6.619995697002797e-05,-3.4535256928143224e-05,0.00019413267602125188,mated_identity_cluster,2000,42,False,none,1
fiqa_s,fiqa_l,0.01,fpir,1695,1756,1573,121736,0.0005010843135966354,0.00021337155812578074,0.0007721627127554708,query,2000,42,False,none,1
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,72,78,65,60423,9.929993545504196e-05,-3.275079490421801e-05,0.00023095090536643403,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_s,0.05,fpir,6470,6079,5684,121736,-0.0032118683051849907,-0.00378688309127949,-0.0026532825129789053,query,2000,42,False,none,1
global_empirical,fiqa_s,0.05,tpir_at_rank_k,421,389,369,60423,-0.0005295996557602237,-0.0008602194432479966,-0.00020411904850592733,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_s,0.05,fpir,5979,6079,5499,121736,0.0008214496944207137,0.0003121508838798712,0.0013553919957941776,query,2000,42,False,none,1
global_safe,fiqa_s,0.05,tpir_at_rank_k,393,389,357,60423,-6.619995697002797e-05,-0.00035925848618704304,0.00021199714307757226,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_l,0.05,fpir,6470,5998,5998,121736,-0.0038772425576657685,-0.004230465926266675,-0.003540242820529672,query,2000,42,False,none,1
global_empirical,fiqa_l,0.05,tpir_at_rank_k,421,394,394,60423,-0.0004468497095476888,-0.0006988661377234846,-0.00021992502661993962,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_l,0.05,fpir,5979,5998,5828,121736,0.0001560754419399356,-0.00013143195110731419,0.00043536833804297826,query,2000,42,False,none,1
global_safe,fiqa_l,0.05,tpir_at_rank_k,393,394,381,60423,1.6549989242506992e-05,-0.0001510529714876997,0.00017845617706292496,mated_identity_cluster,2000,42,False,none,1
fiqa_s,fiqa_l,0.05,fpir,6079,5998,5519,121736,-0.0006653742524807781,-0.0011828875599658277,-0.00013143195110731419,query,2000,42,False,none,1
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,389,394,360,60423,8.274994621253496e-05,-0.0001523709836991173,0.0003058787158678229,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_s,0.1,fpir,11654,10898,10012,121736,-0.006210159689820595,-0.0070320201090885185,-0.005396924492344089,query,2000,42,False,none,1
global_empirical,fiqa_s,0.1,tpir_at_rank_k,772,712,652,60423,-0.0009929993545504195,-0.0017537967905441741,-0.0003470050025777918,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_s,0.1,fpir,10743,10898,9669,121736,0.0012732470263521062,0.0005092988105408425,0.0020702585923638027,query,2000,42,False,none,1
global_safe,fiqa_s,0.1,tpir_at_rank_k,718,712,629,60423,-9.929993545504196e-05,-0.0007374317039381471,0.0004552405864252606,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_l,0.1,fpir,11654,10813,10301,121736,-0.006908391930078202,-0.007598615035815206,-0.006201945192876388,query,2000,42,False,none,1
global_empirical,fiqa_l,0.1,tpir_at_rank_k,772,746,696,60423,-0.0004302997203051818,-0.0008639127304684135,-1.617490333214717e-05,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_l,0.1,fpir,10743,10813,9985,121736,0.0005750147860944996,-6.571597555365709e-05,0.0012403890385752777,query,2000,42,False,none,1
global_safe,fiqa_l,0.1,tpir_at_rank_k,718,746,666,60423,0.00046339969879019576,4.9455913160007706e-05,0.0009145841083178983,mated_identity_cluster,2000,42,False,none,1
fiqa_s,fiqa_l,0.1,fpir,10898,10813,9706,121736,-0.0006982322402576066,-0.0014788148123808895,5.7501478609449955e-05,query,2000,42,False,none,1
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,712,746,644,60423,0.0005626996342452378,-4.7403919309975265e-05,0.0012437627894592517,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_s,0.2,fpir,22069,20807,18943,121736,-0.010366695143589406,-0.011500295721889991,-0.009199825852664786,query,2000,42,False,none,1
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1471,1370,1256,60423,-0.0016715489134932061,-0.0027540432336162013,-0.0006206784363144834,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_s,0.2,fpir,20519,20807,18303,121736,0.0023657751199316554,0.0013058996517053298,0.0035488680423210873,query,2000,42,False,none,1
global_safe,fiqa_s,0.2,tpir_at_rank_k,1369,1370,1223,60423,1.6549989242506992e-05,-0.0008505854384209475,0.0009310106360822022,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_l,0.2,fpir,22069,20736,18629,121736,-0.010949924426628113,-0.01214944634290596,-0.009692901031740817,query,2000,42,False,none,1
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1471,1459,1286,60423,-0.00019859987091008392,-0.0012877663720260008,0.000790737385474053,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_l,0.2,fpir,20519,20736,18124,121736,0.0017825458368929488,0.0006729726621541708,0.002973853256226588,query,2000,42,False,none,1
global_safe,fiqa_l,0.2,tpir_at_rank_k,1369,1459,1235,60423,0.0014894990318256294,0.0005088362270225639,0.0025138921313817234,mated_identity_cluster,2000,42,False,none,1
fiqa_s,fiqa_l,0.2,fpir,20807,20736,18336,121736,-0.0005832292830387067,-0.0016593283827298416,0.000599658276927121,query,2000,42,False,none,1
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1370,1459,1248,60423,0.0014729490425831222,0.0004969169140404798,0.0025373365678957025,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_s,0.3,fpir,33045,31480,28532,121736,-0.012855687717684168,-0.01424414306367878,-0.011385292764671092,query,2000,42,False,none,1
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2161,2050,1852,60423,-0.001837048805918276,-0.0030399947344895003,-0.0006389566311184879,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_s,0.3,fpir,31172,31480,27761,121736,0.0025300650588157983,0.0011498242097653943,0.003926529539331011,query,2000,42,False,none,1
global_safe,fiqa_s,0.3,tpir_at_rank_k,2053,2050,1810,60423,-4.964996772752098e-05,-0.00116231255168166,0.0010692825563690402,mated_identity_cluster,2000,42,False,none,1
global_empirical,fiqa_l,0.3,fpir,33045,31160,27558,121736,-0.015484326739830453,-0.017028857527765,-0.013906732601695474,query,2000,42,False,none,1
global_empirical,fiqa_l,0.3,tpir_at_rank_k,2161,2170,1867,60423,0.00014894990318256292,-0.0009004111451047408,0.0012275014977734917,mated_identity_cluster,2000,42,False,none,1
global_safe,fiqa_l,0.3,fpir,31172,31160,26884,121736,-9.857396333048565e-05,-0.0015853979102319774,0.0014625911809160784,query,2000,42,False,none,1
