schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,condition_uid,fiqa_uid
2,genuine-score-topk-v2,20,conditional-threshold-59eb2880411a849dd7747098,global_empirical,0.01,negative_squared_l2_adc,182159,121736,60423,1218,125,0.010005257278044292,0.00946144013572431,0.010579997651476906,0.002068748655313374,0.0017367487301086634,0.0024640576117829676,False,False,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-a7106b9216d1a5fc011bcfd7,global_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1216,125,0.009988828284155878,0.009445466028041069,0.01056311480820582,0.002068748655313374,0.0017367487301086634,0.0024640576117829676,True,False,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-d687fd1741adf24a88a9b4b8,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1127,112,0.009257738056121442,0.008735022444593194,0.00981142407418615,0.001853598795160783,0.0015408521998695373,0.0022296817767567616,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-bb04da7585d7b78ee19a1ccf,global_empirical,0.05,negative_squared_l2_adc,182159,121736,60423,5742,412,0.04716764145363738,0.045990981009142104,0.048372879836746485,0.006818595567912881,0.0061930619247267055,0.007506834327253406,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-9cb37a0ee56048f94f0e921a,global_safe,0.05,negative_squared_l2_adc,182159,121736,60423,5722,410,0.04700335151475324,0.04582866932907752,0.0482066220072678,0.006785495589427867,0.006161545738008698,0.0074721547654690535,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-797be06853b2f95413d29380,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,182159,121736,60423,5585,411,0.04587796543339686,0.04471694285078183,0.0470676473451921,0.006802045578670374,0.006177303341465561,0.007489495036263371,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-786a8d6e0b48fae5ce925e67,global_empirical,0.1,negative_squared_l2_adc,182159,121736,60423,11211,762,0.0920927252415062,0.09048124976466104,0.09372994346583435,0.012611091802790329,0.011751816246929175,0.01353233599296372,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-68cb0a5f61d7176b745dd087,global_safe,0.1,negative_squared_l2_adc,182159,121736,60423,11137,756,0.09148485246763488,0.08987822358458113,0.09311726246060419,0.012511791867335286,0.011655985494212082,0.013429579500173736,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-b479da4fc6fbe9805682bff5,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,182159,121736,60423,10965,782,0.09007195899323125,0.08847667915588268,0.09169310910723054,0.012942091587640469,0.012071353150361671,0.013874756574554808,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-23d8a5ef746a4a43168cef2c,global_empirical,0.2,negative_squared_l2_adc,182159,121736,60423,22220,1421,0.18252612210028257,0.18036625941961545,0.18470602033897218,0.023517534713602437,0.022339183637465513,0.024756467733954592,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-cdd19a1026dfc0d9dc09179f,global_safe,0.2,negative_squared_l2_adc,182159,121736,60423,22111,1413,0.181630741933364,0.179475050900184,0.18380652503139283,0.02338513479966238,0.022210115163646828,0.024620753213763835,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-b491b9593fa208984657ccc3,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,182159,121736,60423,21893,1489,0.17983998159952685,0.1776926929102506,0.18200747536730463,0.024642933982092913,0.023436662556330954,0.025909644264169345,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-cd634006dea598a987fe394b,global_empirical,0.3,negative_squared_l2_adc,182159,121736,60423,33836,2185,0.2779457186041927,0.2754362173853039,0.28046923351601427,0.036161726494877776,0.0347023840251506,0.03768004327417055,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-4be6f85ade6e0d20d2accbd2,global_safe,0.3,negative_squared_l2_adc,182159,121736,60423,33794,2182,0.277600709732536,0.27509218092635424,0.280123274004923,0.036112076527150254,0.03465372087592994,0.03762941280063767,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
2,genuine-score-topk-v2,20,conditional-threshold-44431106dd536d9843f0f7d6,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,182159,121736,60423,33583,2309,0.2758674508773083,0.2733638354946906,0.27838521111090514,0.038213925160948646,0.03671443744049498,0.03977212626597241,True,True,False,compressed-scores-f830df873474e5adcdbb002a,fiqa-scores-ed59bb0ec8ff871a8475ae82
