reference_method,candidate_method,target_fpir,score_space,rank_k,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,confidence_interval_method,resamples,random_seed,metric_contract,resampling_unit,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1218,1127,1026,121736,-0.0007475192219228494,-0.001026812118025892,-0.0004682263258198068,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,125,112,105,60423,-0.0002151498601525909,-0.00039719974182016784,-4.964996772752098e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1216,1127,1025,121736,-0.0007310902280344352,-0.0010103831241374778,-0.00046001182887559964,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,125,112,105,60423,-0.0002151498601525909,-0.00039719974182016784,-4.964996772752098e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,5742,5585,4889,121736,-0.0012896760202405204,-0.0019388266412564891,-0.0006487398961687598,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,412,411,363,60423,-1.6549989242506992e-05,-0.00033099978485013986,0.00029789980636512584,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,5722,5585,4880,121736,-0.0011253860813563777,-0.0017825458368929488,-0.0005173079450614456,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,410,411,362,60423,1.6549989242506992e-05,-0.00029789980636512584,0.00033099978485013986,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11211,10965,9546,121736,-0.0020207662482749555,-0.0029327807715055524,-0.001141815075244792,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,762,782,680,60423,0.00033099978485013986,-0.00013239991394005594,0.0007778494943978286,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11137,10965,9518,121736,-0.0014128934744036276,-0.0023413369915226386,-0.000541951435894067,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,756,782,676,60423,0.0004302997203051818,-1.6549989242506992e-05,0.0008771494298528706,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,22220,21893,19016,121736,-0.002686140500755734,-0.003918520404810409,-0.0013716156272589879,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,1421,1489,1250,60423,0.0011253992684904755,0.00046339969879019576,0.0018043625771643225,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,22111,21893,18978,121736,-0.0017907603338371558,-0.0029902822501150024,-0.00048465531970822107,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,1413,1489,1246,60423,0.0012577991824305314,0.0005957996127302517,0.0019032487628883041,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,33836,33583,28878,121736,-0.0020782677268844055,-0.0036965236248932116,-0.0004187339817309599,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,2185,2309,1912,60423,0.002052198666070867,0.0012081492147030105,0.002913211856412291,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,33794,33583,28866,121736,-0.0017332588552277058,-0.003359934612604324,-1.6223631464810214e-05,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,2182,2309,1909,60423,0.002101848633798388,0.0012408354434569626,0.0029458980851662445,paired_nonparametric_bootstrap_percentile,2000,8972,genuine-score-topk-v2,query,False,none
