method,model_uid,target_fpir,score_space,rank_k,quality_group,quality_cutpoints,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,conditional-threshold-59eb2880411a849dd7747098,0.01,negative_squared_l2_adc,20,all,[],all,98825,0,-0.3938274681568146,1.0,-0.3938274681568146,,-0.3938274681568146,False,0.009997470275739944,,True,
global_safe,conditional-threshold-a7106b9216d1a5fc011bcfd7,0.01,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.39379042387008667,1.0,-0.39379042387008667,-0.393700510263443,-0.393700510263443,False,0.009979985567824418,0.009969264717471825,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-d687fd1741adf24a88a9b4b8,0.01,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.3838913142681122,0.9946062567421791,-0.3838913142681122,-0.3861722946166992,-0.3838913142681122,False,0.009978308026030369,0.009046052631578948,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-d687fd1741adf24a88a9b4b8,0.01,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.40675437450408936,0.9945603394348193,-0.40668385501305665,-0.401015043258667,-0.401015043258667,False,0.008532283206169496,0.009986382206082615,True,True
global_empirical,conditional-threshold-bb04da7585d7b78ee19a1ccf,0.05,negative_squared_l2_adc,20,all,[],all,98825,0,-0.46756935119628906,1.0,-0.46756935119628906,,-0.46756935119628906,False,0.04999747027573995,,True,
global_safe,conditional-threshold-9cb37a0ee56048f94f0e921a,0.05,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.4675920307636261,1.0,-0.4675920307636261,-0.46736276149749756,-0.46736276149749756,False,0.049750159979304806,0.04996453621246749,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-797be06853b2f95413d29380,0.05,negative_squared_l2_adc,20,low,[0.5589450499999999],low,36880,12160,-0.4530889391899109,0.9946062567421791,-0.4530889391899109,-0.45231541991233826,-0.45231541991233826,False,0.049078091106290675,0.05,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-797be06853b2f95413d29380,0.05,negative_squared_l2_adc,20,high,[0.5589450499999999],high,36567,13218,-0.4897330105304718,0.9945603394348193,-0.4896125711159596,-0.4871642291545868,-0.4871642291545868,False,0.04804878715781989,0.04993191103041307,True,True
global_empirical,conditional-threshold-786a8d6e0b48fae5ce925e67,0.1,negative_squared_l2_adc,20,all,[],all,98825,0,-0.5153154730796814,1.0,-0.5153154730796814,,-0.5153154730796814,False,0.0999949405514799,,True,
global_safe,conditional-threshold-68cb0a5f61d7176b745dd087,0.1,negative_squared_l2_adc,20,all,[],all,73447,25378,-0.5155245661735535,1.0,-0.5155245661735535,-0.5147621035575867,-0.5147621035575867,False,0.09915993845902488,0.09996847663330444,True,True
