method,model_uid,target_fpir,score_space,rank_k,quality_group,quality_cutpoints,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,conditional-threshold-0babff951a1184efdd488d2a,0.01,negative_squared_l2_adc,20,all,[],all,98825,0,-0.3551550507545471,1.0,-0.3551550507545471,,-0.3551550507545471,False,0.009997470275739944,,True,
global_safe,conditional-threshold-02956110dae4e7e0be88c59e,0.01,negative_squared_l2_adc,20,all,[],all,74530,24295,-0.35589683055877686,1.0,-0.35589683055877686,-0.3521742820739746,-0.3521742820739746,False,0.009029920837246746,0.00996089730397201,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-69d4092cfdfd4cac57285145,0.01,negative_squared_l2_adc,20,low,[0.5480161],low,37091,11976,-0.3481481671333313,0.9946367756295085,-0.3481481671333313,-0.34682148694992065,-0.34682148694992065,False,0.009544094254670945,0.009936539746158985,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-69d4092cfdfd4cac57285145,0.01,negative_squared_l2_adc,20,high,[0.5480161],high,37439,12319,-0.369344025850296,0.9946863625494833,-0.36927257232979055,-0.3595713973045349,-0.3595713973045349,False,0.008146585111781832,0.009984576670184268,True,True
global_empirical,conditional-threshold-a65ecffa99e9cf1baa41eef3,0.05,negative_squared_l2_adc,20,all,[],all,98825,0,-0.42540255188941956,1.0,-0.42540255188941956,,-0.42540255188941956,False,0.04999747027573995,,True,
global_safe,conditional-threshold-d2a1543557a8a21a6b587856,0.05,negative_squared_l2_adc,20,all,[],all,74530,24295,-0.4259098768234253,1.0,-0.4259098768234253,-0.4236089885234833,-0.4236089885234833,False,0.04776600026834832,0.04996912945050422,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-7289cf960e4803b4e19b2a4d,0.05,negative_squared_l2_adc,20,low,[0.5480161],low,37091,11976,-0.4130476415157318,0.9946367756295085,-0.4130476415157318,-0.41313761472702026,-0.4130476415157318,False,0.049985171604971554,0.04959919839679359,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-7289cf960e4803b4e19b2a4d,0.05,negative_squared_l2_adc,20,high,[0.5480161],high,37439,12319,-0.4442102611064911,0.9946863625494833,-0.4441130194992058,-0.44060856103897095,-0.44060856103897095,False,0.04692967226688747,0.04992288335092134,True,True
global_empirical,conditional-threshold-7d0031d7893704efe5394fd2,0.1,negative_squared_l2_adc,20,all,[],all,98825,0,-0.47009336948394775,1.0,-0.47009336948394775,,-0.47009336948394775,False,0.0999949405514799,,True,
global_safe,conditional-threshold-1ce86faffa7959c01a6bf01d,0.1,negative_squared_l2_adc,20,all,[],all,74530,24295,-0.4703041911125183,1.0,-0.4703041911125183,-0.4693942964076996,-0.4693942964076996,False,0.09857775392459413,0.09997941963366948,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-e374004b139ff5edcd0fb4be,0.1,negative_squared_l2_adc,20,low,[0.5480161],low,37091,11976,-0.45332399010658264,0.9946367756295085,-0.45332399010658264,-0.4534231424331665,-0.45332399010658264,False,0.09999730392817664,0.09978289913159652,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-e374004b139ff5edcd0fb4be,0.1,negative_squared_l2_adc,20,high,[0.5480161],high,37439,12319,-0.49474573135375977,0.9946863625494833,-0.4946158578701856,-0.4915236830711365,-0.4915236830711365,False,0.09594273351318144,0.09992694212192547,True,True
global_empirical,conditional-threshold-2bac87a797ac836288358c05,0.2,negative_squared_l2_adc,20,all,[],all,98825,0,-0.532887876033783,1.0,-0.532887876033783,,-0.532887876033783,False,0.2,,True,
global_safe,conditional-threshold-4450e164cffee09e2d79bc40,0.2,negative_squared_l2_adc,20,all,[],all,74530,24295,-0.5336740612983704,1.0,-0.5336740612983704,-0.5305201411247253,-0.5305201411247253,False,0.19405608479806788,0.2,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-9a0ecae019f3c8cf1f0101ab,0.2,negative_squared_l2_adc,20,low,[0.5480161],low,37091,11976,-0.5098240375518799,0.9946367756295085,-0.5098240375518799,-0.5086473226547241,-0.5086473226547241,False,0.19764902537003587,0.19998329993319974,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-9a0ecae019f3c8cf1f0101ab,0.2,negative_squared_l2_adc,20,high,[0.5480161],high,37439,12319,-0.5659655332565308,0.9946863625494833,-0.5657939480818016,-0.5597714185714722,-0.5597714185714722,False,0.18985549827719758,0.19993505966393377,True,True
global_empirical,conditional-threshold-b8eef55605f5f47664284dac,0.3,negative_squared_l2_adc,20,all,[],all,98825,0,-0.5841863751411438,1.0,-0.5841863751411438,,-0.5841863751411438,False,0.2999949405514799,,True,
global_safe,conditional-threshold-7773b04d41eebc57128947ff,0.3,negative_squared_l2_adc,20,all,[],all,74530,24295,-0.5850911140441895,1.0,-0.5850911140441895,-0.5809646248817444,-0.5809646248817444,False,0.29146652354756475,0.2999794196336695,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-7ef3de4ca7876a5e6953d522,0.3,negative_squared_l2_adc,20,low,[0.5480161],low,37091,11976,-0.5554113984107971,0.9946367756295085,-0.5554113984107971,-0.5538545250892639,-0.5538545250892639,False,0.29608260764066757,0.2999331997327989,True,True
fiqa_2bin_conservative_shrunk_safe,conditional-threshold-7ef3de4ca7876a5e6953d522,0.3,negative_squared_l2_adc,20,high,[0.5480161],high,37439,12319,-0.6249935030937195,0.9946863625494833,-0.6247814762649009,-0.6170838475227356,-0.6170838475227356,False,0.28563797109965544,0.29994317720594205,True,True
