schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,partition_seed,tpir_cluster95_low,tpir_cluster95_high,dataset_id,model,compression_profile,source_run_id,family,result_dir,fallback_query_count,fallback_query_fraction,saliency_branch_enabled,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,global_safe,0.01,negative_squared_l2_adc,2164,1688,476,37,466,0.0219194312796208,0.0159439864845173,0.0300659149840008,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,fiqa_2bin,0.01,negative_squared_l2_adc,2164,1688,476,33,466,0.0195497630331753,0.013953994598022,0.0273273314130909,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,fiqa_5bin,0.01,negative_squared_l2_adc,2164,1688,476,32,466,0.0189573459715639,0.0134601192724628,0.0266390628742988,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,continuous_fiqa,0.01,negative_squared_l2_adc,2164,1688,476,38,466,0.0225118483412322,0.0164448226810608,0.0307472226518085,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,global_safe,0.05,negative_squared_l2_adc,2164,1688,476,109,466,0.0645734597156398,0.0538093057632427,0.0773149539385674,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,fiqa_2bin,0.05,negative_squared_l2_adc,2164,1688,476,113,466,0.0669431279620853,0.0559768923053321,0.0798759428538831,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,fiqa_5bin,0.05,negative_squared_l2_adc,2164,1688,476,97,466,0.0574644549763033,0.0473342147926407,0.069604318536954,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,continuous_fiqa,0.05,negative_squared_l2_adc,2164,1688,476,105,466,0.0622037914691943,0.0516461690136706,0.0747495152307344,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,global_safe,0.1,negative_squared_l2_adc,2164,1688,476,201,466,0.1190758293838862,0.1044835665264838,0.135397928695644,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
2,genuine-score-topk-v2,20,arcface-7972a704552df378345f,fiqa_2bin,0.1,negative_squared_l2_adc,2164,1688,476,202,466,0.1196682464454976,0.1050416255551492,0.1360220135313299,0.9789915966386554,0.9617644856813208,0.9885493974097956,False,False,False,8972,0.966367174025526,0.9896913841995072,lfw,arcface,pq_512_m128_b8,20260902-R001-6c8b08b1,fiqa,C:\ronbun\results\calibration\matrix\jobs\job-f89a04e4e125d7ec0ee23d0b\fiqa-continuous-343afa889a5ef1d31e8b123f,,,,,,,
