dataset_id,model,compression_profile,method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
lfw,adaface,pq_512_m128_b8,continuous_fiqa,0.01,20,4,0.0035545023696682,0.0130331753554502,0.0148104265402843,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,adaface,pq_512_m128_b8,continuous_fiqa,0.05,20,7,0.0313981042654028,0.05124407582938385,0.0657582938388625,0.9789915966386554,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,continuous_fiqa,0.1,20,16,0.0645734597156398,0.09715639810426535,0.1078199052132701,0.9789915966386554,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m128_b8,continuous_fiqa,0.2,20,4,0.1374407582938388,0.2206753554502369,0.245260663507109,0.9831932773109244,0.9873949579831932,0.9873949579831932
lfw,adaface,pq_512_m128_b8,continuous_fiqa,0.3,20,4,0.2387440758293839,0.36433649289099523,0.3975118483412322,0.9831932773109244,0.9873949579831932,0.9873949579831932
lfw,adaface,pq_512_m128_b8,fiqa_2bin,0.01,20,5,0.0053317535545023,0.0112559241706161,0.0130331753554502,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,adaface,pq_512_m128_b8,fiqa_2bin,0.05,20,17,0.0325829383886255,0.045319905213270104,0.0509478672985782,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,adaface,pq_512_m128_b8,fiqa_2bin,0.1,20,15,0.0669431279620853,0.0944905213270142,0.1036729857819905,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,fiqa_2bin,0.2,20,4,0.1404028436018957,0.21060426540284355,0.2411137440758294,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,fiqa_2bin,0.3,20,4,0.2328199052132701,0.34715639810426535,0.3850710900473933,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m128_b8,fiqa_5bin,0.01,20,8,0.0065165876777251,0.0100710900473933,0.0124407582938388,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,adaface,pq_512_m128_b8,fiqa_5bin,0.05,20,20,0.0319905213270142,0.0468009478672985,0.0497630331753554,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m128_b8,fiqa_5bin,0.1,20,18,0.0699052132701421,0.0936018957345971,0.1018957345971564,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,fiqa_5bin,0.2,20,4,0.1386255924170616,0.2079383886255924,0.2227488151658767,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,fiqa_5bin,0.3,20,4,0.2417061611374407,0.3501184834123222,0.3672985781990521,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m128_b8,global_safe,0.01,20,3,0.0053317535545023,0.0124407582938388,0.0130331753554502,0.9789915966386554,0.9789915966386554,0.9789915966386554
lfw,adaface,pq_512_m128_b8,global_safe,0.05,20,18,0.0355450236966824,0.044431279620853,0.0509478672985782,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,adaface,pq_512_m128_b8,global_safe,0.1,20,14,0.0675355450236966,0.0977488151658767,0.1036729857819905,0.98109243697479,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,global_safe,0.2,20,4,0.1368483412322275,0.2097156398104265,0.2334123222748815,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m128_b8,global_safe,0.3,20,4,0.2292654028436019,0.34626777251184837,0.3809241706161137,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m128_b8,plus_both,0.01,20,8,0.0023696682464454,0.0112559241706161,0.0130331753554502,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,adaface,pq_512_m128_b8,plus_both,0.05,20,8,0.0296208530805687,0.0524289099526066,0.0616113744075829,0.9789915966386554,0.98109243697479,0.9852941176470588
lfw,adaface,pq_512_m128_b8,plus_both,0.1,20,8,0.0610189573459715,0.101303317535545,0.1119668246445497,0.9789915966386554,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m128_b8,plus_both,0.2,20,4,0.1321090047393364,0.2307464454976303,0.2606635071090047,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m128_b8,plus_both,0.3,20,4,0.2316350710900473,0.3667061611374407,0.3969194312796208,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m128_b8,plus_entropy,0.01,20,8,0.0035545023696682,0.0106635071090047,0.0142180094786729,0.9789915966386554,0.9789915966386554,0.9831932773109244
lfw,adaface,pq_512_m128_b8,plus_entropy,0.05,20,8,0.0313981042654028,0.05154028436018955,0.0604265402843601,0.9789915966386554,0.98109243697479,0.9831932773109244
lfw,adaface,pq_512_m128_b8,plus_entropy,0.1,20,10,0.0616113744075829,0.10011848341232225,0.1090047393364928,0.9789915966386554,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m128_b8,plus_entropy,0.2,20,4,0.1344786729857819,0.22926540284360186,0.259478672985782,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m128_b8,plus_entropy,0.3,20,4,0.2369668246445497,0.3699644549763033,0.4010663507109004,0.9831932773109244,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m128_b8,plus_outside,0.01,20,6,0.0017772511848341,0.01155213270142175,0.0142180094786729,0.9789915966386554,0.9789915966386554,0.9831932773109244
lfw,adaface,pq_512_m128_b8,plus_outside,0.05,20,9,0.0296208530805687,0.05154028436018955,0.0580568720379146,0.9789915966386554,0.9821428571428572,0.9831932773109244
lfw,adaface,pq_512_m128_b8,plus_outside,0.1,20,17,0.0645734597156398,0.0944905213270142,0.1054502369668246,0.9789915966386554,0.9842436974789917,0.9873949579831932
lfw,adaface,pq_512_m128_b8,plus_outside,0.2,20,4,0.1344786729857819,0.2188981042654028,0.2434834123222748,0.9831932773109244,0.9873949579831932,0.9873949579831932
lfw,adaface,pq_512_m128_b8,plus_outside,0.3,20,4,0.2381516587677725,0.36167061611374407,0.3921800947867299,0.9831932773109244,0.9873949579831932,0.9873949579831932
lfw,adaface,pq_512_m32_b8,continuous_fiqa,0.01,20,0,0.0124407582938388,0.0313981042654028,0.0361374407582938,0.98109243697479,0.9831932773109244,0.9852941176470588
lfw,adaface,pq_512_m32_b8,continuous_fiqa,0.05,20,0,0.0900473933649289,0.1217417061611374,0.129739336492891,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,continuous_fiqa,0.1,20,0,0.1866113744075829,0.231042654028436,0.2422985781990521,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,continuous_fiqa,0.2,20,0,0.3637440758293839,0.432760663507109,0.45260663507109,0.9852941176470588,0.9852941176470588,0.9873949579831932
lfw,adaface,pq_512_m32_b8,continuous_fiqa,0.3,20,0,0.5254739336492891,0.5870853080568721,0.6042654028436019,0.9852941176470588,0.986344537815126,0.9873949579831932
lfw,adaface,pq_512_m32_b8,fiqa_2bin,0.01,20,0,0.0100710900473933,0.02310426540284355,0.03021327014218,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m32_b8,fiqa_2bin,0.05,20,0,0.0971563981042654,0.11285545023696675,0.120260663507109,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m32_b8,fiqa_2bin,0.1,20,0,0.178909952606635,0.22097156398104267,0.2363744075829384,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,fiqa_2bin,0.2,20,0,0.3643364928909952,0.4259478672985782,0.4443127962085308,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,fiqa_2bin,0.3,20,0,0.5065165876777251,0.5829383886255924,0.6001184834123223,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,fiqa_5bin,0.01,20,4,0.0053317535545023,0.013329383886255899,0.0266587677725118,0.9789915966386554,0.9789915966386554,0.98109243697479
lfw,adaface,pq_512_m32_b8,fiqa_5bin,0.05,20,0,0.0912322274881516,0.10663507109004736,0.1172985781990521,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m32_b8,fiqa_5bin,0.1,20,0,0.1795023696682464,0.2100118483412322,0.2298578199052132,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,fiqa_5bin,0.2,20,0,0.3400473933649289,0.418542654028436,0.4419431279620853,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,fiqa_5bin,0.3,20,0,0.4922985781990521,0.57760663507109,0.5894549763033176,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,global_safe,0.01,20,0,0.0100710900473933,0.0248815165876777,0.0313981042654028,0.9789915966386554,0.98109243697479,0.98109243697479
lfw,adaface,pq_512_m32_b8,global_safe,0.05,20,0,0.1018957345971564,0.11848341232227486,0.1255924170616113,0.9831932773109244,0.9831932773109244,0.9831932773109244
lfw,adaface,pq_512_m32_b8,global_safe,0.1,20,0,0.1759478672985782,0.22422985781990518,0.2417061611374407,0.9831932773109244,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,global_safe,0.2,20,0,0.365521327014218,0.4312796208530806,0.4549763033175355,0.9852941176470588,0.9852941176470588,0.9852941176470588
lfw,adaface,pq_512_m32_b8,global_safe,0.3,20,0,0.5266587677725119,0.5829383886255924,0.6007109004739336,0.9852941176470588,0.9852941176470588,0.9852941176470588
