target_fpir,method,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,non_mated,mated,false_accept_min,false_accept_max,true_identification_min,true_identification_max,fpir_wilson_low_min,fpir_wilson_high_max,tpir_cluster_low_min,tpir_cluster_high_max,fallback_count_max,fallback_fraction_max,faithfulness_status,all_seeds_met
0.01,continuous_fiqa,1,0,0.0331753554502,0.0331753554502,0.0331753554502,0.983193277311,0.983193277311,0.983193277311,1688,476,56,56,468,468,0.0256357965524,0.0428348383388,0.972294825639,0.993435806905,,,,False
0.01,fiqa_2bin,1,0,0.0302132701422,0.0302132701422,0.0302132701422,0.981092436975,0.981092436975,0.981092436975,1688,476,51,51,467,467,0.0230539779015,0.0395059376679,0.969694876946,0.991853774444,,,,False
0.01,fiqa_5bin,1,0,0.0165876777251,0.0165876777251,0.0165876777251,0.981092436975,0.981092436975,0.981092436975,1688,476,28,28,467,467,0.0115011579598,0.0238694487295,0.969694876946,0.991853774444,,,,False
0.01,global_safe,1,0,0.0313981042654,0.0313981042654,0.0313981042654,0.981092436975,0.981092436975,0.981092436975,1688,476,53,53,467,467,0.0240844217035,0.0408397815946,0.969694876946,0.991853774444,,,,False
0.01,plus_both,1,0,0.0325829383886,0.0325829383886,0.0325829383886,0.983193277311,0.983193277311,0.983193277311,1688,476,55,55,468,468,0.0251179369948,0.042170554032,0.972294825639,0.993435806905,0,0,failed,False
0.01,plus_entropy,1,0,0.0313981042654,0.0313981042654,0.0313981042654,0.983193277311,0.983193277311,0.983193277311,1688,476,53,53,468,468,0.0240844217035,0.0408397815946,0.972294825639,0.993435806905,0,0,failed,False
0.01,plus_outside,1,0,0.0331753554502,0.0331753554502,0.0331753554502,0.983193277311,0.983193277311,0.983193277311,1688,476,56,56,468,468,0.0256357965524,0.0428348383388,0.972294825639,0.993435806905,0,0,failed,False
0.05,continuous_fiqa,1,0,0.125592417062,0.125592417062,0.125592417062,0.985294117647,0.985294117647,0.985294117647,1688,476,212,212,469,469,0.110628770201,0.142256307529,0.973933649289,0.994012571279,,,,False
0.05,fiqa_2bin,1,0,0.101895734597,0.101895734597,0.101895734597,0.983193277311,0.983193277311,0.983193277311,1688,476,172,172,468,468,0.0883565137496,0.117242809406,0.972294825639,0.993435806905,,,,False
0.05,fiqa_5bin,1,0,0.106042654028,0.106042654028,0.106042654028,0.983193277311,0.983193277311,0.983193277311,1688,476,179,179,468,468,0.0922386766439,0.121635653562,0.972294825639,0.993435806905,,,,False
0.05,global_safe,1,0,0.123815165877,0.123815165877,0.123815165877,0.983193277311,0.983193277311,0.983193277311,1688,476,209,209,468,468,0.108951396204,0.140387249933,0.972294825639,0.993435806905,,,,False
0.05,plus_both,1,0,0.132701421801,0.132701421801,0.132701421801,0.985294117647,0.985294117647,0.985294117647,1688,476,224,224,469,469,0.117348358318,0.149722445784,0.973933649289,0.994012571279,0,0,failed,False
0.05,plus_entropy,1,0,0.119075829384,0.119075829384,0.119075829384,0.983193277311,0.983193277311,0.983193277311,1688,476,201,201,468,468,0.104483566526,0.135397928696,0.972294825639,0.993435806905,0,0,failed,False
0.05,plus_outside,1,0,0.133886255924,0.133886255924,0.133886255924,0.985294117647,0.985294117647,0.985294117647,1688,476,226,226,469,469,0.118469808417,0.150965283414,0.973933649289,0.994012571279,0,0,failed,False
0.1,continuous_fiqa,1,0,0.238151658768,0.238151658768,0.238151658768,0.985294117647,0.985294117647,0.985294117647,1688,476,402,402,469,469,0.218440617896,0.259051794061,0.973933649289,0.994012571279,,,,False
0.1,fiqa_2bin,1,0,0.218009478673,0.218009478673,0.218009478673,0.985294117647,0.985294117647,0.985294117647,1688,476,368,368,469,469,0.198964709179,0.23833481139,0.973933649289,0.994012571279,,,,False
0.1,fiqa_5bin,1,0,0.201421800948,0.201421800948,0.201421800948,0.985294117647,0.985294117647,0.985294117647,1688,476,340,340,469,469,0.18297686554,0.221222626827,0.973933649289,0.994012571279,,,,False
0.1,global_safe,1,0,0.241706161137,0.241706161137,0.241706161137,0.985294117647,0.985294117647,0.985294117647,1688,476,408,408,469,469,0.221884175431,0.262701099712,0.973933649289,0.994012571279,,,,False
0.1,plus_both,1,0,0.245853080569,0.245853080569,0.245853080569,0.983193277311,0.983193277311,0.983193277311,1688,476,415,415,468,468,0.225904073153,0.26695620904,0.972294825639,0.993435806905,0,0,failed,False
0.1,plus_entropy,1,0,0.245853080569,0.245853080569,0.245853080569,0.983193277311,0.983193277311,0.983193277311,1688,476,415,415,468,468,0.225904073153,0.26695620904,0.972294825639,0.993435806905,0,0,failed,False
0.1,plus_outside,1,0,0.239928909953,0.239928909953,0.239928909953,0.983193277311,0.983193277311,0.983193277311,1688,476,405,405,468,468,0.220162155927,0.260876687622,0.972294825639,0.993435806905,0,0,failed,False
0.2,continuous_fiqa,1,0,0.438981042654,0.438981042654,0.438981042654,0.985294117647,0.985294117647,0.985294117647,1688,476,741,741,469,469,0.41547197498,0.462767206992,0.973933649289,0.994012571279,,,,False
0.2,fiqa_2bin,1,0,0.41528436019,0.41528436019,0.41528436019,0.985294117647,0.985294117647,0.985294117647,1688,476,701,701,469,469,0.3919950981,0.438958329298,0.973933649289,0.994012571279,,,,False
0.2,fiqa_5bin,1,0,0.392180094787,0.392180094787,0.392180094787,0.985294117647,0.985294117647,0.985294117647,1688,476,662,662,469,469,0.369158864825,0.415690951863,0.973933649289,0.994012571279,,,,False
0.2,global_safe,1,0,0.443127962085,0.443127962085,0.443127962085,0.985294117647,0.985294117647,0.985294117647,1688,476,748,748,469,469,0.419586072716,0.466928116307,0.973933649289,0.994012571279,,,,False
0.2,plus_both,1,0,0.449052132701,0.449052132701,0.449052132701,0.985294117647,0.985294117647,0.985294117647,1688,476,758,758,469,469,0.425466246436,0.47286938123,0.973933649289,0.994012571279,0,0,failed,False
0.2,plus_entropy,1,0,0.440165876777,0.440165876777,0.440165876777,0.985294117647,0.985294117647,0.985294117647,1688,476,743,743,469,469,0.416647261053,0.463956208647,0.973933649289,0.994012571279,0,0,failed,False
0.2,plus_outside,1,0,0.4413507109,0.4413507109,0.4413507109,0.985294117647,0.985294117647,0.985294117647,1688,476,745,745,469,469,0.417822683523,0.465145073907,0.973933649289,0.994012571279,0,0,failed,False
0.3,continuous_fiqa,1,0,0.587677725118,0.587677725118,0.587677725118,0.985294117647,0.985294117647,0.985294117647,1688,476,992,992,469,469,0.56402167585,0.610935616074,0.973933649289,0.994012571279,,,,False
0.3,fiqa_2bin,1,0,0.582938388626,0.582938388626,0.582938388626,0.985294117647,0.985294117647,0.985294117647,1688,476,984,984,469,469,0.55925408608,0.606246054929,0.973933649289,0.994012571279,,,,False
0.3,fiqa_5bin,1,0,0.547985781991,0.547985781991,0.547985781991,0.985294117647,0.985294117647,0.985294117647,1688,476,925,925,469,469,0.524161258222,0.571592394791,0.973933649289,0.994012571279,,,,False
0.3,global_safe,1,0,0.582938388626,0.582938388626,0.582938388626,0.985294117647,0.985294117647,0.985294117647,1688,476,984,984,469,469,0.55925408608,0.606246054929,0.973933649289,0.994012571279,,,,False
0.3,plus_both,1,0,0.597748815166,0.597748815166,0.597748815166,0.985294117647,0.985294117647,0.985294117647,1688,476,1009,1009,469,469,0.574160249699,0.620893487919,0.973933649289,0.994012571279,0,0,failed,False
0.3,plus_entropy,1,0,0.593601895735,0.593601895735,0.593601895735,0.985294117647,0.985294117647,0.985294117647,1688,476,1002,1002,469,469,0.569984311599,0.616794418968,0.973933649289,0.994012571279,0,0,failed,False
0.3,plus_outside,1,0,0.588862559242,0.588862559242,0.588862559242,0.985294117647,0.985294117647,0.985294117647,1688,476,994,994,469,469,0.565213922527,0.612107657126,0.973933649289,0.994012571279,0,0,failed,False
