target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,1,-0.00473933649289,-0.00473933649289,-0.00473933649289,0,1,-0.00888625592417,-0.000592417061611,0,0,0.0390995260664,0.0390995260664,0.0343601895735,0.0343601895735
0.01,baseline,plus_both,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0390995260664,0.0390995260664,0.0343601895735,0.0343601895735
0.01,baseline,plus_entropy,fpir,1,-0.000592417061611,-0.000592417061611,-0.000592417061611,0,0,-0.00296208530806,0.00118483412322,0,0,0.0390995260664,0.0390995260664,0.0385071090047,0.0385071090047
0.01,baseline,plus_entropy,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0390995260664,0.0390995260664,0.0385071090047,0.0385071090047
0.01,baseline,plus_outside,fpir,1,-0.00414691943128,-0.00414691943128,-0.00414691943128,0,0,-0.00829383886256,0,0,0,0.0390995260664,0.0390995260664,0.0349526066351,0.0349526066351
0.01,baseline,plus_outside,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0390995260664,0.0390995260664,0.0349526066351,0.0349526066351
0.01,fiqa_2bin,continuous_fiqa,fpir,1,0.0118483412322,0.0118483412322,0.0118483412322,1,0,0.00710900473934,0.0171800947867,0,0,0.0272511848341,0.0272511848341,0.0390995260664,0.0390995260664
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0272511848341,0.0272511848341,0.0390995260664,0.0390995260664
0.01,fiqa_2bin,fiqa_5bin,fpir,1,0.000592417061611,0.000592417061611,0.000592417061611,0,0,-0.0053317535545,0.00592417061611,0,0,0.0272511848341,0.0272511848341,0.0278436018957,0.0278436018957
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0272511848341,0.0272511848341,0.0278436018957,0.0278436018957
0.01,fiqa_5bin,continuous_fiqa,fpir,1,0.0112559241706,0.0112559241706,0.0112559241706,1,0,0.00651658767773,0.0165876777251,0,0,0.0278436018957,0.0278436018957,0.0390995260664,0.0390995260664
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0278436018957,0.0278436018957,0.0390995260664,0.0390995260664
0.01,global_safe,continuous_fiqa,fpir,1,0.00414691943128,0.00414691943128,0.00414691943128,1,0,0.00118483412322,0.00770142180095,0,0,0.0349526066351,0.0349526066351,0.0390995260664,0.0390995260664
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0349526066351,0.0349526066351,0.0390995260664,0.0390995260664
0.01,global_safe,fiqa_2bin,fpir,1,-0.00770142180095,-0.00770142180095,-0.00770142180095,0,1,-0.0118631516588,-0.00355450236967,0,0,0.0349526066351,0.0349526066351,0.0272511848341,0.0272511848341
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0349526066351,0.0349526066351,0.0272511848341,0.0272511848341
0.01,global_safe,fiqa_5bin,fpir,1,-0.00710900473934,-0.00710900473934,-0.00710900473934,0,1,-0.0124407582938,-0.00177725118483,0,0,0.0349526066351,0.0349526066351,0.0278436018957,0.0278436018957
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0349526066351,0.0349526066351,0.0278436018957,0.0278436018957
