target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,1,-0.00236966824645,-0.00236966824645,-0.00236966824645,0,0,-0.00651658767773,0.00177725118483,0,0,0.042654028436,0.042654028436,0.0402843601896,0.0402843601896
0.01,baseline,plus_both,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.042654028436,0.042654028436,0.0402843601896,0.0402843601896
0.01,baseline,plus_entropy,fpir,1,0.00236966824645,0.00236966824645,0.00236966824645,0,0,-0.00296208530806,0.00770142180095,0,0,0.042654028436,0.042654028436,0.0450236966825,0.0450236966825
0.01,baseline,plus_entropy,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.042654028436,0.042654028436,0.0450236966825,0.0450236966825
0.01,baseline,plus_outside,fpir,1,-0.00592417061611,-0.00592417061611,-0.00592417061611,0,1,-0.0100710900474,-0.00236966824645,0,0,0.042654028436,0.042654028436,0.0367298578199,0.0367298578199
0.01,baseline,plus_outside,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.042654028436,0.042654028436,0.0367298578199,0.0367298578199
0.01,fiqa_2bin,continuous_fiqa,fpir,1,0.00947867298578,0.00947867298578,0.00947867298578,1,0,0.00473933649289,0.0148104265403,0,0,0.0331753554502,0.0331753554502,0.042654028436,0.042654028436
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0331753554502,0.0331753554502,0.042654028436,0.042654028436
0.01,fiqa_2bin,fiqa_5bin,fpir,1,-0.0100710900474,-0.0100710900474,-0.0100710900474,0,1,-0.0154028436019,-0.0053317535545,0,0,0.0331753554502,0.0331753554502,0.0231042654028,0.0231042654028
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0331753554502,0.0331753554502,0.0231042654028,0.0231042654028
0.01,fiqa_5bin,continuous_fiqa,fpir,1,0.0195497630332,0.0195497630332,0.0195497630332,1,0,0.0130331753555,0.0260663507109,0,0,0.0231042654028,0.0231042654028,0.042654028436,0.042654028436
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,0,0,0.0231042654028,0.0231042654028,0.042654028436,0.042654028436
0.01,global_safe,continuous_fiqa,fpir,1,0.00118483412322,0.00118483412322,0.00118483412322,0,0,-0.00118483412322,0.00355450236967,0,0,0.0414691943128,0.0414691943128,0.042654028436,0.042654028436
