target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,1,-0.000250857095075,-0.000250857095075,-0.000250857095075,0,0,-0.00108704741199,0.000585333221841,1,0,0.00627142737687,0.00627142737687,0.0060205702818,0.0060205702818
0.01,baseline,plus_both,tpir_at_rank_k,1,-0.00225515463918,-0.00225515463918,-0.00225515463918,0,0,-0.00458268890468,0,1,0,0.00627142737687,0.00627142737687,0.0060205702818,0.0060205702818
0.01,baseline,plus_entropy,fpir,1,-0.000334476126766,-0.000334476126766,-0.000334476126766,0,0,-0.00125428547537,0.00050171419015,1,0,0.00627142737687,0.00627142737687,0.0059369512501,0.0059369512501
0.01,baseline,plus_entropy,tpir_at_rank_k,1,-0.00257731958763,-0.00257731958763,-0.00257731958763,0,1,-0.00510224450687,-0.000321848702175,1,0,0.00627142737687,0.00627142737687,0.0059369512501,0.0059369512501
0.01,baseline,plus_outside,fpir,1,-8.36190316916e-05,-8.36190316916e-05,-8.36190316916e-05,0,0,-0.000668952253533,0.00050171419015,1,0,0.00627142737687,0.00627142737687,0.00618780834518,0.00618780834518
0.01,baseline,plus_outside,tpir_at_rank_k,1,-0.000644329896907,-0.000644329896907,-0.000644329896907,0,0,-0.00162601626016,0,1,0,0.00627142737687,0.00627142737687,0.00618780834518,0.00618780834518
0.01,fiqa_2bin,continuous_fiqa,fpir,1,-8.36190316916e-05,-8.36190316916e-05,-8.36190316916e-05,0,0,-0.000250857095075,0,1,0,0.00635504640856,0.00635504640856,0.00627142737687,0.00627142737687
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,1,0,0.00635504640856,0.00635504640856,0.00627142737687,0.00627142737687
0.01,fiqa_2bin,fiqa_5bin,fpir,1,-0.00217409482398,-0.00217409482398,-0.00217409482398,0,1,-0.0030102851409,-0.00142152353876,1,0,0.00635504640856,0.00635504640856,0.00418095158458,0.00418095158458
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,-0.0154639175258,-0.0154639175258,-0.0154639175258,0,1,-0.0203081330359,-0.0111820692285,1,0,0.00635504640856,0.00635504640856,0.00418095158458,0.00418095158458
0.01,fiqa_5bin,continuous_fiqa,fpir,1,0.00209047579229,0.00209047579229,0.00209047579229,1,0,0.00133790450707,0.0030102851409,1,1,0.00418095158458,0.00418095158458,0.00627142737687,0.00627142737687
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.0154639175258,0.0154639175258,0.0154639175258,1,0,0.0111820692285,0.0203081330359,1,1,0.00418095158458,0.00418095158458,0.00627142737687,0.00627142737687
0.01,global_safe,continuous_fiqa,fpir,1,0,0,0,0,0,-0.000250857095075,0.000250857095075,1,0,0.00627142737687,0.00627142737687,0.00627142737687,0.00627142737687
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,1,0,0,0,0,0,0,0,1,0,0.00627142737687,0.00627142737687,0.00627142737687,0.00627142737687
0.01,global_safe,fiqa_2bin,fpir,1,8.36190316916e-05,8.36190316916e-05,8.36190316916e-05,0,0,0,0.000250857095075,1,0,0.00627142737687,0.00627142737687,0.00635504640856,0.00635504640856
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,1,0,0,0,0,0,0,0,1,0,0.00627142737687,0.00627142737687,0.00635504640856,0.00635504640856
0.01,global_safe,fiqa_5bin,fpir,1,-0.00209047579229,-0.00209047579229,-0.00209047579229,0,1,-0.0030102851409,-0.00133581403127,1,0,0.00627142737687,0.00627142737687,0.00418095158458,0.00418095158458
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,1,-0.0154639175258,-0.0154639175258,-0.0154639175258,0,1,-0.0203081330359,-0.0111820692285,1,0,0.00627142737687,0.00627142737687,0.00418095158458,0.00418095158458
0.05,baseline,plus_both,fpir,1,0.0040137135212,0.0040137135212,0.0040137135212,1,0,0.00284304707751,0.00535161802826,0,0,0.0474119909691,0.0474119909691,0.0514257044903,0.0514257044903
0.05,baseline,plus_both,tpir_at_rank_k,1,0.000322164948454,0.000322164948454,0.000322164948454,0,0,0,0.000982012809166,0,0,0.0474119909691,0.0474119909691,0.0514257044903,0.0514257044903
0.05,baseline,plus_entropy,fpir,1,0.00376285642612,0.00376285642612,0.00376285642612,1,0,0.00250857095075,0.00493352286981,0,0,0.0474119909691,0.0474119909691,0.0511748473953,0.0511748473953
0.05,baseline,plus_entropy,tpir_at_rank_k,1,0.000322164948454,0.000322164948454,0.000322164948454,0,0,0,0.000982012809166,0,0,0.0474119909691,0.0474119909691,0.0511748473953,0.0511748473953
0.05,baseline,plus_outside,fpir,1,0.000418095158458,0.000418095158458,0.000418095158458,1,0,8.36190316916e-05,0.000836190316916,1,1,0.0474119909691,0.0474119909691,0.0478300861276,0.0478300861276
0.05,baseline,plus_outside,tpir_at_rank_k,1,0,0,0,0,0,0,0,1,0,0.0474119909691,0.0474119909691,0.0478300861276,0.0478300861276
0.05,fiqa_2bin,continuous_fiqa,fpir,1,-0.00125428547537,-0.00125428547537,-0.00125428547537,0,1,-0.00217409482398,-0.000334476126766,1,0,0.0486662764445,0.0486662764445,0.0474119909691,0.0474119909691
0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,-0.000322164948454,-0.000322164948454,-0.000322164948454,0,0,-0.000979447928042,0,1,0,0.0486662764445,0.0486662764445,0.0474119909691,0.0474119909691
0.05,fiqa_2bin,fiqa_5bin,fpir,1,-0.00760933188394,-0.00760933188394,-0.00760933188394,0,1,-0.00961618864454,-0.00568609415503,1,0,0.0486662764445,0.0486662764445,0.0410569445606,0.0410569445606
0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,-0.00193298969072,-0.00193298969072,-0.00193298969072,0,1,-0.00355989936103,-0.000640174184813,1,0,0.0486662764445,0.0486662764445,0.0410569445606,0.0410569445606
0.05,fiqa_5bin,continuous_fiqa,fpir,1,0.00635504640856,0.00635504640856,0.00635504640856,1,0,0.00443180867966,0.00819466510578,1,1,0.0410569445606,0.0410569445606,0.0474119909691,0.0474119909691
0.05,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.00161082474227,0.00161082474227,0.00161082474227,1,0,0.000323724125609,0.00319797888532,1,1,0.0410569445606,0.0410569445606,0.0474119909691,0.0474119909691
0.05,global_safe,continuous_fiqa,fpir,1,-0.0030102851409,-0.0030102851409,-0.0030102851409,0,1,-0.00418095158458,-0.00192323772891,0,0,0.05042227611,0.05042227611,0.0474119909691,0.0474119909691
0.05,global_safe,continuous_fiqa,tpir_at_rank_k,1,-0.000644329896907,-0.000644329896907,-0.000644329896907,0,0,-0.00162973949036,0,0,0,0.05042227611,0.05042227611,0.0474119909691,0.0474119909691
0.05,global_safe,fiqa_2bin,fpir,1,-0.00175599966552,-0.00175599966552,-0.00175599966552,0,1,-0.00267580901413,-0.000919809348608,0,0,0.05042227611,0.05042227611,0.0486662764445,0.0486662764445
0.05,global_safe,fiqa_2bin,tpir_at_rank_k,1,-0.000322164948454,-0.000322164948454,-0.000322164948454,0,0,-0.000982012809166,0,0,0,0.05042227611,0.05042227611,0.0486662764445,0.0486662764445
0.05,global_safe,fiqa_5bin,fpir,1,-0.00936533154946,-0.00936533154946,-0.00936533154946,0,1,-0.0115415168492,-0.00727485575717,0,0,0.05042227611,0.05042227611,0.0410569445606,0.0410569445606
0.05,global_safe,fiqa_5bin,tpir_at_rank_k,1,-0.00225515463918,-0.00225515463918,-0.00225515463918,0,1,-0.00414154536655,-0.000650612797605,0,0,0.05042227611,0.05042227611,0.0410569445606,0.0410569445606
0.1,baseline,plus_both,fpir,1,0.000250857095075,0.000250857095075,0.000250857095075,0,0,-0.000752571285224,0.00117066644368,1,0,0.093820553558,0.093820553558,0.0940714106531,0.0940714106531
0.1,baseline,plus_both,tpir_at_rank_k,1,0.000322164948454,0.000322164948454,0.000322164948454,0,0,0,0.000976268561634,1,0,0.093820553558,0.093820553558,0.0940714106531,0.0940714106531
0.1,baseline,plus_entropy,fpir,1,0.000418095158458,0.000418095158458,0.000418095158458,0,0,-0.000585333221841,0.00142152353876,1,0,0.093820553558,0.093820553558,0.0942386487164,0.0942386487164
0.1,baseline,plus_entropy,tpir_at_rank_k,1,0.000322164948454,0.000322164948454,0.000322164948454,0,0,0,0.000976268561634,1,0,0.093820553558,0.093820553558,0.0942386487164,0.0942386487164
