target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,1,-0.000752571285224,-0.000752571285224,-0.000752571285224,0,1,-0.00133999498286,-0.000167238063383,1,0,0.008947236391,0.008947236391,0.00819466510578,0.00819466510578
0.01,baseline,plus_both,tpir_at_rank_k,1,-0.00354381443299,-0.00354381443299,-0.00354381443299,0,1,-0.00607859160831,-0.000976864600379,1,0,0.008947236391,0.008947236391,0.00819466510578,0.00819466510578
0.01,baseline,plus_entropy,fpir,1,-0.00050171419015,-0.00050171419015,-0.00050171419015,0,0,-0.00108704741199,8.36190316916e-05,1,0,0.008947236391,0.008947236391,0.00844552220085,0.00844552220085
0.01,baseline,plus_entropy,tpir_at_rank_k,1,-0.00386597938144,-0.00386597938144,-0.00386597938144,0,1,-0.00643309197049,-0.00130036899309,1,0,0.008947236391,0.008947236391,0.00844552220085,0.00844552220085
0.01,baseline,plus_outside,fpir,1,-0.000836190316916,-0.000836190316916,-0.000836190316916,0,1,-0.00142152353876,-0.000334476126766,1,0,0.008947236391,0.008947236391,0.00811104607409,0.00811104607409
0.01,baseline,plus_outside,tpir_at_rank_k,1,-0.000644329896907,-0.000644329896907,-0.000644329896907,0,0,-0.00322684737012,0.00225593598287,1,0,0.008947236391,0.008947236391,0.00811104607409,0.00811104607409
0.01,fiqa_2bin,continuous_fiqa,fpir,1,0.000668952253533,0.000668952253533,0.000668952253533,1,0,8.36190316916e-05,0.00125428547537,1,1,0.00827828413747,0.00827828413747,0.008947236391,0.008947236391
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.00708762886598,0.00708762886598,0.00708762886598,1,0,0.00352773310808,0.0108488290324,1,1,0.00827828413747,0.00827828413747,0.008947236391,0.008947236391
0.01,fiqa_2bin,fiqa_5bin,fpir,1,-0.000836190316916,-0.000836190316916,-0.000836190316916,0,1,-0.00158876160214,-8.36190316916e-05,1,0,0.00827828413747,0.00827828413747,0.00744209382055,0.00744209382055
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,-0.0122422680412,-0.0122422680412,-0.0122422680412,0,1,-0.0174780653866,-0.00760402212892,1,0,0.00827828413747,0.00827828413747,0.00744209382055,0.00744209382055
0.01,fiqa_5bin,continuous_fiqa,fpir,1,0.00150514257045,0.00150514257045,0.00150514257045,1,0,0.000836190316916,0.00225771385567,1,1,0.00744209382055,0.00744209382055,0.008947236391,0.008947236391
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.0193298969072,0.0193298969072,0.0193298969072,1,0,0.0144698143367,0.0247312094885,1,1,0.00744209382055,0.00744209382055,0.008947236391,0.008947236391
0.01,global_safe,continuous_fiqa,fpir,1,0.00050171419015,0.00050171419015,0.00050171419015,0,0,-0.000167238063383,0.00117066644368,1,0,0.00844552220085,0.00844552220085,0.008947236391,0.008947236391
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,1,-0.00579896907216,-0.00579896907216,-0.00579896907216,0,1,-0.00930083386786,-0.00255911972023,1,0,0.00844552220085,0.00844552220085,0.008947236391,0.008947236391
0.01,global_safe,fiqa_2bin,fpir,1,-0.000167238063383,-0.000167238063383,-0.000167238063383,0,0,-0.000919809348608,0.000585333221841,1,0,0.00844552220085,0.00844552220085,0.00827828413747,0.00827828413747
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,1,-0.0128865979381,-0.0128865979381,-0.0128865979381,0,1,-0.0173808710187,-0.00878884813262,1,0,0.00844552220085,0.00844552220085,0.00827828413747,0.00827828413747
0.01,global_safe,fiqa_5bin,fpir,1,-0.0010034283803,-0.0010034283803,-0.0010034283803,0,1,-0.00183961869722,-0.000250857095075,1,0,0.00844552220085,0.00844552220085,0.00744209382055,0.00744209382055
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,1,-0.0251288659794,-0.0251288659794,-0.0251288659794,0,1,-0.0315286624204,-0.019323633242,1,0,0.00844552220085,0.00844552220085,0.00744209382055,0.00744209382055
