target_fpir,method,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,non_mated,mated,false_accept_min,false_accept_max,true_identification_min,true_identification_max,fpir_wilson_low_min,fpir_wilson_high_max,tpir_cluster_low_min,tpir_cluster_high_max,fallback_count_max,fallback_fraction_max,faithfulness_status,all_seeds_met
0.01,continuous_fiqa,1,1,0.00660590350364,0.00660590350364,0.00660590350364,0.95006443299,0.95006443299,0.95006443299,11959,3104,79,79,2949,2949,0.0053040833365,0.00822459706755,0.940416508668,0.959132176336,,,,True
0.01,fiqa_2bin,1,1,0.00685676059871,0.00685676059871,0.00685676059871,0.947809278351,0.947809278351,0.947809278351,11959,3104,82,82,2942,2942,0.00552790649328,0.0085023269925,0.93801753498,0.957120110896,,,,True
0.01,fiqa_5bin,1,1,0.00459904674304,0.00459904674304,0.00459904674304,0.938466494845,0.938466494845,0.938466494845,11959,3104,55,55,2913,2913,0.0035352861323,0.00598096961786,0.927782928116,0.948542578227,,,,True
0.01,global_safe,1,1,0.00576971318672,0.00576971318672,0.00576971318672,0.956507731959,0.956507731959,0.956507731959,11959,3104,69,69,2969,2969,0.00456194693018,0.00729488986808,0.947436279613,0.965263030511,,,,True
0.01,plus_both,1,1,0.00635504640856,0.00635504640856,0.00635504640856,0.951353092784,0.951353092784,0.951353092784,11959,3104,76,76,2953,2953,0.00508078122901,0.0079463460933,0.941666329011,0.960715880102,0,0,failed,True
0.01,plus_entropy,1,1,0.00476628480642,0.00476628480642,0.00476628480642,0.94587628866,0.94587628866,0.94587628866,11959,3104,57,57,2936,2936,0.00368091490992,0.00616970956139,0.93564186862,0.95558470973,0,0,failed,True
0.01,plus_outside,1,1,0.00760933188394,0.00760933188394,0.00760933188394,0.955541237113,0.955541237113,0.955541237113,11959,3104,91,91,2966,2966,0.00620223565988,0.00933265707111,0.946513942101,0.964158050069,0,0,failed,True
0.05,continuous_fiqa,1,1,0.0474119909691,0.0474119909691,0.0474119909691,0.979381443299,0.979381443299,0.979381443299,11959,3104,567,567,3040,3040,0.0437462834739,0.0513683648927,0.972497538707,0.985294237754,,,,True
0.05,fiqa_2bin,1,1,0.0460740864621,0.0460740864621,0.0460740864621,0.980670103093,0.980670103093,0.980670103093,11959,3104,551,551,3044,3044,0.0424602352716,0.0499794633257,0.973793365851,0.986452733101,,,,True
0.05,fiqa_5bin,1,1,0.0394681829584,0.0394681829584,0.0394681829584,0.977448453608,0.977448453608,0.977448453608,11959,3104,472,472,3034,3034,0.0361238589829,0.0431082751287,0.970376300629,0.98351678809,,,,True
0.05,global_safe,1,1,0.046910276779,0.046910276779,0.046910276779,0.98131443299,0.98131443299,0.98131443299,11959,3104,561,561,3046,3046,0.0432639159037,0.0508476262994,0.974735673869,0.986921954338,,,,True
0.05,plus_both,1,1,0.0483318003178,0.0483318003178,0.0483318003178,0.978737113402,0.978737113402,0.978737113402,11959,3104,578,578,3038,3038,0.0446309271507,0.0523227491823,0.971682509145,0.984809553666,0,0,failed,True
0.05,plus_entropy,1,1,0.0469938958107,0.0469938958107,0.0469938958107,0.979703608247,0.979703608247,0.979703608247,11959,3104,562,562,3041,3041,0.0433443022846,0.050934424279,0.97275597338,0.98556046238,0,0,failed,True
0.05,plus_outside,1,1,0.0470775148424,0.0470775148424,0.0470775148424,0.979381443299,0.979381443299,0.979381443299,11959,3104,563,563,3040,3040,0.0434246919623,0.0510212189619,0.972500508669,0.985434279536,0,0,failed,True
0.1,continuous_fiqa,1,0,0.101931599632,0.101931599632,0.101931599632,0.984536082474,0.984536082474,0.984536082474,11959,3104,1219,1219,3056,3056,0.0966361621423,0.107482689322,0.977943325483,0.989977621154,,,,False
0.1,fiqa_2bin,1,0,0.1018479806,0.1018479806,0.1018479806,0.984858247423,0.984858247423,0.984858247423,11959,3104,1218,1218,3057,3057,0.0965545407913,0.107397126312,0.978455255383,0.990240808036,,,,False
0.1,fiqa_5bin,1,1,0.0911447445439,0.0911447445439,0.0911447445439,0.984536082474,0.984536082474,0.984536082474,11959,3104,1090,1090,3056,3056,0.086116806003,0.0964352629463,0.977943325483,0.989977621154,,,,True
0.1,global_safe,1,0,0.102851408981,0.102851408981,0.102851408981,0.985180412371,0.985180412371,0.985180412371,11959,3104,1230,1230,3058,3058,0.0975340712922,0.108423808138,0.97893727547,0.99046958469,,,,False
0.1,plus_both,1,1,0.0979178861109,0.0979178861109,0.0979178861109,0.985180412371,0.985180412371,0.985180412371,11959,3104,1171,1171,3058,3058,0.092719634816,0.10337436734,0.979034140944,0.990259819295,0,0,failed,True
0.1,plus_entropy,1,1,0.0994230286813,0.0994230286813,0.0994230286813,0.984536082474,0.984536082474,0.984536082474,11959,3104,1189,1189,3056,3056,0.0941880186398,0.104915302007,0.978176585148,0.989766682157,0,0,failed,True
0.1,plus_outside,1,1,0.0990049335229,0.0990049335229,0.0990049335229,0.985180412371,0.985180412371,0.985180412371,11959,3104,1184,1184,3058,3058,0.0937800959624,0.104487302881,0.97893727547,0.99046958469,0,0,failed,True
0.2,continuous_fiqa,1,0,0.204950246676,0.204950246676,0.204950246676,0.990979381443,0.990979381443,0.990979381443,11959,3104,2451,2451,3076,3076,0.197810807965,0.212279175732,0.986726450369,0.994587883012,,,,False
0.2,fiqa_2bin,1,1,0.188477297433,0.188477297433,0.188477297433,0.990657216495,0.990657216495,0.990657216495,11959,3104,2254,2254,3075,3075,0.181568349198,0.195586315465,0.98634031658,0.9944589309,,,,True
0.2,fiqa_5bin,1,1,0.187390250021,0.187390250021,0.187390250021,0.990657216495,0.990657216495,0.990657216495,11959,3104,2241,2241,3075,3075,0.18049720495,0.194484063026,0.98634031658,0.9944589309,,,,True
0.2,global_safe,1,0,0.202274437662,0.202274437662,0.202274437662,0.990979381443,0.990979381443,0.990979381443,11959,3104,2419,2419,3076,3076,0.195171136547,0.209568947612,0.986726450369,0.994587883012,,,,False
0.2,plus_both,1,0,0.203445104106,0.203445104106,0.203445104106,0.989690721649,0.989690721649,0.989690721649,11959,3104,2433,2433,3072,3072,0.196325932364,0.210754732843,0.985113268608,0.99372730274,0,0,failed,False
0.2,plus_entropy,1,0,0.200016723806,0.200016723806,0.200016723806,0.989690721649,0.989690721649,0.989690721649,11959,3104,2392,2392,3072,3072,0.192944298204,0.207281808219,0.985141638336,0.993562922433,0,0,failed,False
0.2,plus_outside,1,0,0.200936533155,0.200936533155,0.200936533155,0.989690721649,0.989690721649,0.989690721649,11959,3104,2403,2403,3072,3072,0.193851485853,0.208213648537,0.985113268608,0.99372730274,0,0,failed,False
0.3,continuous_fiqa,1,1,0.290910611255,0.290910611255,0.290910611255,0.993878865979,0.993878865979,0.993878865979,11959,3104,3479,3479,3085,3085,0.282838660959,0.299116845414,0.990517668028,0.996773178653,,,,True
0.3,fiqa_2bin,1,1,0.283970231625,0.283970231625,0.283970231625,0.993878865979,0.993878865979,0.993878865979,11959,3104,3396,3396,3085,3085,0.275958904371,0.292120300073,0.990517668028,0.996773178653,,,,True
0.3,fiqa_5bin,1,1,0.287565849987,0.287565849987,0.287565849987,0.993878865979,0.993878865979,0.993878865979,11959,3104,3439,3439,3085,3085,0.279522825148,0.295745306801,0.990517668028,0.996773178653,,,,True
0.3,global_safe,1,1,0.291245087382,0.291245087382,0.291245087382,0.993878865979,0.993878865979,0.993878865979,11959,3104,3483,3483,3085,3085,0.28317027404,0.299453969775,0.990517668028,0.996773178653,,,,True
0.3,plus_both,1,1,0.292081277699,0.292081277699,0.292081277699,0.993878865979,0.993878865979,0.993878865979,11959,3104,3493,3493,3085,3085,0.283999330101,0.30029675732,0.990614886731,0.996632314941,0,0,failed,True
0.3,plus_entropy,1,1,0.291495944477,0.291495944477,0.291495944477,0.993878865979,0.993878865979,0.993878865979,11959,3104,3486,3486,3085,3085,0.283418987356,0.29970680954,0.990632468269,0.996748020324,0,0,failed,True
0.3,plus_outside,1,1,0.296763943474,0.296763943474,0.296763943474,0.993878865979,0.993878865979,0.993878865979,11959,3104,3549,3549,3085,3085,0.28864265711,0.305015754503,0.990517668028,0.996773178653,0,0,failed,True
