target_fpir,method,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,non_mated,mated,false_accept_min,false_accept_max,true_identification_min,true_identification_max,fpir_wilson_low_min,fpir_wilson_high_max,tpir_cluster_low_min,tpir_cluster_high_max,fallback_count_max,fallback_fraction_max,faithfulness_status,all_seeds_met
0.01,continuous_fiqa,1,0,0.0100463297628,0.0100463297628,0.0100463297628,0.00251559836486,0.00251559836486,0.00251559836486,121736,60423,1223,1223,152,152,0.00950137708312,0.0106222030815,0.00128074399766,0.00421840260499,,,,False
0.01,fiqa_2bin,1,1,0.00912630610501,0.00912630610501,0.00912630610501,0.00190324876289,0.00190324876289,0.00190324876289,121736,60423,1111,1111,115,115,0.00860738999203,0.00967620091911,0.00068651480108,0.00374865504274,,,,True
0.01,fiqa_5bin,1,0,0.0100791877505,0.0100791877505,0.0100791877505,0.00193634874137,0.00193634874137,0.00193634874137,121736,60423,1227,1227,117,117,0.0095333283595,0.010655965707,0.000799712304075,0.00352578915754,,,,False
0.01,global_safe,1,1,0.00994775579943,0.00994775579943,0.00994775579943,0.00205219866607,0.00205219866607,0.00205219866607,121736,60423,1211,1211,124,124,0.00940553244522,0.0105209060136,0.000722960879152,0.00403422532568,,,,True
0.01,plus_both,1,1,0.00880594072419,0.00880594072419,0.00880594072419,0.00215149860153,0.00215149860153,0.00215149860153,121736,60423,1072,1072,130,130,0.00829640516515,0.00934647520238,0.00114448640813,0.00355787269915,2,1.09794190789e-05,failed,True
0.01,plus_entropy,1,1,0.00989025432083,0.00989025432083,0.00989025432083,0.00241629842941,0.00241629842941,0.00241629842941,121736,60423,1204,1204,146,146,0.00934962949982,0.0104618096307,0.00124278390586,0.00403972825512,2,1.09794190789e-05,failed,True
0.01,plus_outside,1,1,0.00910987711113,0.00910987711113,0.00910987711113,0.00216804859077,0.00216804859077,0.00216804859077,121736,60423,1109,1109,131,131,0.00859143790417,0.00965929605602,0.00116393941438,0.00356339128032,2,1.09794190789e-05,failed,True
0.05,continuous_fiqa,1,1,0.0453768811198,0.0453768811198,0.0453768811198,0.00791089485792,0.00791089485792,0.00791089485792,121736,60423,5524,5524,478,478,0.0442220026246,0.0465604505673,0.00488770381076,0.0119054471358,,,,True
0.05,fiqa_2bin,1,1,0.044752579352,0.044752579352,0.044752579352,0.00640484583685,0.00640484583685,0.00640484583685,121736,60423,5448,5448,387,387,0.0436054105636,0.045928478492,0.00325107029402,0.0108537582117,,,,True
0.05,fiqa_5bin,1,1,0.0460093973845,0.0460093973845,0.0460093973845,0.00678549558943,0.00678549558943,0.00678549558943,121736,60423,5601,5601,410,410,0.0448467696348,0.0472006761688,0.00391099682614,0.0106772826103,,,,True
0.05,global_safe,1,1,0.0455658145495,0.0455658145495,0.0455658145495,0.00645449580458,0.00645449580458,0.00645449580458,121736,60423,5547,5547,390,390,0.0444086148722,0.0467516932557,0.00308240581316,0.01137118596,,,,True
0.05,plus_both,1,1,0.0457301044884,0.0457301044884,0.0457301044884,0.00777849494398,0.00777849494398,0.00777849494398,121736,60423,5567,5567,470,470,0.0445708908847,0.0469179867527,0.00491045039089,0.0116451193401,2,1.09794190789e-05,failed,True
0.05,plus_entropy,1,1,0.0457136754945,0.0457136754945,0.0457136754945,0.00786124489019,0.00786124489019,0.00786124489019,121736,60423,5565,5565,475,475,0.044554663096,0.0469013575904,0.00488884976735,0.0118142998636,2,1.09794190789e-05,failed,True
0.05,plus_outside,1,1,0.0457465334823,0.0457465334823,0.0457465334823,0.00782814491171,0.00782814491171,0.00782814491171,121736,60423,5569,5569,473,473,0.0445871187149,0.0469346158734,0.00493429102377,0.0117009044113,2,1.09794190789e-05,failed,True
0.1,continuous_fiqa,1,1,0.0929963199054,0.0929963199054,0.0929963199054,0.0136868411036,0.0136868411036,0.0136868411036,121736,60423,11321,11321,827,827,0.0913776796366,0.0946406458964,0.00907280050026,0.0195188729513,,,,True
0.1,fiqa_2bin,1,1,0.0878704738122,0.0878704738122,0.0878704738122,0.0117670423514,0.0117670423514,0.0117670423514,121736,60423,10697,10697,711,711,0.086293116431,0.0894738404042,0.00705083770521,0.0183171520883,,,,True
0.1,fiqa_5bin,1,1,0.0908030492213,0.0908030492213,0.0908030492213,0.0125779918243,0.0125779918243,0.0125779918243,121736,60423,11054,11054,760,760,0.0892018821558,0.0924300404248,0.00818625405598,0.0182755116975,,,,True
0.1,global_safe,1,1,0.0897680226063,0.0897680226063,0.0897680226063,0.0112870926634,0.0112870926634,0.0112870926634,121736,60423,10928,10928,682,682,0.0881751996612,0.0913867350092,0.00661622443502,0.017631853462,,,,True
0.1,plus_both,1,1,0.0916080699218,0.0916080699218,0.0916080699218,0.0137364910713,0.0137364910713,0.0137364910713,121736,60423,11152,11152,830,830,0.0900004568776,0.0932414562997,0.00922345764475,0.0195185306189,2,1.09794190789e-05,failed,True
0.1,plus_entropy,1,1,0.0922570151804,0.0922570151804,0.0922570151804,0.0135378912004,0.0135378912004,0.0135378912004,121736,60423,11231,11231,818,818,0.0906442335052,0.0938955292348,0.00897509529622,0.0192860501303,2,1.09794190789e-05,failed,True
0.1,plus_outside,1,1,0.0920023657751,0.0920023657751,0.0920023657751,0.0135047912219,0.0135047912219,0.0135047912219,121736,60423,11200,11200,816,816,0.0903916093753,0.0936388706249,0.00907743264892,0.0191019396195,2,1.09794190789e-05,failed,True
0.2,continuous_fiqa,1,1,0.18744660577,0.18744660577,0.18744660577,0.0249242837992,0.0249242837992,0.0249242837992,121736,60423,22819,22819,1506,1506,0.185264163839,0.189648772731,0.0184386164286,0.0327563712993,,,,True
0.2,fiqa_2bin,1,1,0.179782480121,0.179782480121,0.179782480121,0.0224417854128,0.0224417854128,0.0224417854128,121736,60423,21886,21886,1356,1356,0.177635462544,0.181949706405,0.0157088566606,0.0307093096234,,,,True
0.2,fiqa_5bin,1,1,0.183240783334,0.183240783334,0.183240783334,0.0239312844447,0.0239312844447,0.0239312844447,121736,60423,22307,22307,1446,1446,0.181077605013,0.185423952113,0.0176530919018,0.0315615486079,,,,True
0.2,global_safe,1,1,0.182394690149,0.182394690149,0.182394690149,0.0212832861659,0.0212832861659,0.0212832861659,121736,60423,22204,22204,1286,1286,0.180235438595,0.184573985556,0.0147549076093,0.0293935058581,,,,True
0.2,plus_both,1,1,0.187536965236,0.187536965236,0.187536965236,0.0251063336809,0.0251063336809,0.0251063336809,121736,60423,22830,22830,1517,1517,0.185354114063,0.189739535736,0.0184547278671,0.0329651698482,2,1.09794190789e-05,failed,True
0.2,plus_entropy,1,1,0.187348031807,0.187348031807,0.187348031807,0.0245601840359,0.0245601840359,0.0245601840359,121736,60423,22807,22807,1484,1484,0.185166036541,0.189549758323,0.0180142965574,0.0324687898486,2,1.09794190789e-05,failed,True
0.2,plus_outside,1,1,0.18784911612,0.18784911612,0.18784911612,0.0250566837132,0.0250566837132,0.0250566837132,121736,60423,22868,22868,1514,1514,0.185664852685,0.190053079183,0.0185543782421,0.0328914132427,2,1.09794190789e-05,failed,True
0.3,continuous_fiqa,1,1,0.284188736282,0.284188736282,0.284188736282,0.0362113764626,0.0362113764626,0.0362113764626,121736,60423,34596,34596,2188,2188,0.281661958162,0.286729134102,0.0284398827163,0.0450168719503,,,,True
0.3,fiqa_2bin,1,1,0.276113885786,0.276113885786,0.276113885786,0.0343412276782,0.0343412276782,0.0343412276782,121736,60423,33613,33613,2075,2075,0.273609568937,0.278632331933,0.0262163078414,0.0437189382402,,,,True
