target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,1,-0.00124038903858,-0.00124038903858,-0.00124038903858,0,1,-0.00151968193468,-0.000961096142472,0,0,0.0100463297628,0.0100463297628,0.00880594072419,0.00880594072419
0.01,baseline,plus_both,tpir_at_rank_k,1,-0.000364099763335,-0.000364099763335,-0.000364099763335,0,1,-0.000733218508544,-8.32987650761e-05,0,0,0.0100463297628,0.0100463297628,0.00880594072419,0.00880594072419
0.01,baseline,plus_entropy,fpir,1,-0.00015607544194,-0.00015607544194,-0.00015607544194,0,0,-0.000328579877768,0,0,0,0.0100463297628,0.0100463297628,0.00989025432083,0.00989025432083
0.01,baseline,plus_entropy,tpir_at_rank_k,1,-9.9299935455e-05,-9.9299935455e-05,-9.9299935455e-05,0,1,-0.000199098107604,-1.72064266338e-05,0,0,0.0100463297628,0.0100463297628,0.00989025432083,0.00989025432083
0.01,baseline,plus_outside,fpir,1,-0.00093645265164,-0.00093645265164,-0.00093645265164,0,1,-0.00118288755997,-0.000690017743313,0,0,0.0100463297628,0.0100463297628,0.00910987711113,0.00910987711113
0.01,baseline,plus_outside,tpir_at_rank_k,1,-0.000347549774093,-0.000347549774093,-0.000347549774093,0,1,-0.00070917009781,-8.17752994522e-05,0,0,0.0100463297628,0.0100463297628,0.00910987711113,0.00910987711113
0.01,fiqa_2bin,continuous_fiqa,fpir,1,0.000920023657751,0.000920023657751,0.000920023657751,1,0,0.000591443779983,0.00124860353552,0,0,0.00912630610501,0.00912630610501,0.0100463297628,0.0100463297628
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.000612349601973,0.000612349601973,0.000612349601973,1,0,0.00030205568683,0.0009334938857,0,0,0.00912630610501,0.00912630610501,0.0100463297628,0.0100463297628
0.01,fiqa_2bin,fiqa_5bin,fpir,1,0.000952881645528,0.000952881645528,0.000952881645528,1,0,0.000591443779983,0.00131431951107,0,0,0.00912630610501,0.00912630610501,0.0100791877505,0.0100791877505
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,3.3099978485e-05,3.3099978485e-05,3.3099978485e-05,0,0,-0.000310585310215,0.000333883139321,0,0,0.00912630610501,0.00912630610501,0.0100791877505,0.0100791877505
0.01,fiqa_5bin,continuous_fiqa,fpir,1,-3.28579877768e-05,-3.28579877768e-05,-3.28579877768e-05,0,0,-0.000402510350266,0.000303936386936,0,0,0.0100791877505,0.0100791877505,0.0100463297628,0.0100463297628
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.000579249623488,0.000579249623488,0.000579249623488,1,0,0.000308622805269,0.000879133421292,0,0,0.0100791877505,0.0100791877505,0.0100463297628,0.0100463297628
0.01,global_safe,continuous_fiqa,fpir,1,9.85739633305e-05,9.85739633305e-05,9.85739633305e-05,0,0,-0.000271078399159,0.000451797331931,0,0,0.00994775579943,0.00994775579943,0.0100463297628,0.0100463297628
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,1,0.00046339969879,0.00046339969879,0.00046339969879,1,0,4.65006440933e-05,0.000842998114107,0,0,0.00994775579943,0.00994775579943,0.0100463297628,0.0100463297628
0.01,global_safe,fiqa_2bin,fpir,1,-0.000821449694421,-0.000821449694421,-0.000821449694421,0,1,-0.00107630446211,-0.000558585792206,1,0,0.00994775579943,0.00994775579943,0.00912630610501,0.00912630610501
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,1,-0.000148949903183,-0.000148949903183,-0.000148949903183,0,0,-0.000391490694613,6.76316704116e-05,1,0,0.00994775579943,0.00994775579943,0.00912630610501,0.00912630610501
0.01,global_safe,fiqa_5bin,fpir,1,0.000131431951107,0.000131431951107,0.000131431951107,0,0,-0.000238220411382,0.000468431688243,0,0,0.00994775579943,0.00994775579943,0.0100791877505,0.0100791877505
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,1,-0.000115849924698,-0.000115849924698,-0.000115849924698,0,0,-0.000581923241217,0.000201570559435,0,0,0.00994775579943,0.00994775579943,0.0100791877505,0.0100791877505
0.05,baseline,plus_both,fpir,1,0.000353223368601,0.000353223368601,0.000353223368601,0,0,-0.000164495301308,0.000862522179142,1,0,0.0453768811198,0.0453768811198,0.0457301044884,0.0457301044884
0.05,baseline,plus_both,tpir_at_rank_k,1,-0.00013239991394,-0.00013239991394,-0.00013239991394,0,0,-0.000427347815612,0.000136123940769,1,0,0.0453768811198,0.0453768811198,0.0457301044884,0.0457301044884
0.05,baseline,plus_entropy,fpir,1,0.000336794374712,0.000336794374712,0.000336794374712,1,0,4.92869816652e-05,0.000632516264704,1,1,0.0453768811198,0.0453768811198,0.0457136754945,0.0457136754945
0.05,baseline,plus_entropy,tpir_at_rank_k,1,-4.96499677275e-05,-4.96499677275e-05,-4.96499677275e-05,0,0,-0.000219613421266,0.00010244083848,1,0,0.0453768811198,0.0453768811198,0.0457136754945,0.0457136754945
0.05,baseline,plus_outside,fpir,1,0.000369652362489,0.000369652362489,0.000369652362489,0,0,-0.000115002957219,0.000846093185253,1,0,0.0453768811198,0.0453768811198,0.0457465334823,0.0457465334823
0.05,baseline,plus_outside,tpir_at_rank_k,1,-8.27499462125e-05,-8.27499462125e-05,-8.27499462125e-05,0,0,-0.000342287831881,0.000174353695564,1,0,0.0453768811198,0.0453768811198,0.0457465334823,0.0457465334823
0.05,fiqa_2bin,continuous_fiqa,fpir,1,0.00062430176776,0.00062430176776,0.00062430176776,0,0,-0.000131431951107,0.00132253400802,1,0,0.044752579352,0.044752579352,0.0453768811198,0.0453768811198
0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.00150604902107,0.00150604902107,0.00150604902107,1,0,0.000630985353159,0.00243614298738,1,1,0.044752579352,0.044752579352,0.0453768811198,0.0453768811198
0.05,fiqa_2bin,fiqa_5bin,fpir,1,0.00125681803246,0.00125681803246,0.00125681803246,1,0,0.000377866859433,0.00212755470855,1,1,0.044752579352,0.044752579352,0.0460093973845,0.0460093973845
0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0.000380649752578,0.000380649752578,0.000380649752578,0,0,-0.00047291613912,0.00118452689804,1,0,0.044752579352,0.044752579352,0.0460093973845,0.0460093973845
0.05,fiqa_5bin,continuous_fiqa,fpir,1,-0.000632516264704,-0.000632516264704,-0.000632516264704,0,0,-0.00135559735822,3.28579877768e-05,1,0,0.0460093973845,0.0460093973845,0.0453768811198,0.0453768811198
0.05,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.00112539926849,0.00112539926849,0.00112539926849,1,0,0.000522670572651,0.00177842012064,1,1,0.0460093973845,0.0460093973845,0.0453768811198,0.0453768811198
0.05,global_safe,continuous_fiqa,fpir,1,-0.000188933429717,-0.000188933429717,-0.000188933429717,0,0,-0.00100237398962,0.000616292633239,1,0,0.0455658145495,0.0455658145495,0.0453768811198,0.0453768811198
0.05,global_safe,continuous_fiqa,tpir_at_rank_k,1,0.00145639905334,0.00145639905334,0.00145639905334,1,0,0.000145519373178,0.0025894820488,1,1,0.0455658145495,0.0455658145495,0.0453768811198,0.0453768811198
0.05,global_safe,fiqa_2bin,fpir,1,-0.000813235197477,-0.000813235197477,-0.000813235197477,0,1,-0.00144575146218,-0.000172504435828,1,0,0.0455658145495,0.0455658145495,0.044752579352,0.044752579352
0.05,global_safe,fiqa_2bin,tpir_at_rank_k,1,-4.96499677275e-05,-4.96499677275e-05,-4.96499677275e-05,0,0,-0.000704500392618,0.000496613627577,1,0,0.0455658145495,0.0455658145495,0.044752579352,0.044752579352
0.05,global_safe,fiqa_5bin,fpir,1,0.000443582834987,0.000443582834987,0.000443582834987,0,0,-0.000353223368601,0.00121574554774,1,0,0.0455658145495,0.0455658145495,0.0460093973845,0.0460093973845
0.05,global_safe,fiqa_5bin,tpir_at_rank_k,1,0.00033099978485,0.00033099978485,0.00033099978485,0,0,-0.000976935112327,0.00143092654478,1,0,0.0455658145495,0.0455658145495,0.0460093973845,0.0460093973845
0.1,baseline,plus_both,fpir,1,-0.00138824998357,-0.00138824998357,-0.00138824998357,0,1,-0.00211133107708,-0.000673383387001,1,0,0.0929963199054,0.0929963199054,0.0916080699218,0.0916080699218
0.1,baseline,plus_both,tpir_at_rank_k,1,4.96499677275e-05,4.96499677275e-05,4.96499677275e-05,0,0,-0.000367687190814,0.000513094236409,1,0,0.0929963199054,0.0929963199054,0.0916080699218,0.0916080699218
0.1,baseline,plus_entropy,fpir,1,-0.000739304724979,-0.000739304724979,-0.000739304724979,0,1,-0.00119110205691,-0.000295721889991,1,0,0.0929963199054,0.0929963199054,0.0922570151804,0.0922570151804
0.1,baseline,plus_entropy,tpir_at_rank_k,1,-0.000148949903183,-0.000148949903183,-0.000148949903183,0,0,-0.000444894471769,0.000136987284583,1,0,0.0929963199054,0.0929963199054,0.0922570151804,0.0922570151804
0.1,baseline,plus_outside,fpir,1,-0.000993954130249,-0.000993954130249,-0.000993954130249,0,1,-0.00165953374515,-0.000369447000066,1,0,0.0929963199054,0.0929963199054,0.0920023657751,0.0920023657751
0.1,baseline,plus_outside,tpir_at_rank_k,1,-0.000182049881668,-0.000182049881668,-0.000182049881668,0,0,-0.000631428736006,0.000267164931671,1,0,0.0929963199054,0.0929963199054,0.0920023657751,0.0920023657751
0.1,fiqa_2bin,continuous_fiqa,fpir,1,0.00512584609319,0.00512584609319,0.00512584609319,1,0,0.00411546296905,0.00614464907669,1,1,0.0878704738122,0.0878704738122,0.0929963199054,0.0929963199054
0.1,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.00191979875213,0.00191979875213,0.00191979875213,1,0,0.000614774010533,0.00325578816826,1,1,0.0878704738122,0.0878704738122,0.0929963199054,0.0929963199054
0.1,fiqa_2bin,fiqa_5bin,fpir,1,0.00293257540908,0.00293257540908,0.00293257540908,1,0,0.00184826181245,0.00407439048433,1,1,0.0878704738122,0.0878704738122,0.0908030492213,0.0908030492213
0.1,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0.000810949472883,0.000810949472883,0.000810949472883,0,0,-0.000425597811433,0.00202777493174,1,0,0.0878704738122,0.0878704738122,0.0908030492213,0.0908030492213
0.1,fiqa_5bin,continuous_fiqa,fpir,1,0.0021932706841,0.0021932706841,0.0021932706841,1,0,0.00122375468226,0.00313814319511,1,1,0.0908030492213,0.0908030492213,0.0929963199054,0.0929963199054
0.1,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.00110884927925,0.00110884927925,0.00110884927925,1,0,0.000282548228407,0.00207812835579,1,1,0.0908030492213,0.0908030492213,0.0929963199054,0.0929963199054
0.1,global_safe,continuous_fiqa,fpir,1,0.00322829729907,0.00322829729907,0.00322829729907,1,0,0.00215199283696,0.00435368338043,1,1,0.0897680226063,0.0897680226063,0.0929963199054,0.0929963199054
0.1,global_safe,continuous_fiqa,tpir_at_rank_k,1,0.00239974844016,0.00239974844016,0.00239974844016,1,0,0.00104852615627,0.00386355468862,1,1,0.0897680226063,0.0897680226063,0.0929963199054,0.0929963199054
0.1,global_safe,fiqa_2bin,fpir,1,-0.00189754879411,-0.00189754879411,-0.00189754879411,0,1,-0.00278491982651,-0.00103502661497,1,0,0.0897680226063,0.0897680226063,0.0878704738122,0.0878704738122
0.1,global_safe,fiqa_2bin,tpir_at_rank_k,1,0.000479949688033,0.000479949688033,0.000479949688033,0,0,-4.89260508417e-05,0.00100271364136,1,0,0.0897680226063,0.0897680226063,0.0878704738122,0.0878704738122
0.1,global_safe,fiqa_5bin,fpir,1,0.00103502661497,0.00103502661497,0.00103502661497,0,0,-6.65374252481e-05,0.00214459978971,1,0,0.0897680226063,0.0897680226063,0.0908030492213,0.0908030492213
0.1,global_safe,fiqa_5bin,tpir_at_rank_k,1,0.00129089916092,0.00129089916092,0.00129089916092,1,0,3.25358051391e-05,0.00260222841423,1,1,0.0897680226063,0.0897680226063,0.0908030492213,0.0908030492213
0.2,baseline,plus_both,fpir,1,9.03594663863e-05,9.03594663863e-05,9.03594663863e-05,0,0,-0.000796806203588,0.00101038312414,1,0,0.18744660577,0.18744660577,0.187536965236,0.187536965236
0.2,baseline,plus_both,tpir_at_rank_k,1,0.000182049881668,0.000182049881668,0.000182049881668,0,0,-0.000323908802025,0.00069323340981,1,0,0.18744660577,0.18744660577,0.187536965236,0.187536965236
0.2,baseline,plus_entropy,fpir,1,-9.85739633305e-05,-9.85739633305e-05,-9.85739633305e-05,0,0,-0.00071486659657,0.000509298810541,1,0,0.18744660577,0.18744660577,0.187348031807,0.187348031807
0.2,baseline,plus_entropy,tpir_at_rank_k,1,-0.000364099763335,-0.000364099763335,-0.000364099763335,0,0,-0.000728302681533,0,1,0,0.18744660577,0.18744660577,0.187348031807,0.187348031807
0.2,baseline,plus_outside,fpir,1,0.000402510350266,0.000402510350266,0.000402510350266,0,0,-0.00040271571269,0.00119130741933,1,0,0.18744660577,0.18744660577,0.18784911612,0.18784911612
0.2,baseline,plus_outside,tpir_at_rank_k,1,0.00013239991394,0.00013239991394,0.00013239991394,0,0,-0.000341901831273,0.000604540994725,1,0,0.18744660577,0.18744660577,0.18784911612,0.18784911612
0.2,fiqa_2bin,continuous_fiqa,fpir,1,0.00766412564895,0.00766412564895,0.00766412564895,1,0,0.00623459781823,0.00911008247355,1,1,0.179782480121,0.179782480121,0.18744660577,0.18744660577
0.2,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.00248249838638,0.00248249838638,0.00248249838638,1,0,0.000926713132595,0.00416179355156,1,1,0.179782480121,0.179782480121,0.18744660577,0.18744660577
0.2,fiqa_2bin,fiqa_5bin,fpir,1,0.00345830321351,0.00345830321351,0.00345830321351,1,0,0.00194683577578,0.0050198790826,1,1,0.179782480121,0.179782480121,0.183240783334,0.183240783334
0.2,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0.00148949903183,0.00148949903183,0.00148949903183,0,0,0,0.00302102268572,1,0,0.179782480121,0.179782480121,0.183240783334,0.183240783334
0.2,fiqa_5bin,continuous_fiqa,fpir,1,0.00420582243543,0.00420582243543,0.00420582243543,1,0,0.0030145150161,0.00548728395873,1,1,0.183240783334,0.183240783334,0.18744660577,0.18744660577
0.2,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.00099299935455,0.00099299935455,0.00099299935455,1,0,6.27195378592e-05,0.00197941183893,1,1,0.183240783334,0.183240783334,0.18744660577,0.18744660577
0.2,global_safe,continuous_fiqa,fpir,1,0.00505191562069,0.00505191562069,0.00505191562069,1,0,0.00347452684498,0.00664552802786,1,1,0.182394690149,0.182394690149,0.18744660577,0.18744660577
0.2,global_safe,continuous_fiqa,tpir_at_rank_k,1,0.00364099763335,0.00364099763335,0.00364099763335,1,0,0.00204411603084,0.0054434147461,1,1,0.182394690149,0.182394690149,0.18744660577,0.18744660577
0.2,global_safe,fiqa_2bin,fpir,1,-0.00261221002826,-0.00261221002826,-0.00261221002826,0,1,-0.00391030590787,-0.00133054314254,1,0,0.182394690149,0.182394690149,0.179782480121,0.179782480121
0.2,global_safe,fiqa_2bin,tpir_at_rank_k,1,0.00115849924698,0.00115849924698,0.00115849924698,1,0,0.000295687135374,0.00210821625857,1,1,0.182394690149,0.182394690149,0.179782480121,0.179782480121
0.2,global_safe,fiqa_5bin,fpir,1,0.000846093185253,0.000846093185253,0.000846093185253,0,0,-0.000682008608793,0.00239041861076,1,0,0.182394690149,0.182394690149,0.183240783334,0.183240783334
0.2,global_safe,fiqa_5bin,tpir_at_rank_k,1,0.0026479982788,0.0026479982788,0.0026479982788,1,0,0.0012354802339,0.00419675520455,1,1,0.182394690149,0.182394690149,0.183240783334,0.183240783334
0.3,baseline,plus_both,fpir,1,0.0012814615233,0.0012814615233,0.0012814615233,1,0,0.000246434908326,0.00233291713215,1,1,0.284188736282,0.284188736282,0.285470197805,0.285470197805
0.3,baseline,plus_both,tpir_at_rank_k,1,0.000148949903183,0.000148949903183,0.000148949903183,0,0,-0.00037099978437,0.000669908675847,1,0,0.284188736282,0.284188736282,0.285470197805,0.285470197805
0.3,baseline,plus_entropy,fpir,1,0.000484655319708,0.000484655319708,0.000484655319708,0,0,-0.000303936386936,0.00124860353552,1,0,0.284188736282,0.284188736282,0.284673391601,0.284673391601
0.3,baseline,plus_entropy,tpir_at_rank_k,1,-1.65499892425e-05,-1.65499892425e-05,-1.65499892425e-05,0,0,-0.000430589200755,0.000434978009395,1,0,0.284188736282,0.284188736282,0.284673391601,0.284673391601
0.3,baseline,plus_outside,fpir,1,0.00156896891634,0.00156896891634,0.00156896891634,1,0,0.000697616152987,0.00243970559243,1,1,0.284188736282,0.284188736282,0.285757705198,0.285757705198
0.3,baseline,plus_outside,tpir_at_rank_k,1,0.00046339969879,0.00046339969879,0.00046339969879,0,0,-1.62705599014e-05,0.000940561740799,1,0,0.284188736282,0.284188736282,0.285757705198,0.285757705198
0.3,fiqa_2bin,continuous_fiqa,fpir,1,0.00807485049616,0.00807485049616,0.00807485049616,1,0,0.00643996024183,0.00971816060984,1,1,0.276113885786,0.276113885786,0.284188736282,0.284188736282
0.3,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.0018701487844,0.0018701487844,0.0018701487844,1,0,0.000142939316053,0.00366806888063,1,1,0.276113885786,0.276113885786,0.284188736282,0.284188736282
0.3,fiqa_2bin,fiqa_5bin,fpir,1,0.00208648222383,0.00208648222383,0.00208648222383,1,0,0.000262658539791,0.00397602188342,1,1,0.276113885786,0.276113885786,0.278200368009,0.278200368009
0.3,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0.00117504923622,0.00117504923622,0.00117504923622,0,0,-0.000558892768848,0.00302819023094,1,0,0.276113885786,0.276113885786,0.278200368009,0.278200368009
0.3,fiqa_5bin,continuous_fiqa,fpir,1,0.00598836827233,0.00598836827233,0.00598836827233,1,0,0.00454261681015,0.00749182657554,1,1,0.278200368009,0.278200368009,0.284188736282,0.284188736282
0.3,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,1,0.000695099548185,0.000695099548185,0.000695099548185,0,0,-0.000347111003824,0.00170128787457,1,0,0.278200368009,0.278200368009,0.284188736282,0.284188736282
0.3,global_safe,continuous_fiqa,fpir,1,0.0071548268384,0.0071548268384,0.0071548268384,1,0,0.00531436879805,0.00899507951633,1,1,0.277033909443,0.277033909443,0.284188736282,0.284188736282
0.3,global_safe,continuous_fiqa,tpir_at_rank_k,1,0.00378994753653,0.00378994753653,0.00378994753653,1,0,0.00192868378372,0.00573550534011,1,1,0.277033909443,0.277033909443,0.284188736282,0.284188736282
0.3,global_safe,fiqa_2bin,fpir,1,-0.000920023657751,-0.000920023657751,-0.000920023657751,0,0,-0.00256292304659,0.000690223105737,1,0,0.277033909443,0.277033909443,0.276113885786,0.276113885786
0.3,global_safe,fiqa_2bin,tpir_at_rank_k,1,0.00191979875213,0.00191979875213,0.00191979875213,1,0,0.000838864085333,0.003015180802,1,1,0.277033909443,0.277033909443,0.276113885786,0.276113885786
0.3,global_safe,fiqa_5bin,fpir,1,0.00116645856608,0.00116645856608,0.00116645856608,0,0,-0.000846093185253,0.00311391042913,1,0,0.277033909443,0.277033909443,0.278200368009,0.278200368009
