target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,1,0.000501084313597,0.000501084313597,0.000501084313597,1,0,0.000238220411382,0.000788591706644,1,1,0.00925773805612,0.00925773805612,0.00975882236972,0.00975882236972
0.01,baseline,plus_both,tpir_at_rank_k,1,0.000115849924698,0.000115849924698,0.000115849924698,0,0,-1.70010853821e-05,0.000265801202146,1,0,0.00925773805612,0.00925773805612,0.00975882236972,0.00975882236972
0.01,baseline,plus_entropy,fpir,1,0.000632516264704,0.000632516264704,0.000632516264704,1,0,0.000369652362489,0.000920023657751,1,1,0.00925773805612,0.00925773805612,0.00989025432083,0.00989025432083
0.01,baseline,plus_entropy,tpir_at_rank_k,1,0.000148949903183,0.000148949903183,0.000148949903183,1,0,3.25380067418e-05,0.000284943442772,1,1,0.00925773805612,0.00925773805612,0.00989025432083,0.00989025432083
0.01,baseline,plus_outside,fpir,1,0.00015607544194,0.00015607544194,0.00015607544194,1,0,1.64289938884e-05,0.000295721889991,1,1,0.00925773805612,0.00925773805612,0.00941381349806,0.00941381349806
0.01,baseline,plus_outside,tpir_at_rank_k,1,4.96499677275e-05,4.96499677275e-05,4.96499677275e-05,0,0,-3.36958895154e-05,0.000143139274955,1,0,0.00925773805612,0.00925773805612,0.00941381349806,0.00941381349806
0.01,fiqa_2bin,continuous_fiqa,fpir,1,-0.000558585792206,-0.000558585792206,-0.000558585792206,0,1,-0.000911809160807,-0.000221791417493,1,0,0.00981632384833,0.00981632384833,0.00925773805612,0.00925773805612
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,1,0.00059579961273,0.00059579961273,0.00059579961273,1,0,9.79679932494e-05,0.00115000758223,1,1,0.00981632384833,0.00981632384833,0.00925773805612,0.00925773805612
0.01,fiqa_2bin,fiqa_5bin,fpir,1,0.000377866859433,0.000377866859433,0.000377866859433,0,0,-4.12778471446e-05,0.000788591706644,0,0,0.00981632384833,0.00981632384833,0.0101941907078,0.0101941907078
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,1,0.000413749731063,0.000413749731063,0.000413749731063,0,0,0,0.000865099100279,0,0,0.00981632384833,0.00981632384833,0.0101941907078,0.0101941907078
0.01,fiqa_5bin,continuous_fiqa,fpir,1,-0.00093645265164,-0.00093645265164,-0.00093645265164,0,1,-0.00132253400802,-0.000533942301373,0,0,0.0101941907078,0.0101941907078,0.00925773805612,0.00925773805612
