target_fpir,method,conditions,all_seeds_met_conditions,met_condition_seeds,condition_seeds,fpir_min,fpir_max
0.01,continuous_fiqa,12,1,1,12,0.00947867298578,0.042654028436
0.01,fiqa_2bin,12,0,0,12,0.010663507109,0.0331753554502
0.01,fiqa_5bin,12,1,1,12,0.00888625592417,0.0278436018957
0.01,global_safe,12,1,1,12,0.00888625592417,0.0414691943128
0.01,plus_both,12,1,1,12,0.00947867298578,0.0402843601896
0.01,plus_entropy,12,2,2,12,0.00888625592417,0.0450236966825
0.01,plus_outside,12,1,1,12,0.00947867298578,0.0385071090047
0.05,continuous_fiqa,12,3,3,12,0.0331753554502,0.150473933649
0.05,fiqa_2bin,12,2,2,12,0.0337677725118,0.131516587678
0.05,fiqa_5bin,12,3,3,12,0.0343601895735,0.132701421801
0.05,global_safe,12,2,2,12,0.0367298578199,0.137440758294
0.05,plus_both,12,2,2,12,0.0331753554502,0.144549763033
0.05,plus_entropy,12,3,3,12,0.0343601895735,0.148696682464
0.05,plus_outside,12,2,2,12,0.0331753554502,0.14336492891
0.1,continuous_fiqa,12,1,1,12,0.0663507109005,0.238151658768
0.1,fiqa_2bin,12,1,1,12,0.0669431279621,0.23163507109
0.1,fiqa_5bin,12,1,1,12,0.0776066350711,0.21682464455
0.1,global_safe,12,1,1,12,0.0699052132701,0.241706161137
0.1,plus_both,12,1,1,12,0.0675355450237,0.245853080569
0.1,plus_entropy,12,1,1,12,0.0651658767773,0.245853080569
0.1,plus_outside,12,1,1,12,0.0704976303318,0.239928909953
0.2,continuous_fiqa,12,1,1,12,0.154028436019,0.438981042654
0.2,fiqa_2bin,12,1,1,12,0.148696682464,0.41528436019
0.2,fiqa_5bin,12,1,1,12,0.157582938389,0.392180094787
0.2,global_safe,12,1,1,12,0.148696682464,0.443127962085
0.2,plus_both,12,1,1,12,0.154620853081,0.449052132701
0.2,plus_entropy,12,1,1,12,0.151066350711,0.440165876777
0.2,plus_outside,12,1,1,12,0.155805687204,0.4413507109
0.3,continuous_fiqa,12,1,1,12,0.274289099526,0.587677725118
0.3,fiqa_2bin,12,1,1,12,0.275473933649,0.582938388626
0.3,fiqa_5bin,12,1,1,12,0.277251184834,0.547985781991
0.3,global_safe,12,2,2,12,0.26836492891,0.582938388626
0.3,plus_both,12,1,1,12,0.271327014218,0.597748815166
0.3,plus_entropy,12,1,1,12,0.272511848341,0.593601895735
0.3,plus_outside,12,1,1,12,0.275473933649,0.588862559242
