target_fpir,method,conditions,all_seeds_met_conditions,met_condition_seeds,condition_seeds,fpir_min,fpir_max
0.01,continuous_fiqa,12,10,10,12,0.00418095158458,0.0110377121833
0.01,fiqa_2bin,12,11,11,12,0.00635504640856,0.0105359979931
0.01,fiqa_5bin,12,12,12,12,0.00418095158458,0.00869637929593
0.01,global_safe,12,10,10,12,0.00434818964796,0.0105359979931
0.01,plus_both,12,10,10,12,0.0060205702818,0.0107032360565
0.01,plus_entropy,12,12,12,12,0.00476628480642,0.00986704573961
0.01,plus_outside,12,10,10,12,0.00618780834518,0.0115394263734
0.05,continuous_fiqa,12,11,11,12,0.0385483736098,0.0502550380467
0.05,fiqa_2bin,12,12,12,12,0.0382975165148,0.0491679906347
0.05,fiqa_5bin,12,12,12,12,0.0359561836274,0.0437327535747
0.05,global_safe,12,11,11,12,0.037963040388,0.05042227611
0.05,plus_both,12,10,10,12,0.0350363742788,0.0514257044903
0.05,plus_entropy,12,9,9,12,0.0367923739443,0.0513420854587
0.05,plus_outside,12,10,10,12,0.0372104691028,0.0511748473953
0.1,continuous_fiqa,12,11,11,12,0.0775148423781,0.101931599632
0.1,fiqa_2bin,12,11,11,12,0.0767622710929,0.1018479806
0.1,fiqa_5bin,12,12,12,12,0.0733338907935,0.0930679822728
0.1,global_safe,12,11,11,12,0.0782674136633,0.102851408981
0.1,plus_both,12,12,12,12,0.0773476043147,0.0983359812693
0.1,plus_entropy,12,12,12,12,0.0781001756,0.0994230286813
0.1,plus_outside,12,12,12,12,0.0747554143323,0.0990885525546
0.2,continuous_fiqa,12,10,10,12,0.170081110461,0.204950246676
0.2,fiqa_2bin,12,12,12,12,0.16757253951,0.199849485743
0.2,fiqa_5bin,12,12,12,12,0.157538255707,0.195083200937
0.2,global_safe,12,10,10,12,0.166987206288,0.203027008947
0.2,plus_both,12,10,10,12,0.173760347855,0.205702817961
0.2,plus_entropy,12,10,10,12,0.169579396271,0.204950246676
0.2,plus_outside,12,10,10,12,0.169495777239,0.205786436993
0.3,continuous_fiqa,12,11,11,12,0.259887950498,0.305042227611
0.3,fiqa_2bin,12,11,11,12,0.25704490342,0.305460322769
0.3,fiqa_5bin,12,12,12,12,0.256459570198,0.291412325445
0.3,global_safe,12,11,11,12,0.259302617276,0.307550798562
0.3,plus_both,12,10,10,12,0.263818044987,0.304791370516
0.3,plus_entropy,12,11,11,12,0.261225855005,0.305627560833
0.3,plus_outside,12,10,10,12,0.263734425955,0.305543941801
