target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.010663507109,0.000592417061611,0.00236966824645,0,2,-0.0159952606635,0.00651658767773,1,0,0.00888625592417,0.021327014218,0.00829383886256,0.021327014218
0.01,baseline,plus_both,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00888625592417,0.021327014218,0.00829383886256,0.021327014218
0.01,baseline,plus_entropy,fpir,20,-0.00118483412322,0.000592417061611,0.0053317535545,2,0,-0.00473933649289,0.00888625592417,1,0,0.00888625592417,0.021327014218,0.00947867298578,0.0242890995261
0.01,baseline,plus_entropy,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00888625592417,0.021327014218,0.00947867298578,0.0242890995261
0.01,baseline,plus_outside,fpir,20,-0.010663507109,-0.000592417061611,0.000592417061611,0,3,-0.0159952606635,0.00473933649289,1,0,0.00888625592417,0.021327014218,0.00770142180095,0.0195497630332
0.01,baseline,plus_outside,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00888625592417,0.021327014218,0.00770142180095,0.0195497630332
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.00829383886256,0.00118483412322,0.00592417061611,4,3,-0.0130331753555,0.00947867298578,0,0,0.0130331753555,0.0171800947867,0.00888625592417,0.021327014218
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0130331753555,0.0171800947867,0.00888625592417,0.021327014218
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.00710900473934,-0.00296208530806,0.000592417061611,0,9,-0.0112559241706,0.00355450236967,0,0,0.0130331753555,0.0171800947867,0.0100710900474,0.0165876777251
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0130331753555,0.0171800947867,0.0100710900474,0.0165876777251
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.00473933649289,0.00414691943128,0.00770142180095,10,1,-0.00947867298578,0.0136255924171,0,0,0.0100710900474,0.0165876777251,0.00888625592417,0.021327014218
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0100710900474,0.0165876777251,0.00888625592417,0.021327014218
0.01,global_safe,continuous_fiqa,fpir,20,-0.00888625592417,0.000592417061611,0.00414691943128,2,3,-0.0142180094787,0.00829383886256,0,0,0.0154028436019,0.0177725118483,0.00888625592417,0.021327014218
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0154028436019,0.0177725118483,0.00888625592417,0.021327014218
0.01,global_safe,fiqa_2bin,fpir,20,-0.00473933649289,-0.000592417061611,0,0,3,-0.00771623222749,0,0,0,0.0154028436019,0.0177725118483,0.0130331753555,0.0171800947867
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0154028436019,0.0177725118483,0.0130331753555,0.0171800947867
0.01,global_safe,fiqa_5bin,fpir,20,-0.00770142180095,-0.00414691943128,-0.000592417061611,0,14,-0.0118483412322,0.00296208530806,0,0,0.0154028436019,0.0177725118483,0.0100710900474,0.0165876777251
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0154028436019,0.0177725118483,0.0100710900474,0.0165876777251
