target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.0053317535545,-0.00118483412322,0.00651658767773,1,3,-0.00947867298578,0.010663507109,1,0,0.00651658767773,0.0390995260664,0.00770142180095,0.0361374407583
0.01,baseline,plus_both,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00651658767773,0.0390995260664,0.00770142180095,0.0361374407583
0.01,baseline,plus_entropy,fpir,20,-0.0053317535545,-0.000592417061611,0.00651658767773,2,5,-0.00947867298578,0.010663507109,1,1,0.00651658767773,0.0390995260664,0.00947867298578,0.0390995260664
0.01,baseline,plus_entropy,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00651658767773,0.0390995260664,0.00947867298578,0.0390995260664
0.01,baseline,plus_outside,fpir,20,-0.00414691943128,-0.000888625592417,0.00296208530806,1,0,-0.00888625592417,0.00592417061611,1,0,0.00651658767773,0.0390995260664,0.00829383886256,0.0355450236967
0.01,baseline,plus_outside,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00651658767773,0.0390995260664,0.00829383886256,0.0355450236967
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.00296208530806,0.0050355450237,0.01836492891,13,0,-0.00710900473934,0.0254739336493,1,0,0.00592417061611,0.0302132701422,0.00651658767773,0.0390995260664
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0,0,0,0,0,0,0,1,0,0.00592417061611,0.0302132701422,0.00651658767773,0.0390995260664
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.0165876777251,-0.0053317535545,0.00829383886256,1,12,-0.0231042654028,0.0136255924171,0,0,0.00592417061611,0.0302132701422,0.0100710900474,0.0278436018957
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-0.00420168067227,0,0,0,0,-0.0153856041131,0,0,0,0.00592417061611,0.0302132701422,0.0100710900474,0.0278436018957
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.00770142180095,0.0118483412322,0.021327014218,15,1,-0.0130331753555,0.0284360189573,0,0,0.0100710900474,0.0278436018957,0.00651658767773,0.0390995260664
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0,0,0.00420168067227,0,0,0,0.0153856041131,0,0,0.0100710900474,0.0278436018957,0.00651658767773,0.0390995260664
0.01,global_safe,continuous_fiqa,fpir,20,-0.00651658767773,0.00118483412322,0.00770142180095,3,3,-0.010663507109,0.0124407582938,0,0,0.0130331753555,0.0361374407583,0.00651658767773,0.0390995260664
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0130331753555,0.0361374407583,0.00651658767773,0.0390995260664
