target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.0165876777251,-0.00148104265403,0.00473933649289,1,5,-0.0231042654028,0.00888625592417,0,0,0.0118483412322,0.0432464454976,0.0112559241706,0.042654028436
0.01,baseline,plus_both,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0118483412322,0.0432464454976,0.0112559241706,0.042654028436
0.01,baseline,plus_entropy,fpir,20,-0.0124407582938,-0.000592417061611,0.00355450236967,0,3,-0.0177725118483,0.00770142180095,0,0,0.0118483412322,0.0432464454976,0.0118483412322,0.0450236966825
0.01,baseline,plus_entropy,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0118483412322,0.0432464454976,0.0118483412322,0.0450236966825
0.01,baseline,plus_outside,fpir,20,-0.0148104265403,-0.00118483412322,0.00296208530806,2,5,-0.0207345971564,0.00592417061611,0,0,0.0118483412322,0.0432464454976,0.0130331753555,0.0420616113744
0.01,baseline,plus_outside,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0118483412322,0.0432464454976,0.0130331753555,0.0420616113744
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.00888625592417,0.00651658767773,0.0165876777251,15,2,-0.0136255924171,0.0231042654028,0,0,0.0148104265403,0.0373222748815,0.0118483412322,0.0432464454976
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0,0,0,0,0,0,0,0,0,0.0148104265403,0.0373222748815,0.0118483412322,0.0432464454976
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.0219194312796,-0.00770142180095,0,0,13,-0.0296208530806,0.00592417061611,0,0,0.0148104265403,0.0373222748815,0.00888625592417,0.0231042654028
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-0.00210084033613,0,0,0,0,-0.00769280205656,0,0,0,0.0148104265403,0.0373222748815,0.00888625592417,0.0231042654028
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.00473933649289,0.0139218009479,0.0302132701422,18,1,-0.00888625592417,0.0390995260664,0,0,0.00888625592417,0.0231042654028,0.0118483412322,0.0432464454976
