target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.000836190316916,8.36190316916e-05,0.000668952253533,1,4,-0.00142152353876,0.00133790450707,16,1,0.00769295091563,0.0102851408981,0.0070239986621,0.0106196170248
0.01,baseline,plus_both,tpir_at_rank_k,20,-0.00676546391753,-0.000161082474227,0.0041881443299,3,5,-0.0101430800533,0.00719489390437,16,2,0.00769295091563,0.0102851408981,0.0070239986621,0.0106196170248
0.01,baseline,plus_entropy,fpir,20,-0.00050171419015,8.36190316916e-05,0.0010034283803,1,2,-0.0010034283803,0.00158876160214,17,0,0.00769295091563,0.0102851408981,0.00744209382055,0.0104523789615
0.01,baseline,plus_entropy,tpir_at_rank_k,20,-0.00451030927835,0.000161082474227,0.00773195876289,1,4,-0.00736713140161,0.01119301567,17,0,0.00769295091563,0.0102851408981,0.00744209382055,0.0104523789615
0.01,baseline,plus_outside,fpir,20,-0.000836190316916,0,0.000752571285224,3,4,-0.00142152353876,0.00125637595117,15,1,0.00769295091563,0.0102851408981,0.0070239986621,0.0102015218664
0.01,baseline,plus_outside,tpir_at_rank_k,20,-0.00354381443299,0,0.00289948453608,4,2,-0.00632921413168,0.00549805950841,15,2,0.00769295091563,0.0102851408981,0.0070239986621,0.0102015218664
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.000585333221841,0.000627142737687,0.00192323772891,11,0,-0.00133790450707,0.00292666610921,18,9,0.00685676059871,0.00928171251777,0.00769295091563,0.0102851408981
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,-0.00579896907216,0.00563788659794,0.0244845360825,16,1,-0.0099486521181,0.0304320772343,18,14,0.00685676059871,0.00928171251777,0.00769295091563,0.0102851408981
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.00326114223597,-0.00167238063383,0.000167238063383,0,17,-0.00434818964796,0.00108704741199,20,0,0.00685676059871,0.00928171251777,0.00568609415503,0.00861276026424
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-0.0273840206186,-0.0127255154639,0.00225515463918,0,17,-0.0336356940959,0.00699339685482,20,0,0.00685676059871,0.00928171251777,0.00568609415503,0.00861276026424
0.01,fiqa_5bin,continuous_fiqa,fpir,20,0.000668952253533,0.00204866627644,0.00359561836274,19,0,-8.36190316916e-05,0.00476628480642,18,17,0.00568609415503,0.00861276026424,0.00769295091563,0.0102851408981
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0.00225515463918,0.0190077319588,0.0309278350515,19,0,-0.00128701164266,0.037881404432,18,17,0.00568609415503,0.00861276026424,0.00769295091563,0.0102851408981
0.01,global_safe,continuous_fiqa,fpir,20,-0.00133790450707,-0.000167238063383,0.000585333221841,2,6,-0.00209047579229,0.00117066644368,18,0,0.00786018897901,0.00986704573961,0.00769295091563,0.0102851408981
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,-0.00837628865979,0.00048324742268,0.00515463917526,4,2,-0.0122621189576,0.00784878148152,18,3,0.00786018897901,0.00986704573961,0.00769295091563,0.0102851408981
0.01,global_safe,fiqa_2bin,fpir,20,-0.0020068567606,-0.000418095158458,0.000250857095075,0,17,-0.0030102851409,0.000668952253533,20,0,0.00786018897901,0.00986704573961,0.00685676059871,0.00928171251777
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.0257731958763,-0.00354381443299,0.00128865979381,0,17,-0.0319359992919,0.00378934479681,20,0,0.00786018897901,0.00986704573961,0.00685676059871,0.00928171251777
0.01,global_safe,fiqa_5bin,fpir,20,-0.00367923739443,-0.00217409482398,-0.0010034283803,0,20,-0.00484990383811,-0.000418095158458,20,0,0.00786018897901,0.00986704573961,0.00568609415503,0.00861276026424
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,20,-0.0302835051546,-0.0178801546392,-0.0048324742268,0,20,-0.0366538746954,-0.00223347838188,20,0,0.00786018897901,0.00986704573961,0.00568609415503,0.00861276026424
0.05,baseline,plus_both,fpir,20,-0.0010034283803,0.00137971402291,0.00526799899657,9,1,-0.00234133288737,0.0069403796304,16,5,0.040137135212,0.0497533238565,0.0408060874655,0.0534325612509
0.05,baseline,plus_both,tpir_at_rank_k,20,-0.00289948453608,0.000644329896907,0.00257731958763,5,1,-0.00513157688884,0.00515493044483,16,3,0.040137135212,0.0497533238565,0.0408060874655,0.0534325612509
0.05,baseline,plus_entropy,fpir,20,-0.00209047579229,0.000376285642612,0.00275942804582,6,1,-0.00326114223597,0.0040137135212,19,5,0.040137135212,0.0497533238565,0.0398862781169,0.0505895141734
0.05,baseline,plus_entropy,tpir_at_rank_k,20,-0.00257731958763,0.000322164948454,0.00161082474227,0,2,-0.0050688291809,0.00388859188352,19,0,0.040137135212,0.0497533238565,0.0398862781169,0.0505895141734
0.05,baseline,plus_outside,fpir,20,-0.00209047579229,0.00133790450707,0.00484990383811,11,2,-0.00334476126766,0.00618780834518,14,5,0.040137135212,0.0497533238565,0.0406388494021,0.0522618948073
0.05,baseline,plus_outside,tpir_at_rank_k,20,-0.0041881443299,0.000644329896907,0.00386597938144,5,1,-0.00674877966688,0.00608004865557,14,3,0.040137135212,0.0497533238565,0.0406388494021,0.0522618948073
0.05,fiqa_2bin,continuous_fiqa,fpir,20,-0.00342838029936,0.0014633330546,0.00769295091563,12,2,-0.00510076093319,0.00936533154946,20,12,0.0353708504056,0.0466594196839,0.040137135212,0.0497533238565
0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,-0.00289948453608,0.00370489690722,0.0151417525773,14,0,-0.00610559489898,0.0196458730487,20,14,0.0353708504056,0.0466594196839,0.040137135212,0.0497533238565
0.05,fiqa_2bin,fiqa_5bin,fpir,20,-0.00752571285225,-0.00413914206873,0.000334476126766,0,16,-0.00911447445439,0.00175599966552,20,0,0.0353708504056,0.0466594196839,0.0304373275357,0.0441508487332
0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-0.0125644329897,-0.00451030927835,0.000966494845361,0,15,-0.0166503506416,0.00351893028034,20,0,0.0353708504056,0.0466594196839,0.0304373275357,0.0441508487332
0.05,fiqa_5bin,continuous_fiqa,fpir,20,0.0010034283803,0.00614599882933,0.0131281879756,19,0,-0.000668952253533,0.0152186637679,20,19,0.0304373275357,0.0441508487332,0.040137135212,0.0497533238565
0.05,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0.00193298969072,0.0090206185567,0.0186855670103,17,0,-0.000958795774039,0.0237333526361,20,17,0.0304373275357,0.0441508487332,0.040137135212,0.0497533238565
0.05,global_safe,continuous_fiqa,fpir,20,-0.00250857095075,0.000877999832762,0.00317752320428,8,3,-0.0040137135212,0.00451542771135,20,8,0.0405552303704,0.0479137051593,0.040137135212,0.0497533238565
