target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.000250857095075,0.000836190316916,0.00384647545781,9,0,-0.0010034283803,0.0050171419015,15,7,0.00543523705995,0.0102851408981,0.00635504640856,0.0108704741199
0.01,baseline,plus_both,tpir_at_rank_k,20,-0.000644329896907,0.000644329896907,0.00386597938144,5,0,-0.00253405131454,0.00675111348599,15,4,0.00543523705995,0.0102851408981,0.00635504640856,0.0108704741199
0.01,baseline,plus_entropy,fpir,20,-0.00183961869722,0.000167238063383,0.00217409482398,4,3,-0.00267580901413,0.00309390417259,17,3,0.00543523705995,0.0102851408981,0.00468266577473,0.0105359979931
0.01,baseline,plus_entropy,tpir_at_rank_k,20,-0.00451030927835,-0.000161082474227,0.00128865979381,1,4,-0.00710135571336,0.00291078448612,17,0,0.00543523705995,0.0102851408981,0.00468266577473,0.0105359979931
0.01,baseline,plus_outside,fpir,20,-0.000418095158458,0.00079438080107,0.00384647545781,11,0,-0.00125428547537,0.0050171419015,15,8,0.00543523705995,0.0102851408981,0.00643866544025,0.0108704741199
0.01,baseline,plus_outside,tpir_at_rank_k,20,-0.000322164948454,0.000805412371134,0.00547680412371,9,0,-0.00292706799825,0.00871825514608,15,8,0.00543523705995,0.0102851408981,0.00643866544025,0.0108704741199
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.00183961869722,0.000877999832762,0.0040137135212,11,4,-0.00284304707751,0.00518437996488,18,9,0.00418095158458,0.00852914123254,0.00543523705995,0.0102851408981
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,-0.00354381443299,0.00177190721649,0.0148195876289,10,1,-0.00579164568295,0.0199425851085,18,8,0.00418095158458,0.00852914123254,0.00543523705995,0.0102851408981
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.00317752320428,-0.00112885692784,0.00125428547537,1,11,-0.00418095158458,0.00225771385567,20,1,0.00418095158458,0.00852914123254,0.00459904674304,0.00744209382055
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-0.0202963917526,-0.00740979381443,-0.00225515463918,0,18,-0.025539449308,0.000954585876539,20,0,0.00418095158458,0.00852914123254,0.00459904674304,0.00744209382055
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.000334476126766,0.00192323772891,0.00484990383811,15,0,-0.00117066644368,0.00618780834518,18,13,0.00459904674304,0.00744209382055,0.00543523705995,0.0102851408981
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0.00644329896907,0.0107925257732,0.0209407216495,20,0,0.00377297225432,0.0265464528556,18,18,0.00459904674304,0.00744209382055,0.00543523705995,0.0102851408981
0.01,global_safe,continuous_fiqa,fpir,20,-0.00234133288737,0.000334476126766,0.00150514257045,4,2,-0.00334476126766,0.00234133288737,18,4,0.0050171419015,0.0099506647713,0.00543523705995,0.0102851408981
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,-0.00644329896907,-0.00112757731959,0.000322164948454,0,10,-0.00951355447011,0.00160879046749,18,0,0.0050171419015,0.0099506647713,0.00543523705995,0.0102851408981
0.01,global_safe,fiqa_2bin,fpir,20,-0.00367923739443,-0.000919809348608,0.00225771385567,3,11,-0.00484990383811,0.00342838029936,20,3,0.0050171419015,0.0099506647713,0.00418095158458,0.00852914123254
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.0148195876289,-0.0041881443299,-0.000322164948454,0,15,-0.0199423040982,0.00131291814545,20,0,0.0050171419015,0.0099506647713,0.00418095158458,0.00852914123254
0.01,global_safe,fiqa_5bin,fpir,20,-0.00493352286981,-0.00163057111799,0.000418095158458,0,12,-0.00635504640856,0.00125428547537,20,0,0.0050171419015,0.0099506647713,0.00459904674304,0.00744209382055
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,20,-0.0225515463918,-0.0122422680412,-0.00740979381443,0,20,-0.0283148775084,-0.00415461565951,20,0,0.0050171419015,0.0099506647713,0.00459904674304,0.00744209382055
