target_fpir,method,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,non_mated,mated,false_accept_min,false_accept_max,true_identification_min,true_identification_max,fpir_wilson_low_min,fpir_wilson_high_max,tpir_cluster_low_min,tpir_cluster_high_max,fallback_count_max,fallback_fraction_max,faithfulness_status,all_seeds_met
0.01,continuous_fiqa,20,16,0.00768055464283,0.00981632384833,0.0101859762108,0.00208529864456,0.00258179832183,0.00268109825729,121736,60423,935,1240,126,162,0.00720543988424,0.0107656837835,0.00109686511509,0.00435544995858,,,,False
0.01,fiqa_2bin,20,20,0.00712196885063,0.00925363080765,0.00966024840639,0.00153914899955,0.00185359879516,0.0019859987091,121736,60423,867,1176,93,120,0.00666489830854,0.0102253758192,0.000531557403412,0.00386245453312,,,,True
0.01,fiqa_5bin,20,14,0.00841164487087,0.00990257606624,0.010596701058,0.00162189894577,0.00203564867683,0.00216804859077,121736,60423,1024,1290,98,131,0.00791389806021,0.0111875312429,0.00074562581937,0.003852978375,,,,False
0.01,global_safe,20,20,0.00725340080173,0.00935631201945,0.00998882828416,0.0015556989888,0.0019859987091,0.00206874865531,121736,60423,883,1216,94,125,0.00679202140177,0.0105631148082,0.000505514304183,0.00407112287489,,,,True
0.01,plus_both,20,13,0.00738483275284,0.00982453834527,0.010309193665,0.00196944871986,0.00259007331645,0.0027638482035,121736,60423,899,1255,119,167,0.00691918413568,0.0108922619447,0.00109265565146,0.00423485516268,2,1.09794190789e-05,failed,False
0.01,plus_entropy,20,10,0.00797627653283,0.0100093645265,0.010448840113,0.00216804859077,0.00266454826804,0.00281349817123,121736,60423,971,1272,131,170,0.00749188000884,0.011035692231,0.00119093634966,0.00447507886231,2,1.09794190789e-05,failed,False
0.01,plus_outside,20,19,0.00710553985674,0.00959042518236,0.010013471775,0.00196944871986,0.00258179832183,0.00274729821426,121736,60423,865,1219,119,166,0.00664901076302,0.010588438929,0.00110478881775,0.00432752622272,2,1.09794190789e-05,failed,False
0.05,continuous_fiqa,20,20,0.0406535453769,0.0473319313925,0.0484655319708,0.00796054482565,0.0088790692286,0.00901974413717,121736,60423,4949,5900,481,545,0.0395585949846,0.049686178435,0.00512759083851,0.0133269328102,,,,True
0.05,fiqa_2bin,20,20,0.0379345468883,0.0450934809752,0.0459765393967,0.00570974628866,0.00666964566473,0.00680204557867,121736,60423,4618,5597,345,411,0.0368759002614,0.0471674192106,0.00284955929899,0.0113049981592,,,,True
0.05,fiqa_5bin,20,20,0.041072484721,0.0469540645331,0.0477180127489,0.00698409546034,0.00767919500852,0.00781159492246,121736,60423,5000,5809,422,472,0.0399720638998,0.0489298146972,0.00426098726402,0.01209377497,,,,True
0.05,global_safe,20,20,0.0386409936256,0.0459929683906,0.0470279950056,0.00580904622412,0.00662827069162,0.00678549558943,121736,60423,4704,5725,351,410,0.0375727773855,0.048231560936,0.00284094468438,0.0114523255241,,,,True
0.05,plus_both,20,20,0.0401524610633,0.0470362095025,0.0481205230992,0.00767919500852,0.00877149429853,0.00903629412641,121736,60423,4888,5858,464,546,0.0390640957914,0.0493370974293,0.00498971823017,0.0131242699838,2,1.09794190789e-05,failed,True
0.05,plus_entropy,20,20,0.0412367746599,0.0477262272458,0.0486873233883,0.00807639475034,0.00909421908876,0.00925144398656,121736,60423,5020,5927,488,559,0.0401342172034,0.0499105787311,0.00517999468226,0.0135745106714,2,1.09794190789e-05,failed,True
0.05,plus_outside,20,20,0.0397992376947,0.0463585135046,0.0473812183742,0.00749714512686,0.00867219436307,0.00885424424474,121736,60423,4845,5768,453,535,0.0387155423414,0.0485890090718,0.00487495258422,0.0130997404073,2,1.09794190789e-05,failed,True
0.1,continuous_fiqa,20,20,0.0821203259512,0.0928854241966,0.0949185121903,0.0134551412542,0.0149198153021,0.0153749400063,121736,60423,9997,11555,813,929,0.0805912228374,0.0965778034186,0.00926920705896,0.0211148464076,,,,True
