target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.000501084313597,-0.000242327659854,5.75014786094e-05,0,9,-0.000747519221923,0.00031215088388,20,0,0.00696589340869,0.00977525136361,0.00672767299731,0.00952881645528
0.01,baseline,plus_both,tpir_at_rank_k,20,-0.000182049881668,-0.000107574930076,0,0,1,-0.000449408732966,0.000124657357784,20,0,0.00696589340869,0.00977525136361,0.00672767299731,0.00952881645528
0.01,baseline,plus_entropy,fpir,20,-0.000106788460275,2.05362423605e-05,0.000238220411382,4,0,-0.000221791417493,0.000361437865545,20,4,0.00696589340869,0.00977525136361,0.0069494644148,0.00979989485444
0.01,baseline,plus_entropy,tpir_at_rank_k,20,-1.65499892425e-05,1.65499892425e-05,6.619995697e-05,1,0,-7.91539775591e-05,0.000189044039914,20,1,0.00696589340869,0.00977525136361,0.0069494644148,0.00979989485444
0.01,baseline,plus_outside,fpir,20,-0.000476440822764,-0.000287507393047,-5.75014786094e-05,0,16,-0.000714661234146,0.000172709798252,20,0,0.00696589340869,0.00977525136361,0.00654695406453,0.00951238746139
0.01,baseline,plus_outside,tpir_at_rank_k,20,-0.000215149860152,-0.000140674908561,0,0,8,-0.000434287416749,0.000116797595067,20,0,0.00696589340869,0.00977525136361,0.00654695406453,0.00951238746139
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.000575014786094,-5.75014786094e-05,0.000484655319708,1,2,-0.000920023657751,0.000805020700532,20,1,0.00716304133535,0.00979989485444,0.00696589340869,0.00977525136361
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,-8.27499462125e-05,0.000107574930076,0.000182049881668,0,0,-0.000547972231731,0.00045015298733,20,0,0.00716304133535,0.00979989485444,0.00696589340869,0.00977525136361
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.000180718932772,7.39304724979e-05,0.000837878688309,7,0,-0.000567005651574,0.0012075310508,17,4,0.00716304133535,0.00979989485444,0.00782841558783,0.0103338371558
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-0.000248249838638,-0.000182049881668,-8.27499462125e-05,0,5,-0.000582246756959,0.000120684251768,17,0,0.00716304133535,0.00979989485444,0.00782841558783,0.0103338371558
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.000862522179142,-0.000168397187356,0.000369652362489,1,8,-0.00124860353552,0.000698232240258,17,1,0.00782841558783,0.0103338371558,0.00696589340869,0.00977525136361
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,6.619995697e-05,0.000297899806365,0.000380649752578,14,0,-0.000139400688816,0.000656632093449,17,11,0.00782841558783,0.0103338371558,0.00696589340869,0.00977525136361
0.01,global_safe,continuous_fiqa,fpir,20,-0.000903594663863,-0.000139646448051,0.00015607544194,0,6,-0.00129809587961,0.00046822632582,16,0,0.00701518039035,0.0102106197016,0.00696589340869,0.00977525136361
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,-0.00013239991394,-8.27499462125e-06,9.9299935455e-05,0,0,-0.000739699750932,0.000522331369532,16,0,0.00701518039035,0.0102106197016,0.00696589340869,0.00977525136361
0.01,global_safe,fiqa_2bin,fpir,20,-0.000690017743313,-0.000131431951107,0.000147860944996,0,5,-0.00100216862719,0.00041072484721,16,0,0.00701518039035,0.0102106197016,0.00716304133535,0.00979989485444
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.000165499892425,-9.10249408338e-05,4.96499677275e-05,0,0,-0.000510453979406,0.000213356600364,16,0,0.00701518039035,0.0102106197016,0.00716304133535,0.00979989485444
0.01,global_safe,fiqa_5bin,fpir,20,-0.000698232240258,-4.1072484721e-05,0.000920023657751,4,2,-0.00108451895906,0.00126503252941,15,3,0.00701518039035,0.0102106197016,0.00782841558783,0.0103338371558
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,20,-0.000380649752578,-0.00026479982788,-6.619995697e-05,0,4,-0.000963977894113,0.000116407152717,15,0,0.00701518039035,0.0102106197016,0.00782841558783,0.0103338371558
0.05,baseline,plus_both,fpir,20,-0.000813235197477,-6.16087270816e-05,0.000328579877768,0,2,-0.00129789051718,0.000846093185253,20,0,0.0380331208517,0.0456151015312,0.0372198856542,0.0455822435434
0.05,baseline,plus_both,tpir_at_rank_k,20,-0.00026479982788,-4.96499677275e-05,6.619995697e-05,0,0,-0.000649256872147,0.000312733430443,20,0,0.0380331208517,0.0456151015312,0.0372198856542,0.0455822435434
0.05,baseline,plus_entropy,fpir,20,-4.1072484721e-05,0.000135539199579,0.000460011828875,8,0,-0.000172504435828,0.000657159755537,20,8,0.0380331208517,0.0456151015312,0.0381070513242,0.0457218899915
0.05,baseline,plus_entropy,tpir_at_rank_k,20,-8.27499462125e-05,0,6.619995697e-05,0,0,-0.000191593280372,0.000203252114705,20,0,0.0380331208517,0.0456151015312,0.0381070513242,0.0457218899915
0.05,baseline,plus_outside,fpir,20,-0.00131431951107,-0.000147860944996,0.000492869816652,0,5,-0.00181560918709,0.000993954130249,20,0,0.0380331208517,0.0456151015312,0.03739239009,0.0455740290465
0.05,baseline,plus_outside,tpir_at_rank_k,20,-0.000231699849395,-4.96499677275e-05,1.65499892425e-05,0,0,-0.000659344385322,0.000289372638552,20,0,0.0380331208517,0.0456151015312,0.03739239009,0.0455740290465
0.05,fiqa_2bin,continuous_fiqa,fpir,20,0.000295721889991,0.00119110205691,0.00288328842742,17,0,-0.000443582834987,0.0035817260301,20,17,0.0368666622856,0.044760793849,0.0380331208517,0.0456151015312
0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.000364099763335,0.000496499677275,0.000678549558943,4,0,-0.000275078792645,0.00128432093066,20,4,0.0368666622856,0.044760793849,0.0380331208517,0.0456151015312
0.05,fiqa_2bin,fiqa_5bin,fpir,20,0.000993954130249,0.0024438128409,0.00494512716041,20,0,0.000147860944996,0.00575836235789,20,20,0.0368666622856,0.044760793849,0.0408014063219,0.0463872642439
0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,-4.96499677275e-05,9.10249408338e-05,0.000297899806365,0,0,-0.000711090297131,0.000842408710289,20,0,0.0368666622856,0.044760793849,0.0408014063219,0.0463872642439
0.05,fiqa_5bin,continuous_fiqa,fpir,20,-0.00309686534797,-0.00125271078399,0.000747519221923,1,16,-0.00384479529474,0.00146218045607,20,1,0.0408014063219,0.0463872642439,0.0380331208517,0.0456151015312
0.05,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0.000231699849395,0.000364099763335,0.000711649537428,3,0,-0.000231892287412,0.00131352120684,20,3,0.0408014063219,0.0463872642439,0.0380331208517,0.0456151015312
0.05,global_safe,continuous_fiqa,fpir,20,-0.00119931655385,0.000262863902215,0.00127324702635,5,1,-0.00197989912598,0.00196326476967,20,5,0.0374909640534,0.0456151015312,0.0380331208517,0.0456151015312
0.05,global_safe,continuous_fiqa,tpir_at_rank_k,20,0.000314449795608,0.000413749731063,0.000513049666518,0,0,-0.000463525215262,0.00128706526104,20,0,0.0374909640534,0.0456151015312,0.0380331208517,0.0456151015312
0.05,global_safe,fiqa_2bin,fpir,20,-0.00309686534797,-0.000809127949004,-0.000221791417493,0,15,-0.00379530295065,0.00041072484721,20,0,0.0374909640534,0.0456151015312,0.0368666622856,0.044760793849
0.05,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.00026479982788,-8.27499462125e-05,1.65499892425e-05,0,0,-0.000761537725247,0.000388224064308,20,0,0.0374909640534,0.0456151015312,0.0368666622856,0.044760793849
0.05,global_safe,fiqa_5bin,fpir,20,-0.000961096142472,0.0015895051587,0.00437011237432,15,1,-0.0017991801932,0.00515090030887,20,15,0.0374909640534,0.0456151015312,0.0408014063219,0.0463872642439
0.05,global_safe,fiqa_5bin,tpir_at_rank_k,20,-0.000297899806365,1.65499892425e-05,0.000182049881668,0,0,-0.00126123649071,0.000843432080123,20,0,0.0374909640534,0.0456151015312,0.0408014063219,0.0463872642439
0.1,baseline,plus_both,fpir,20,-0.00217684169021,-0.00124860353552,-0.000147860944996,0,16,-0.00286685943353,0.000476646185188,20,0,0.0783005848722,0.0911152001051,0.0781527239272,0.0901212459749
0.1,baseline,plus_both,tpir_at_rank_k,20,-0.000413749731063,-0.000314449795608,-9.9299935455e-05,0,5,-0.000770741917823,0.000235968710575,20,0,0.0783005848722,0.0911152001051,0.0781527239272,0.0901212459749
0.1,baseline,plus_entropy,fpir,20,-0.000435368338043,7.80377209699e-05,0.000320365380824,2,1,-0.000788797069067,0.000648945258592,20,2,0.0783005848722,0.0911152001051,0.0784238023263,0.0911562725899
0.1,baseline,plus_entropy,tpir_at_rank_k,20,-9.9299935455e-05,-1.65499892425e-05,8.27499462125e-05,0,0,-0.000244700633647,0.000212857207096,20,0,0.0783005848722,0.0911152001051,0.0784238023263,0.0911562725899
0.1,baseline,plus_outside,fpir,20,-0.00299829138464,-0.00169629361898,-0.000887165669974,0,20,-0.00364744200565,-0.000271078399159,20,0,0.0783005848722,0.0911152001051,0.0774134192022,0.0894476572255
0.1,baseline,plus_outside,tpir_at_rank_k,20,-0.000430299720305,-0.00026479982788,-0.000165499892425,0,3,-0.000750414236472,0.000130415921092,20,0,0.0783005848722,0.0911152001051,0.0774134192022,0.0894476572255
0.1,fiqa_2bin,continuous_fiqa,fpir,20,0.00211934021161,0.00386081356378,0.00640730761648,20,0,0.00113339521588,0.00735218012749,20,20,0.0730679503187,0.0881579812052,0.0783005848722,0.0911152001051
0.1,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.000761299505155,0.00100127434917,0.00142329907486,12,0,-0.000122921876537,0.00232242029473,20,12,0.0730679503187,0.0881579812052,0.0783005848722,0.0911152001051
0.1,fiqa_2bin,fiqa_5bin,fpir,20,0.000952881645528,0.00280525070645,0.00811592298088,18,0,-0.00015607544194,0.00918380758362,20,18,0.0730679503187,0.0881579812052,0.0811838732996,0.0896365906552
0.1,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,0.000380649752578,0.00059579961273,0.00099299935455,1,0,-0.000796913111871,0.00203144742845,20,1,0.0730679503187,0.0881579812052,0.0811838732996,0.0896365906552
0.1,fiqa_5bin,continuous_fiqa,fpir,20,-0.00288328842742,0.000985739633305,0.00359794966156,10,4,-0.00394316389564,0.00455103666951,20,10,0.0811838732996,0.0896365906552,0.0783005848722,0.0911152001051
0.1,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,-9.9299935455e-05,0.000446849709548,0.000761299505155,0,0,-0.000759681566101,0.00157782477202,20,0,0.0811838732996,0.0896365906552,0.0783005848722,0.0911152001051
0.1,global_safe,continuous_fiqa,fpir,20,0.00253827955576,0.00364312939476,0.00455904580403,20,0,0.00156876355392,0.00562693040678,20,20,0.0747272787015,0.0879361897877,0.0783005848722,0.0911152001051
0.1,global_safe,continuous_fiqa,tpir_at_rank_k,20,0.00104264932228,0.00118332423084,0.00135709911789,17,0,-3.25896972947e-05,0.00237288628289,20,17,0.0747272787015,0.0879361897877,0.0783005848722,0.0911152001051
0.1,global_safe,fiqa_2bin,fpir,20,-0.00246434908326,4.1072484721e-06,0.00143753696524,1,5,-0.00336794374712,0.00236577511993,20,1,0.0747272787015,0.0879361897877,0.0730679503187,0.0881579812052
0.1,global_safe,fiqa_2bin,tpir_at_rank_k,20,-6.619995697e-05,0.000190324876289,0.000281349817123,0,0,-0.000638753609502,0.000936763850933,20,0,0.0747272787015,0.0879361897877,0.0730679503187,0.0881579812052
