target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.000197147926661,0.000205362423605,0.000952881645528,5,0,-0.000525727804429,0.00131431951107,0,0,0.00997239929027,0.0125928238155,0.0101366892292,0.0126831832819
0.01,baseline,plus_both,tpir_at_rank_k,20,-9.9299935455e-05,-6.619995697e-05,0,0,0,-0.000322430160044,0.000163732805683,0,0,0.00997239929027,0.0125928238155,0.0101366892292,0.0126831832819
0.01,baseline,plus_entropy,fpir,20,-0.000427153841099,0.000373759610961,0.000846093185253,10,1,-0.000747519221923,0.00119110205691,0,0,0.00997239929027,0.0125928238155,0.00990668331471,0.0128967602024
0.01,baseline,plus_entropy,tpir_at_rank_k,20,-0.000115849924698,-6.619995697e-05,-1.65499892425e-05,0,0,-0.000322430160044,0.000125717425978,0,0,0.00997239929027,0.0125928238155,0.00990668331471,0.0128967602024
0.01,baseline,plus_outside,fpir,20,-0.000386081356378,0.000115002957219,0.00046822632582,6,1,-0.000640730761648,0.000755733718867,0,0,0.00997239929027,0.0125928238155,0.0103666951436,0.0126338963002
0.01,baseline,plus_outside,tpir_at_rank_k,20,-6.619995697e-05,0,8.27499462125e-05,0,0,-0.000161352653028,0.000189591424729,0,0,0.00997239929027,0.0125928238155,0.0103666951436,0.0126338963002
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.0014868239469,-0.000952881645528,-9.03594663863e-05,0,18,-0.00183183281856,0.000221791417493,0,0,0.0109663534205,0.0134389170007,0.00997239929027,0.0125928238155
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.00013239991394,0.000215149860152,0.000314449795608,17,0,-5.54729540057e-05,0.000536480792196,0,0,0.0109663534205,0.0134389170007,0.00997239929027,0.0125928238155
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.00157718341329,-0.00108431359664,-0.000484655319708,0,20,-0.00201255175133,-5.75014786094e-05,0,0,0.0109663534205,0.0134389170007,0.0103256226589,0.0122067424591
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,9.9299935455e-05,0.000190324876289,0.00026479982788,3,0,-0.000131334497557,0.000605777311024,0,0,0.0109663534205,0.0134389170007,0.0103256226589,0.0122067424591
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.000977525136361,0.0001766116843,0.000755733718867,8,2,-0.00140467897746,0.00117467306302,0,0,0.0103256226589,0.0122067424591,0.00997239929027,0.0125928238155
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,-6.619995697e-05,3.3099978485e-05,0.00013239991394,0,0,-0.000262412634757,0.000293327046939,0,0,0.0103256226589,0.0122067424591,0.00997239929027,0.0125928238155
0.01,global_safe,continuous_fiqa,fpir,20,-0.00110895708747,-0.000821449694421,-0.000262863902215,0,19,-0.00147039495301,3.28579877768e-05,0,0,0.0107856344877,0.0133156995466,0.00997239929027,0.0125928238155
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,0.00013239991394,0.000165499892425,0.000215149860152,6,0,-3.21869628013e-05,0.000420802582083,0,0,0.0107856344877,0.0133156995466,0.00997239929027,0.0125928238155
0.01,global_safe,fiqa_2bin,fpir,20,-0.000837878688309,0.000201255175133,0.000599658276927,5,2,-0.00109252809358,0.000911809160807,0,0,0.0107856344877,0.0133156995466,0.0109663534205,0.0134389170007
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.000115849924698,-4.96499677275e-05,1.65499892425e-05,0,2,-0.000235378804949,9.33697408145e-05,0,0,0.0107856344877,0.0133156995466,0.0109663534205,0.0134389170007
0.01,global_safe,fiqa_5bin,fpir,20,-0.00156896891634,-0.000973417887888,0.000106788460275,0,19,-0.0020209716107,0.000583229283039,0,0,0.0107856344877,0.0133156995466,0.0103256226589,0.0122067424591
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,20,3.3099978485e-05,0.000140674908561,0.000248249838638,0,0,-0.000162466341719,0.000580629677345,0,0,0.0107856344877,0.0133156995466,0.0103256226589,0.0122067424591
0.05,baseline,plus_both,fpir,20,-0.00140467897746,-0.000480548071236,0.00041072484721,0,7,-0.00201255175133,0.00101038312414,8,0,0.044465071959,0.0513488203982,0.0439639876454,0.050946310048
0.05,baseline,plus_both,tpir_at_rank_k,20,-0.000479949688033,-0.000248249838638,-0.000148949903183,0,1,-0.000950744656303,0.00026032300844,8,0,0.044465071959,0.0513488203982,0.0439639876454,0.050946310048
0.05,baseline,plus_entropy,fpir,20,-0.000763948215811,-0.000340901623184,0.000180718932772,0,4,-0.00122396004469,0.000640730761648,8,0,0.044465071959,0.0513488203982,0.0444322139712,0.0507573766183
0.05,baseline,plus_entropy,tpir_at_rank_k,20,-0.000496499677275,-0.000355824768714,0,0,12,-0.000926516856549,0.000270013418801,8,0,0.044465071959,0.0513488203982,0.0444322139712,0.0507573766183
0.05,baseline,plus_outside,fpir,20,-0.00128967602024,-0.00031215088388,0.000287507393047,0,8,-0.00186469080634,0.00087094203851,8,0,0.044465071959,0.0513488203982,0.0438489846882,0.0510695275021
0.05,baseline,plus_outside,tpir_at_rank_k,20,-0.00026479982788,-6.619995697e-05,9.9299935455e-05,0,0,-0.000629194105052,0.000436754467119,8,0,0.044465071959,0.0513488203982,0.0438489846882,0.0510695275021
0.05,fiqa_2bin,continuous_fiqa,fpir,20,-8.21449694421e-06,0.0010596701058,0.00363080764934,12,0,-0.000772162712755,0.00437011237432,8,4,0.0437750542157,0.050650588158,0.044465071959,0.0513488203982
0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.000777849494398,0.000935074392202,0.00125779918243,20,0,1.74848971245e-05,0.00205264139478,8,8,0.0437750542157,0.050650588158,0.044465071959,0.0513488203982
0.05,fiqa_2bin,fiqa_5bin,fpir,20,-0.000952881645528,8.21449694421e-06,0.00214398370244,5,1,-0.0018400473155,0.00299028225011,15,4,0.0437750542157,0.050650588158,0.0457218899915,0.0504698692252
0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,3.3099978485e-05,0.000190324876289,0.000612349601973,0,0,-0.000789751996338,0.00135367512673,15,0,0.0437750542157,0.050650588158,0.0457218899915,0.0504698692252
