target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.000788591706644,-0.000197147926661,0.000262863902215,0,5,-0.00119110205691,0.00065736511796,9,0,0.00905237563252,0.0103995531314,0.00866629427614,0.0102845501741
0.01,baseline,plus_both,tpir_at_rank_k,20,3.3099978485e-05,3.3099978485e-05,4.96499677275e-05,0,0,-6.38005611244e-05,0.000151966099428,9,0,0.00905237563252,0.0103995531314,0.00866629427614,0.0102845501741
0.01,baseline,plus_entropy,fpir,20,-0.000846093185253,-0.000365545114017,-7.39304724979e-05,0,15,-0.00115824406913,0.000205362423605,10,0,0.00905237563252,0.0103995531314,0.00841164487087,0.0100545442597
0.01,baseline,plus_entropy,tpir_at_rank_k,20,-3.3099978485e-05,-1.65499892425e-05,-1.65499892425e-05,0,0,-0.000101041783319,3.4245358912e-05,10,0,0.00905237563252,0.0103995531314,0.00841164487087,0.0100545442597
0.01,baseline,plus_outside,fpir,20,-0.000238220411382,0.000394295853322,0.000928238154695,12,0,-0.000583229283039,0.00125702339489,2,0,0.00905237563252,0.0103995531314,0.00881415522113,0.0107527765
0.01,baseline,plus_outside,tpir_at_rank_k,20,0,0,3.3099978485e-05,0,0,-6.49333043319e-05,0.000137666442393,2,0,0.00905237563252,0.0103995531314,0.00881415522113,0.0107527765
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.000418939344154,-0.000115002957219,0.000796806203588,2,3,-0.000772162712755,0.00109252809358,6,0,0.00925773805612,0.0105227705855,0.00905237563252,0.0103995531314
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.000115849924698,0.000115849924698,0.00013239991394,20,0,4.70299713558e-05,0.00023617473326,6,6,0.00925773805612,0.0105227705855,0.00905237563252,0.0103995531314
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.00118288755997,-0.000472333574292,0.000188933429717,0,16,-0.00153611092857,0.000493075179076,8,0,0.00925773805612,0.0105227705855,0.00870736676086,0.00995597029638
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,8.27499462125e-05,9.9299935455e-05,0.00013239991394,14,0,0,0.000249455294683,8,7,0.00925773805612,0.0105227705855,0.00870736676086,0.00995597029638
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.000361437865545,0.000336794374712,0.00101859762108,12,1,-0.000698232240258,0.00133074850496,10,4,0.00870736676086,0.00995597029638,0.00905237563252,0.0103995531314
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0,1.65499892425e-05,4.96499677275e-05,0,0,-0.000138838129742,0.000169766245044,10,0,0.00870736676086,0.00995597029638,0.00905237563252,0.0103995531314
0.01,global_safe,continuous_fiqa,fpir,20,-0.000993954130249,-0.000308043635408,0.000418939344154,1,8,-0.00138824998357,0.000755733718867,4,0,0.00892094368141,0.0107363475061,0.00905237563252,0.0103995531314
