target_fpir,reference_method,candidate_method,metric,seeds,delta_min,delta_median,delta_max,positive_ci_seeds,negative_ci_seeds,ci_low_min,ci_high_max,both_target_met_seeds,both_met_positive_ci_seeds,reference_fpir_min,reference_fpir_max,candidate_fpir_min,candidate_fpir_max
0.01,baseline,plus_both,fpir,20,-0.000345008871657,0.00015607544194,0.000788591706644,5,1,-0.000632516264704,0.00103502661497,9,3,0.00809127949004,0.0103420516528,0.00824735493198,0.0105227705855
0.01,baseline,plus_both,tpir_at_rank_k,20,-0.00013239991394,-5.79249623488e-05,0.000148949903183,0,0,-0.000306031629413,0.000307810613954,9,0,0.00809127949004,0.0103420516528,0.00824735493198,0.0105227705855
0.01,baseline,plus_entropy,fpir,20,-0.000295721889991,0.000172504435828,0.000796806203588,6,1,-0.00056680028915,0.00104324111191,9,3,0.00809127949004,0.0103420516528,0.00837878688309,0.0104652691069
0.01,baseline,plus_entropy,tpir_at_rank_k,20,-0.000148949903183,-6.619995697e-05,0.000165499892425,2,0,-0.000319707932475,0.000313257220287,9,2,0.00809127949004,0.0103420516528,0.00837878688309,0.0104652691069
0.01,baseline,plus_outside,fpir,20,-0.000123217454163,8.21449694421e-06,0.000221791417493,4,1,-0.000246434908326,0.000320365380824,10,4,0.00809127949004,0.0103420516528,0.0080830649931,0.0103502661497
0.01,baseline,plus_outside,tpir_at_rank_k,20,-8.27499462125e-05,0,4.96499677275e-05,0,1,-0.000163930068946,0.000143139274955,10,0,0.00809127949004,0.0103420516528,0.0080830649931,0.0103502661497
0.01,fiqa_2bin,continuous_fiqa,fpir,20,-0.000558585792206,3.28579877768e-05,0.000928238154695,3,3,-0.000911809160807,0.00125681803246,9,0,0.00807485049616,0.0102024052047,0.00809127949004,0.0103420516528
0.01,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.00052959965576,0.000719924532049,0.00079439948364,20,0,5.1101443899e-05,0.00131476387821,9,9,0.00807485049616,0.0102024052047,0.00809127949004,0.0103420516528
0.01,fiqa_2bin,fiqa_5bin,fpir,20,-0.000369652362489,0.000250542156798,0.000607872773871,3,0,-0.0007803772097,0.00101038312414,9,3,0.00807485049616,0.0102024052047,0.00845271735559,0.0104406256161
0.01,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,0.00026479982788,0.000347549774093,0.000430299720305,5,0,-0.000115937629334,0.000873671686569,9,4,0.00807485049616,0.0102024052047,0.00845271735559,0.0104406256161
0.01,fiqa_5bin,continuous_fiqa,fpir,20,-0.00093645265164,-0.000168397187356,0.000911809160807,4,5,-0.00134738286127,0.00126503252941,6,0,0.00845271735559,0.0104406256161,0.00809127949004,0.0103420516528
0.01,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,9.9299935455e-05,0.000380649752578,0.00052959965576,9,0,-0.000278934488854,0.00104592613612,6,0,0.00845271735559,0.0104406256161,0.00809127949004,0.0103420516528
0.01,global_safe,continuous_fiqa,fpir,20,-0.000657159755537,-2.87507393047e-05,0.000542156798318,2,2,-0.00101058848656,0.000862522179142,9,0,0.00792698955116,0.0103749096405,0.00809127949004,0.0103420516528
0.01,global_safe,continuous_fiqa,tpir_at_rank_k,20,0.000496499677275,0.000678549558943,0.000761299505155,20,0,3.36032937742e-05,0.00129973042475,9,9,0.00792698955116,0.0103749096405,0.00809127949004,0.0103420516528
0.01,global_safe,fiqa_2bin,fpir,20,-0.000607872773871,-4.1072484721e-05,0.000353223368601,1,2,-0.000911809160807,0.000665374252481,12,1,0.00792698955116,0.0103749096405,0.00807485049616,0.0102024052047
0.01,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.000115849924698,-5.79249623488e-05,0,0,0,-0.000345850695684,0.00019924684056,12,0,0.00792698955116,0.0103749096405,0.00807485049616,0.0102024052047
0.01,global_safe,fiqa_5bin,fpir,20,-0.000591443779983,0.000102681211803,0.000961096142472,4,3,-0.00103502661497,0.0014128934744,9,3,0.00792698955116,0.0103749096405,0.00845271735559,0.0104406256161
0.01,global_safe,fiqa_5bin,tpir_at_rank_k,20,0.00019859987091,0.000289624811744,0.00039719974182,2,0,-0.000221173916322,0.000863493807499,9,2,0.00792698955116,0.0103749096405,0.00845271735559,0.0104406256161
0.05,baseline,plus_both,fpir,20,-0.000197147926661,0.000414832095682,0.00124038903858,4,0,-0.000805020700532,0.00184826181245,20,4,0.0376306105014,0.047266215417,0.0379591903792,0.0473565748834
0.05,baseline,plus_both,tpir_at_rank_k,20,-8.27499462125e-05,9.10249408338e-05,0.000215149860152,0,0,-0.000402835501873,0.000580247108969,20,0,0.0376306105014,0.047266215417,0.0379591903792,0.0473565748834
0.05,baseline,plus_entropy,fpir,20,-0.000287507393047,0.000127324702635,0.000985739633305,4,0,-0.000862522179142,0.00152789643162,20,4,0.0376306105014,0.047266215417,0.037992048367,0.0473730038772
0.05,baseline,plus_entropy,tpir_at_rank_k,20,-3.3099978485e-05,3.3099978485e-05,0.000148949903183,0,0,-0.000352735484082,0.000427764581965,20,0,0.0376306105014,0.047266215417,0.037992048367,0.0473730038772
0.05,baseline,plus_outside,fpir,20,-0.000303936386936,6.98232240258e-05,0.00128967602024,4,0,-0.000681803246369,0.00170060622987,20,4,0.0376306105014,0.047266215417,0.0378277584281,0.0472415719261
0.05,baseline,plus_outside,tpir_at_rank_k,20,-1.65499892425e-05,4.13749731063e-05,0.000248249838638,0,0,-0.000223473451886,0.0005321561689,20,0,0.0376306105014,0.047266215417,0.0378277584281,0.0472415719261
0.05,fiqa_2bin,continuous_fiqa,fpir,20,0.000599658276927,0.00168807912203,0.005889794309,19,0,-0.000205362423605,0.00664552802786,20,19,0.036513438917,0.045491884077,0.0376306105014,0.047266215417
0.05,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.00127434917167,0.00163844893501,0.00191979875213,20,0,0.000174715364408,0.0030749252754,20,20,0.036513438917,0.045491884077,0.0376306105014,0.047266215417
0.05,fiqa_2bin,fiqa_5bin,fpir,20,0.00151146743773,0.00271489124006,0.00585693632122,20,0,0.000615881908392,0.00673588749425,20,20,0.036513438917,0.045491884077,0.0411299861996,0.0476769402642
0.05,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,0.000364099763335,0.000612349601973,0.000827499462125,0,0,-0.00100344849074,0.00207450592349,20,0,0.036513438917,0.045491884077,0.0411299861996,0.0476769402642
0.05,fiqa_5bin,continuous_fiqa,fpir,20,-0.00506834461458,-0.00101859762108,0.00238220411382,1,10,-0.00596372478149,0.00314635769205,20,1,0.0411299861996,0.0476769402642,0.0376306105014,0.047266215417
0.05,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0.00072819952667,0.00100127434917,0.0012081492147,18,0,-1.69217241075e-05,0.00230873358494,20,18,0.0411299861996,0.0476769402642,0.0376306105014,0.047266215417
0.05,global_safe,continuous_fiqa,fpir,20,-0.000106788460275,0.00146628770454,0.00322829729907,18,0,-0.000911809160807,0.00391872576723,20,18,0.0362587895117,0.045639745022,0.0376306105014,0.047266215417
0.05,global_safe,continuous_fiqa,tpir_at_rank_k,20,0.0012081492147,0.00154742399417,0.00177084884895,20,0,0.000114408970724,0.00292479891655,20,20,0.0362587895117,0.045639745022,0.0376306105014,0.047266215417
0.05,global_safe,fiqa_2bin,fpir,20,-0.00396760202405,-8.2144969442e-05,0.00025464940527,2,9,-0.00431261089571,0.000673794111848,20,2,0.0362587895117,0.045639745022,0.036513438917,0.045491884077
0.05,global_safe,fiqa_2bin,tpir_at_rank_k,20,-0.000562699634245,-7.44749515913e-05,4.96499677275e-05,0,5,-0.000925030834048,0.000181673923938,20,0,0.0362587895117,0.045639745022,0.036513438917,0.045491884077
0.05,global_safe,fiqa_5bin,fpir,20,-0.000460011828875,0.00218094893869,0.00575014786094,19,0,-0.00147860944996,0.00667838601564,20,19,0.0362587895117,0.045639745022,0.0411299861996,0.0476769402642
0.05,global_safe,fiqa_5bin,tpir_at_rank_k,20,0.00019859987091,0.00052959965576,0.000810949472883,0,0,-0.00125053273281,0.0020628016669,20,0,0.0362587895117,0.045639745022,0.0411299861996,0.0476769402642
0.1,baseline,plus_both,fpir,20,-0.00109252809358,-0.000303936386936,0.00173325885523,4,2,-0.00193040678189,0.00251384142735,20,4,0.0806581454952,0.09540316751,0.0823585463626,0.0952963790497
0.1,baseline,plus_both,tpir_at_rank_k,20,0.00013239991394,0.000306174800986,0.000546149645003,0,0,-0.000391211555601,0.001278722445,20,0,0.0806581454952,0.09540316751,0.0823585463626,0.0952963790497
0.1,baseline,plus_entropy,fpir,20,-0.000837878688309,-0.000275185647631,0.00207826772688,2,3,-0.00165111388579,0.00280935795492,20,2,0.0806581454952,0.09540316751,0.0813892357232,0.0952717355589
0.1,baseline,plus_entropy,tpir_at_rank_k,20,-8.27499462125e-05,0.000115849924698,0.00033099978485,0,0,-0.000483961108441,0.000850907604154,20,0,0.0806581454952,0.09540316751,0.0813892357232,0.0952717355589
0.1,baseline,plus_outside,fpir,20,-0.000920023657751,-0.000369652362489,0.000476440822764,0,8,-0.00154432542551,0.00104324111191,20,0,0.0806581454952,0.09540316751,0.0811345863179,0.0950335151475
0.1,baseline,plus_outside,tpir_at_rank_k,20,-6.619995697e-05,0.00019859987091,0.00039719974182,4,0,-0.000318808022361,0.000808215530939,20,4,0.0806581454952,0.09540316751,0.0811345863179,0.0950335151475
0.1,fiqa_2bin,continuous_fiqa,fpir,20,0.00222612867188,0.00365955838864,0.00708911086285,20,0,0.00116625320365,0.00820648780969,20,20,0.0781116514425,0.0917887888546,0.0806581454952,0.09540316751
0.1,fiqa_2bin,continuous_fiqa,tpir_at_rank_k,20,0.00147294904258,0.00170464889198,0.00201909868759,20,0,6.53021807239e-05,0.00339671297124,20,20,0.0781116514425,0.0917887888546,0.0806581454952,0.09540316751
0.1,fiqa_2bin,fiqa_5bin,fpir,20,0.000829664191365,0.00366366563712,0.00761483866728,19,0,-0.000378072221857,0.00887186206217,20,19,0.0781116514425,0.0917887888546,0.0855622001709,0.0944913583492
0.1,fiqa_2bin,fiqa_5bin,tpir_at_rank_k,20,0.000430299720305,0.000893699419095,0.00115849924698,0,0,-0.00144588010167,0.00264632635491,20,0,0.0781116514425,0.0917887888546,0.0855622001709,0.0944913583492
0.1,fiqa_5bin,continuous_fiqa,fpir,20,-0.00490405467569,0.000607872773871,0.00336794374712,7,4,-0.00607051324177,0.00441139022146,20,7,0.0855622001709,0.0944913583492,0.0806581454952,0.09540316751
0.1,fiqa_5bin,continuous_fiqa,tpir_at_rank_k,20,0.000579249623488,0.000844049451368,0.00129089916092,10,0,-0.000205640234812,0.00240080918629,20,10,0.0855622001709,0.0944913583492,0.0806581454952,0.09540316751
0.1,global_safe,continuous_fiqa,fpir,20,0.0018400473155,0.00352401918906,0.00563514490373,20,0,0.000763537490964,0.00665374252481,20,20,0.0772819872511,0.0927663139909,0.0806581454952,0.09540316751
0.1,global_safe,continuous_fiqa,tpir_at_rank_k,20,0.00129089916092,0.00165499892425,0.0022176985585,16,0,-0.000189210233049,0.00360273533202,20,16,0.0772819872511,0.0927663139909,0.0806581454952,0.09540316751
