target_fpir,method,conditions,all_seeds_met_conditions,met_condition_seeds,condition_seeds,fpir_min,fpir_max
0.01,continuous_fiqa,12,5,198,240,0.00225771385567,0.0112885692784
0.01,fiqa_2bin,12,10,227,240,0.00309390417259,0.0105359979931
0.01,fiqa_5bin,12,12,240,240,0.00242495191906,0.00978342670792
0.01,global_safe,12,9,210,240,0.00292666610921,0.0107868550882
0.01,plus_both,12,6,198,240,0.00234133288737,0.0121247595953
0.01,plus_entropy,12,6,203,240,0.00234133288737,0.0117066644368
0.01,plus_outside,12,5,195,240,0.00275942804582,0.0128773308805
0.05,continuous_fiqa,12,7,216,240,0.03361485074,0.0540178944728
0.05,fiqa_2bin,12,11,237,240,0.0316916130111,0.0511748473953
0.05,fiqa_5bin,12,12,240,240,0.0304373275357,0.0467430387156
0.05,global_safe,12,10,229,240,0.0329458984865,0.051509323522
0.05,plus_both,12,5,205,240,0.033363993645,0.053683418346
0.05,plus_entropy,12,8,213,240,0.0326950413914,0.0531817041559
0.05,plus_outside,12,6,210,240,0.03361485074,0.0545196086629
0.1,continuous_fiqa,12,11,231,240,0.0677314156702,0.104022075424
0.1,fiqa_2bin,12,11,235,240,0.0694874153357,0.103603980266
0.1,fiqa_5bin,12,12,240,240,0.0667279872899,0.0983359812693
0.1,global_safe,12,11,230,240,0.0689857011456,0.105109122836
0.1,plus_both,12,10,235,240,0.0684003679237,0.102767789949
0.1,plus_entropy,12,11,237,240,0.0713270340329,0.10134626641
0.1,plus_outside,12,10,233,240,0.0698218914625,0.104272932519
0.2,continuous_fiqa,12,10,228,240,0.152855589932,0.204950246676
0.2,fiqa_2bin,12,10,235,240,0.15126682833,0.20118739025
0.2,fiqa_5bin,12,12,240,240,0.150012542855,0.196421105444
0.2,global_safe,12,10,228,240,0.152855589932,0.203779580232
0.2,plus_both,12,10,229,240,0.154109875408,0.205702817961
0.2,plus_entropy,12,10,229,240,0.154862446693,0.204950246676
0.2,plus_outside,12,10,230,240,0.152771970901,0.205953675056
0.3,continuous_fiqa,12,11,231,240,0.245839953173,0.308386988879
0.3,fiqa_2bin,12,11,231,240,0.241659001589,0.305711179865
0.3,fiqa_5bin,12,11,237,240,0.242077096747,0.304206037294
0.3,global_safe,12,11,229,240,0.243331382223,0.307550798562
0.3,plus_both,12,10,225,240,0.241909858684,0.310393845639
0.3,plus_entropy,12,11,231,240,0.244585667698,0.308219750815
0.3,plus_outside,12,10,228,240,0.246425286395,0.309223179196
