method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,fallback_count_min,fallback_count_max,fallback_fraction_max,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
baseline,0.01,1,1,0.009257738056121442,0.009257738056121442,0.009257738056121442,0.0015060490210681364,0.0015060490210681364,0.0015060490210681364,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.05,1,1,0.046978708023920616,0.046978708023920616,0.046978708023920616,0.006719295632457839,0.006719295632457839,0.006719295632457839,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.1,1,1,0.09520601958336071,0.09520601958336071,0.09520601958336071,0.012528341856577793,0.012528341856577793,0.012528341856577793,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.2,1,1,0.19242459091805217,0.19242459091805217,0.19242459091805217,0.02403058438012015,0.02403058438012015,0.02403058438012015,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.3,1,1,0.2893556548596964,0.2893556548596964,0.2893556548596964,0.034523277559869586,0.034523277559869586,0.034523277559869586,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.01,1,1,0.009758822369718078,0.009758822369718078,0.009758822369718078,0.0016218989457656853,0.0016218989457656853,0.0016218989457656853,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.05,1,1,0.047356574883354145,0.047356574883354145,0.047356574883354145,0.006735845621700346,0.006735845621700346,0.006735845621700346,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.1,1,1,0.09491029769336926,0.09491029769336926,0.09491029769336926,0.012925541598397962,0.012925541598397962,0.012925541598397962,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.2,1,1,0.19295853321942563,0.19295853321942563,0.19295853321942563,0.02326928487496483,0.02326928487496483,0.02326928487496483,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.3,1,1,0.2904235394624433,0.2904235394624433,0.2904235394624433,0.03422537775350446,0.03422537775350446,0.03422537775350446,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.01,1,1,0.009890254320825393,0.009890254320825393,0.009890254320825393,0.0016549989242506992,0.0016549989242506992,0.0016549989242506992,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.05,1,1,0.046855490569757505,0.046855490569757505,0.046855490569757505,0.006785495589427867,0.006785495589427867,0.006785495589427867,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.1,1,1,0.09527173555891437,0.09527173555891437,0.09527173555891437,0.012693841749002862,0.012693841749002862,0.012693841749002862,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.2,1,1,0.19316389564303083,0.19316389564303083,0.19316389564303083,0.023335484831934858,0.023335484831934858,0.023335484831934858,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.3,1,1,0.2907849773279884,0.2907849773279884,0.2907849773279884,0.034026777882594374,0.034026777882594374,0.034026777882594374,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.01,1,1,0.009413813498061379,0.009413813498061379,0.009413813498061379,0.0015556989887956572,0.0015556989887956572,0.0015556989887956572,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.05,1,1,0.04686370506670171,0.04686370506670171,0.04686370506670171,0.006868245535640402,0.006868245535640402,0.006868245535640402,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.1,1,1,0.09503351514753236,0.09503351514753236,0.09503351514753236,0.012859341641427933,0.012859341641427933,0.012859341641427933,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.2,1,1,0.19139777880002629,0.19139777880002629,0.19139777880002629,0.02394783443390762,0.02394783443390762,0.02394783443390762,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.3,1,1,0.28964316225274367,0.28964316225274367,0.28964316225274367,0.03498667725865978,0.03498667725865978,0.03498667725865978,11,11,6.0386804934150937e-05,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
