reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,partition_seed,target_fpir,reference_method,candidate_method,metric,resampling_unit,resamples,bootstrap_seed,reference_realized_fpir,candidate_realized_fpir,candidate_fallback_query_count,candidate_target_met,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
1294,1339,1092,121736,0.00036965236248932116,1.6428993888414273e-05,0.0006982322402576066,8972,0.01,baseline,plus_outside,fpir,query,2000,8972,0.010629559045804034,0.010999211408293356,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
48,40,37,60423,-0.00013239991394005594,-0.00026269224664020015,-1.675778367884916e-05,8972,0.01,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010629559045804034,0.010999211408293356,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1294,1285,1160,121736,-7.393047249786423e-05,-0.0003367943747124926,0.00018071893277255702,8972,0.01,baseline,plus_entropy,fpir,query,2000,8972,0.010629559045804034,0.01055562857330617,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
48,51,46,60423,4.964996772752098e-05,-3.299849486688362e-05,0.00013607680328831299,8972,0.01,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010629559045804034,0.01055562857330617,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1294,1348,1021,121736,0.0004435828349871854,3.2857987776828546e-05,0.0008296641913649208,8972,0.01,baseline,plus_both,fpir,query,2000,8972,0.010629559045804034,0.011073141880791221,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
48,44,38,60423,-6.619995697002797e-05,-0.0002026569649788629,5.4534950217664925e-05,8972,0.01,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.010629559045804034,0.011073141880791221,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6273,6220,5536,121736,-0.00043536833804297826,-0.0010596701058027207,0.0001971479266609713,8972,0.05,baseline,plus_outside,fpir,query,2000,8972,0.05152953933101137,0.05109417099296839,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
218,221,182,60423,4.964996772752098e-05,-0.00027893648097899424,0.0003819579653256907,8972,0.05,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.05152953933101137,0.05109417099296839,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6273,6292,5821,121736,0.0001560754419399356,-0.00036143786554511403,0.0006409361240717607,8972,0.05,baseline,plus_entropy,fpir,query,2000,8972,0.05152953933101137,0.051685614772951305,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
218,234,210,60423,0.0002647998278801119,6.738832174468757e-05,0.00047899730091516187,8972,0.05,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.05152953933101137,0.051685614772951305,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
6273,6197,5355,121736,-0.0006243017677597423,-0.001314319511073142,2.464349083262141e-05,8972,0.05,baseline,plus_both,fpir,query,2000,8972,0.05152953933101137,0.050905237563251625,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
218,226,186,60423,0.00013239991394005594,-0.00022384078771889643,0.0005303934238370409,8972,0.05,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.05152953933101137,0.050905237563251625,149,False,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
11872,12013,10784,121736,0.0011582440691332062,0.00037766149700992345,0.0019139777880002628,8972,0.1,baseline,plus_outside,fpir,query,2000,8972,0.09752250772162713,0.09868075179076033,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
523,538,452,60423,0.00024824983863760486,-0.00029262642380677146,0.0008515553139657653,8972,0.1,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.09752250772162713,0.09868075179076033,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
11872,11991,11305,121736,0.0009775251363606493,0.0003778668594335283,0.001560754419399356,8972,0.1,baseline,plus_entropy,fpir,query,2000,8972,0.09752250772162713,0.09850003285798778,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
523,534,487,60423,0.0001820498816675769,-0.00011687852028298972,0.0004904014812996212,8972,0.1,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.09752250772162713,0.09850003285798778,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
11872,12004,10545,121736,0.001084313596635342,0.00023801504895840214,0.001922397647368074,8972,0.1,baseline,plus_both,fpir,query,2000,8972,0.09752250772162713,0.09860682131826247,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
523,558,456,60423,0.0005792496234877447,-6.787786256947045e-05,0.0013100268551923622,8972,0.1,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.09752250772162713,0.09860682131826247,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
23695,23661,21904,121736,-0.0002792928961030427,-0.0011828875599658277,0.0006900177433133995,8972,0.2,baseline,plus_outside,fpir,query,2000,8972,0.1946425050929881,0.19436321219688507,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1301,1276,1177,60423,-0.0004137497310626748,-0.0009833384086177857,0.00014517284963785614,8972,0.2,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.1946425050929881,0.19436321219688507,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
23695,23645,23135,121736,-0.00041072484721035683,-0.000961096142472235,0.00010678846027469278,8972,0.2,baseline,plus_entropy,fpir,query,2000,8972,0.1946425050929881,0.19423178024577775,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1301,1297,1267,60423,-6.619995697002797e-05,-0.0003336906499554722,0.0001881758023893775,8972,0.2,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.1946425050929881,0.19423178024577775,149,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
