partition_seed,target_fpir,method,model_uid,model_json,faithfulness_status,strong_faithfulness_pass,faithfulness_policy
8972,0.01,baseline,continuous-threshold-85e7077d6892978bcac91385,"{""method"": ""baseline"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5580592], ""scales"": [0.24647189000000003], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.6189861841194368, 0.2308291801446636, -0.15472043140256733, -0.6075133201322633], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0036236857806228318, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 15, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.01,plus_outside,continuous-threshold-97f45164937a41ce68b4476c,"{""method"": ""plus_outside"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.5580592, 0.5568980993570183], ""scales"": [0.24647189000000003, 0.18259225028048398], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.6120051647841191, 0.2355728200090624, -0.1543948245322433, -0.6072812911720512, 0.05897096506838093], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0037620197697843527, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.01,plus_entropy,continuous-threshold-c1b275822df04c396aef15d1,"{""method"": ""plus_entropy"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.5580592, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.602315725369771, 0.22372409698426304, -0.15357350968391267, -0.5982808388914799, -0.04718684730003331], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.002091953204822139, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 18, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.01,plus_both,continuous-threshold-3a11823fc915de160cac7d0e,"{""method"": ""plus_both"", ""target_fpir"": 0.01, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.5580592, 0.5568980993570183, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.18259225028048398, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.5971362498935269, 0.22706276482470802, -0.1525010169556299, -0.5983420392613648, 0.04989945898328632, -0.042036010323174285], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0027299124397347496, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 20, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.05,baseline,continuous-threshold-353a6ca1c995478a09a533ab,"{""method"": ""baseline"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5580592], ""scales"": [0.24647189000000003], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.3422895502115426, 0.27563745197230044, -0.25076554650199323, -0.6724798035032947], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0025677885486621865, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 19, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.05,plus_outside,continuous-threshold-75a89261291e4d4130be3a0f,"{""method"": ""plus_outside"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.5580592, 0.5568980993570183], ""scales"": [0.24647189000000003, 0.18259225028048398], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.3256956430915692, 0.26971792329992395, -0.25205622329201643, -0.6330632712093368, 0.09249548621469662], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0016612488146982018, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 25, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.05,plus_entropy,continuous-threshold-890fc19bb5842fb938b81065,"{""method"": ""plus_entropy"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""saliency_entropy""], ""centers"": [0.5580592, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.3351948962203302, 0.2690742620657047, -0.24943645052572683, -0.6625451108082375, -0.024621304994108358], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.002653942886828242, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 19, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.05,plus_both,continuous-threshold-e858da60019fe9191371a5c3,"{""method"": ""plus_both"", ""target_fpir"": 0.05, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention"", ""saliency_entropy""], ""centers"": [0.5580592, 0.5568980993570183, 0.9157027590399548], ""scales"": [0.24647189000000003, 0.18259225028048398, 0.04414876189165362], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.3201322083603768, 0.26733819207468595, -0.2515703599077083, -0.6288688297657461, 0.0920554079890318, -0.019238320506949354], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0017317954852946738, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 24, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.1,baseline,continuous-threshold-4cecd6da83e1fb95accc53c3,"{""method"": ""baseline"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score""], ""centers"": [0.5580592], ""scales"": [0.24647189000000003], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.1869456733373582, 0.30806492198049895, -0.3616440976022847, -0.6362093082195477], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 1.6537372748537393e-05, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 16, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
8972,0.1,plus_outside,continuous-threshold-9a64c0222211e28e0b8685e7,"{""method"": ""plus_outside"", ""target_fpir"": 0.1, ""score_space"": ""negative_squared_l2_adc"", ""features"": [""fiqa_score"", ""outside_face_attention""], ""centers"": [0.5580592, 0.5568980993570183], ""scales"": [0.24647189000000003, 0.18259225028048398], ""quality_bounds"": [-2.6572579940049144, 5.70552650040538], ""quality_knots"": [-0.26936580881495237, 0.3261804013431309], ""coefficients"": [1.16667317202037, 0.2931276930727486, -0.3684882394553917, -0.5666234231966858, 0.10920321678223785], ""score_center"": -0.6783416271209717, ""score_scale"": 0.21282836297659413, ""safety_offset"": 0.0, ""settings"": {""partition_seed"": 8972, ""safety_fraction"": 0.3, ""fit_non_mated_count"": 73447, ""safety_non_mated_count"": 25378, ""knot_quantiles"": [0.3333333333333333, 0.6666666666666666], ""smoothing"": 0.01, ""ridge"": 0.001, ""max_iterations"": 2000, ""optimizer_iterations"": 20, ""optimizer_success"": true, ""margin_slope_cap"": 0.95, ""optimizer_blas_threads"": 1, ""fit_objective"": ""smoothed_pinball_plus_ridge"", ""fit_features_source"": ""fit_non_mated_only"", ""safety_rule"": ""max(0,heldout_non_mated_residual_quantile)"", ""formal_fpir_guarantee"": false, ""threshold_fit_on_test"": false}}",failed,False,diagnostic_only
