method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max,fallback_count_min,fallback_count_max,fallback_fraction_max,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
baseline,0.01,20,0,0.010399553131366234,0.012991226917263586,0.013677137412104882,0.0010260993330354336,0.0014232990748556014,0.0015391489995531503,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.05,20,3,0.045894394427285275,0.052774035618058754,0.05394460143260827,0.006984095460337951,0.008117769723449679,0.008291544610496002,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.1,20,20,0.08941479923769469,0.0969187421962279,0.09887789971742131,0.013637191135825762,0.014563990533406153,0.014894990318256293,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.2,20,20,0.17640632187684827,0.18609532102254056,0.18854734836038642,0.026000033099978486,0.02721645730930275,0.02757228207801665,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
baseline,0.3,20,20,0.26510645988039694,0.278196260760991,0.279941841361635,0.0376181255482184,0.03932277444019661,0.03973652417125929,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.01,20,0,0.010563843070250378,0.013061050141289348,0.013759282381546955,0.0010426493222779405,0.0013405491286430664,0.0014563990533406153,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.05,20,4,0.046641913649208125,0.052194913583492146,0.05350923309456529,0.007166145342005528,0.007985369809509625,0.008274994621253496,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.1,20,20,0.08913550634159165,0.09650801734901754,0.09877111125714662,0.013637191135825762,0.014506065571057379,0.014828790361286264,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.2,20,20,0.17699776565683117,0.18780393638693565,0.189919169350069,0.02576833325058339,0.02719163232543899,0.027522632110289127,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_both,0.3,20,20,0.2644821581126372,0.277522672011566,0.2802786357363475,0.03746917564503583,0.03907452460155901,0.03935587441868163,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.01,20,0,0.010481698100808307,0.01328284155878294,0.013931786817375304,0.0009929993545504195,0.0013570991178855733,0.0014563990533406153,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.05,20,3,0.046034040875336794,0.05226884405599001,0.05343530262206742,0.006950995481852937,0.007894344868675835,0.008059844761100905,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.1,20,20,0.08962837615824407,0.0966928435302622,0.0986396793060393,0.013620641146583255,0.01439021564635983,0.01474604041507373,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.2,20,20,0.17643096536768088,0.18609532102254056,0.1885391338634422,0.0260331330784635,0.02724128229316651,0.02757228207801665,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_entropy,0.3,20,20,0.2640221462837616,0.2780648288098837,0.2797611224288625,0.037568475580490875,0.0394137993810304,0.039769624149744304,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.01,20,0,0.01049812709469672,0.012761221002825788,0.013504632976276533,0.0010922992900054614,0.0014729490425831222,0.0016218989457656853,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.05,20,4,0.04601761188144838,0.05234277452848787,0.05354209108234212,0.006950995481852937,0.008109494728828427,0.008407394535193551,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.1,20,20,0.0888479989485444,0.09654087533679437,0.09853289084576461,0.013637191135825762,0.014563990533406153,0.0149115403074988,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.2,20,20,0.17718669908654794,0.18780804363540776,0.18994381284090162,0.02575178326134088,0.027224732303924006,0.027539182099531635,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
plus_outside,0.3,20,20,0.26501610041401064,0.27745695603601234,0.28019649076690545,0.03730367575261076,0.03909107459080152,0.03938897439716664,0,0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
