regime,seed,target_fpir,method,reference_split,test_minus_reference,mixture_component,within_group_component
full_calibration,0,0.01,global_empirical,safety,0.004192026342867765,0.0,0.004192026342867765
full_calibration,0,0.01,global_safe,safety,0.0038688477923304494,0.0,0.0038688477923304494
full_calibration,0,0.01,fiqa_s,safety,0.003976919080754232,1.733860258158579e-06,0.003975185220496074
full_calibration,0,0.01,fiqa_l,safety,0.0036702595289835327,-7.355562487940021e-06,0.0036776150914714723
full_calibration,0,0.05,global_empirical,safety,0.00034719071404898383,0.0,0.00034719071404898383
full_calibration,0,0.05,global_safe,safety,0.0008164523546028285,0.0,0.0008164523546028285
full_calibration,0,0.05,fiqa_s,safety,0.0007822215337987062,-3.736615494197824e-08,0.0007822588999536436
full_calibration,0,0.05,fiqa_l,safety,0.0016266268689510352,-3.443609013027368e-05,0.0016610629590813105
full_calibration,0,0.1,global_empirical,safety,-0.009082332773414026,0.0,-0.009082332773414026
full_calibration,0,0.1,global_safe,safety,-0.008577714992443822,0.0,-0.008577714992443822
full_calibration,0,0.1,fiqa_s,safety,-0.008628374807136352,5.388499885254335e-09,-0.008628380195636241
full_calibration,0,0.1,fiqa_l,safety,-0.007855266784525042,-4.5605794997761085e-05,-0.007809660989527286
full_calibration,1,0.01,global_empirical,safety,0.0044320005031793334,0.0,0.0044320005031793334
full_calibration,1,0.01,global_safe,safety,0.004136146034857331,0.0,0.004136146034857331
full_calibration,1,0.01,fiqa_s,safety,0.004171159971954053,9.374032096421965e-06,0.004161785939857632
full_calibration,1,0.01,fiqa_l,safety,0.00446620740494906,9.770503243323623e-07,0.004465230354624728
full_calibration,1,0.05,global_empirical,safety,-0.002379144093118485,0.0,-0.002379144093118485
full_calibration,1,0.05,global_safe,safety,-0.0008838057965805182,0.0,-0.0008838057965805182
full_calibration,1,0.05,fiqa_s,safety,-2.801662205952765e-05,9.490202179628093e-07,-2.8965642277490027e-05
full_calibration,1,0.05,fiqa_l,safety,-0.0006933908745403103,9.775893865802184e-07,-0.0006943684639268868
full_calibration,1,0.1,global_empirical,safety,-0.0129870466096689,0.0,-0.0129870466096689
full_calibration,1,0.1,global_safe,safety,-0.011748225380372707,0.0,-0.011748225380372707
full_calibration,1,0.1,fiqa_s,safety,-0.010440638873920341,4.1106337125016226e-07,-0.010441049937291577
full_calibration,1,0.1,fiqa_l,safety,-0.011138871114177912,6.503786021004512e-07,-0.011139521492780028
full_calibration,2,0.01,global_empirical,safety,0.006668604324283005,0.0,0.006668604324283005
full_calibration,2,0.01,global_safe,safety,0.006281594105438067,0.0,0.006281594105438067
full_calibration,2,0.01,fiqa_s,safety,0.006026567368433216,1.3642442171294197e-05,0.006012924926261924
full_calibration,2,0.01,fiqa_l,safety,0.0064808899892686974,1.2552627759920975e-05,0.006468337361508777
full_calibration,2,0.05,global_empirical,safety,0.008447551937687883,0.0,0.008447551937687883
full_calibration,2,0.05,global_safe,safety,0.008399396951225921,0.0,0.008399396951225921
full_calibration,2,0.05,fiqa_s,safety,0.009384120622564412,2.472099930371643e-05,0.009359399623260697
full_calibration,2,0.05,fiqa_l,safety,0.007932476819607744,-9.437019839438022e-05,0.008026847018002128
full_calibration,2,0.1,global_empirical,safety,0.004443029569423287,0.0,0.004443029569423287
full_calibration,2,0.1,global_safe,safety,0.0039546587998462585,0.0,0.0039546587998462585
full_calibration,2,0.1,fiqa_s,safety,0.005821700696087034,-5.553352509863252e-07,0.005822256031338027
full_calibration,2,0.1,fiqa_l,safety,0.00447199790833297,-0.0001277445224143125,0.0045997424307472785
full_calibration,3,0.01,global_empirical,safety,0.006353604251047687,0.0,0.006353604251047687
full_calibration,3,0.01,global_safe,safety,0.0060872013425103365,0.0,0.0060872013425103365
