compression_profile,search_mode,threshold_policy,target_fpir,reference_profile,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m128_b8,121736,464,356,196,121112,160,268,-0.0008871656699743708,-0.0012239600446868634,-0.0005668002891502925
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1745,1788,1197,119400,591,548,0.0003532233686009069,-0.00022199677991719752,0.0009202290201748033
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m128_b8,121736,3190,1690,1480,118336,210,1710,-0.012321745416310705,-0.013044621147400933,-0.011582440691332062
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m128_b8,121736,6374,6233,4994,114123,1239,1380,-0.0011582440691332062,-0.0020291861076427676,-0.00030373102451206
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m128_b8,121736,7073,4068,3780,114375,288,3293,-0.024684563317342447,-0.025604997699940856,-0.02369882368403759
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11488,11372,9487,108363,1885,2001,-0.0009528816455280279,-0.0019386212788328843,2.464349083262141e-05
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m128_b8,121736,15971,11025,10462,105202,563,5509,-0.0406289018860485,-0.04188571991851219,-0.03933060064401656
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m128_b8,121736,21852,21595,18766,97055,2829,3086,-0.002111125714661234,-0.00332687126240389,-0.0008296641913649208
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m128_b8,121736,26293,20656,19605,94392,1051,6688,-0.04630511927449563,-0.04774286160215549,-0.04480987546822633
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m128_b8,121736,32653,32463,28963,85583,3500,3690,-0.001560754419399356,-0.0028915029243609123,-0.00015587007951633152
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m64_b8,121736,356,2854,356,118882,2498,0,0.020519813366629426,0.019731221659985542,0.021341468423473745
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1788,1625,1157,119480,468,631,-0.0013389630019057634,-0.0018811198002234343,-0.0008050207005322994
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m64_b8,121736,1690,7994,1685,113737,6309,5,0.05178418873628179,0.05047808372215286,0.05308228461589012
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m64_b8,121736,6233,6345,4755,113913,1590,1478,0.0009200236577511993,-4.949234408884764e-05,0.0018402526779260026
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m64_b8,121736,4068,13767,4043,107944,9724,25,0.07967240586186503,0.07810323158309784,0.08123336564368798
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m64_b8,121736,11372,11073,8794,108085,2279,2578,-0.002456134586317934,-0.0036067802457777475,-0.0012730416639285022
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m64_b8,121736,11025,26585,10937,95063,15648,88,0.12781757245186304,0.1259364526516396,0.12975680981796675
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m64_b8,121736,21595,21131,17564,96574,3567,4031,-0.0038115265821121115,-0.005183347571794703,-0.0023898025234934646
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m64_b8,121736,20656,41114,20459,80425,20655,197,0.16805217848458961,0.16594906190444897,0.17025386902806072
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m64_b8,121736,32463,31788,27333,84818,4455,5130,-0.005544785437339817,-0.007154826838404416,-0.003934127949004406
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m32_b8,121736,2854,14779,2852,106955,11927,2,0.0979578760596701,0.09624905533285141,0.09970776927120983
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m32_b8,121736,1625,1482,1095,119724,387,530,-0.0011746730630216205,-0.0016593283827298416,-0.0006653742524807781
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m32_b8,121736,7994,30852,7977,90867,22875,17,0.18776697115068675,0.18543384865610832,0.19000151968193466
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m32_b8,121736,6345,5907,4528,114012,1379,1817,-0.003597949661562726,-0.004575474797923375,-0.002751856476309391
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m32_b8,121736,13767,44436,13745,77278,30691,22,0.25193040678188866,0.24937508214496945,0.25437052309916536
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m32_b8,121736,11073,11080,8521,108104,2559,2552,5.7501478609449955e-05,-0.0011504402970362088,0.0012239600446868634
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m32_b8,121736,26585,64837,26555,56869,38282,30,0.3142209371098114,0.31168245219162777,0.31679310146546624
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m32_b8,121736,21131,21222,16767,96150,4455,4364,0.0007475192219228494,-0.0007477245843464542,0.0023004698692252064
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m32_b8,121736,41114,79288,41042,42376,38246,72,0.31358020634816325,0.31089406584740753,0.31615175461654726
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m32_b8,121736,31788,31881,26160,84227,5721,5628,0.0007639482158112637,-0.0010021686271932707,0.0025549139120720236
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m16_b8,121736,14779,47960,14688,73685,33272,91,0.272565223105737,0.270010309193665,0.27512835151475323
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m16_b8,121736,1482,1288,837,119803,451,645,-0.0015936124071761846,-0.0021439837024380625,-0.001076099099691135
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m16_b8,121736,30852,71571,30724,50037,40847,128,0.3344861010711704,0.33193057107182755,0.33715581257803773
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m16_b8,121736,5907,6019,3758,113568,2261,2149,0.0009200236577511993,-0.0001727097982519547,0.0020127571137543527
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m16_b8,121736,44436,83943,44274,37631,39669,162,0.32453013077479137,0.3219672077281987,0.32711831339948744
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m16_b8,121736,11080,11363,7829,107122,3534,3251,0.00232470263521062,0.0010019632647696659,0.0036720854964841943
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m16_b8,121736,64837,96337,64655,25217,31682,182,0.2587566537425248,0.25630031379378326,0.2611472777157127
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m16_b8,121736,21222,21792,16053,94775,5739,5169,0.004682263258198068,0.0029900768876913978,0.006366440494184135
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m16_b8,121736,79288,103154,79106,18400,24048,182,0.19604718407044752,0.19385370802392063,0.19824045475455082
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m16_b8,121736,31881,32496,25112,82471,7384,6769,0.005051915620687389,0.002998086022212,0.00709753072221857
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m128_b8,121736,852,397,342,120829,55,510,-0.003737596109614247,-0.0041318919629361895,-0.003384167378589736
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1784,1734,1412,119630,322,372,-0.00041072484721035683,-0.000846093185253335,-8.214496944207137e-06
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m128_b8,121736,4121,1931,1899,117583,32,2222,-0.01798974830781363,-0.0187539018860485,-0.01725023822041138
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m128_b8,121736,6490,6250,5613,114609,637,877,-0.001971479266609713,-0.002620424525202077,-0.0013389630019057634
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m128_b8,121736,8254,4321,4294,113455,27,3960,-0.032307616481566666,-0.03333463396201617,-0.03135473483603864
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11597,11470,10461,109130,1009,1136,-0.0010432411119143065,-0.0018236183216139843,-0.00032036538082407835
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m128_b8,121736,17195,10460,10441,104522,19,6754,-0.055324636919235066,-0.05666421600841165,-0.054067818886771375
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m128_b8,121736,21942,21840,20291,98245,1549,1651,-0.0008378786883091279,-0.0017172405861865011,9.035946638627851e-05
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m128_b8,121736,27197,18414,18380,94505,34,8817,-0.07214792666097128,-0.07363475060787278,-0.07064446835775777
