compression_profile,search_mode,threshold_policy,target_fpir,side,quantile,score,threshold,score_space
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.5,0.6585643887519836,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.95,0.8029140532016754,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.99,0.8451429277658461,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.999,0.882340480685234,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,1.0,0.9121079444885254,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.5,0.648398756980896,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.95,0.7823209464550018,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.99,0.8204812318086624,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.999,0.8532467564940452,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,1.0,0.8851999044418335,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.5,0.6585643887519836,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.95,0.8029140532016754,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.99,0.8451429277658461,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.999,0.882340480685234,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,1.0,0.9121079444885254,0.8364372253417969,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.5,0.648398756980896,0.8141366243362427,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.95,0.7823209464550018,0.8141366243362427,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.99,0.8204812318086624,0.8141366243362427,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.999,0.8532467564940452,0.8141366243362427,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,1.0,0.8851999044418335,0.8141366243362427,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.5,0.6585643887519836,0.800525426864624,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.95,0.8029140532016754,0.800525426864624,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.99,0.8451429277658461,0.800525426864624,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.999,0.882340480685234,0.800525426864624,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,1.0,0.9121079444885254,0.800525426864624,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.5,0.648398756980896,0.800525426864624,cosine_similarity
