compression_profile,search_mode,threshold_policy,target_fpir,protocol_uid,model_uid,gallery_template_count,top_k,origin_score_space,compressed_score_space,origin_threshold,origin_fpir,origin_fpir_ci_low,origin_fpir_ci_high,origin_tpir20_count,origin_tpir20,origin_rank20,compressed_threshold,compressed_fpir,compressed_fpir_ci_low,compressed_fpir_ci_high,compressed_tpir20_count,compressed_tpir20,compressed_rank20,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high,mated_count,target_met_on_test,new_fa_same_winner,new_fa_changed_winner,score_effect_at_origin_threshold,threshold_effect_after_score_change
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.8176113367080688,0.002028980745219163,0.001791433720187073,0.0022979543786884487,30,0.0004964996772752097,0.1761084355295169,121736,1247,247,247,120489,0,1000,-0.008214496944207136,-0.008715581257803771,-0.007705198133666294,60423,True,0,0,-0.008214496944207138,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.8176113367080688,0.0102434776894263,0.009693107388791034,0.010824756187247923,146,0.002416298429406021,0.1777799844430101,0.7943065166473389,0.009372741013340343,0.00884672348738053,0.009929721688079101,118,0.001952898730615825,0.1761084355295169,121736,1247,1141,970,120318,171,277,-0.0008707366760859565,-0.0012239600446868634,-0.000542156798317671,60423,True,130,41,-0.008214496944207138,0.00734376026812118
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7799594402313232,0.01994479858053493,0.019174434981537664,0.020745458133031306,197,0.0032603478807738777,0.1761084355295169,121736,5735,2428,2426,115999,2,3309,-0.027165341394493,-0.028110008543076822,-0.02619603075507656,60423,True,1,1,-0.027165341394493,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7799594402313232,0.04711013997502793,0.04593417146768124,0.0483146900498672,453,0.007497145126855668,0.1777799844430101,0.7584589123725891,0.0465022672011566,0.045333643477285405,0.047699510854952935,400,0.006619995697002797,0.1761084355295169,121736,5735,5661,5034,115374,627,701,-0.0006078727738713281,-0.0012075310507984492,-8.214496944207137e-06,60423,True,479,148,-0.027165341394493,0.02655746862062167
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7557207345962524,0.050831307090753765,0.04961153001497282,0.05207943089373066,432,0.007149595352763021,0.1761084355295169,121736,11165,6188,6178,110561,10,4987,-0.04088355129131892,-0.04203358086350792,-0.0398238811855162,60423,True,8,2,-0.04088355129131891,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7557207345962524,0.09171485838207268,0.09010639311666495,0.09334909024188094,794,0.013140691458550551,0.1777799844430101,0.7358126640319824,0.09045804034960898,0.08885964756310114,0.09208227904743874,743,0.012296642007182695,0.1761084355295169,121736,11165,11012,10032,109591,980,1133,-0.001256818032463692,-0.002028980745219163,-0.00054996057041467,60423,True,714,266,-0.04088355129131891,0.03962673325885522
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7210968732833862,0.1286800946310048,0.12681082943778654,0.13057279356799484,1010,0.016715489134932062,0.1761084355295169,121736,22313,15665,15622,99380,43,6691,-0.054609975685089046,-0.05592429519616219,-0.05319667148583821,60423,True,33,10,-0.054609975685089046,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.7210968732833862,0.18329007031609384,0.18112666378656414,0.18547346419139973,1502,0.024858083842245502,0.1777799844430101,0.7038447856903076,0.18218111322862587,0.18002285565249632,0.1843594281360505,1414,0.02340168478890489,0.1761084355295169,121736,22313,22178,20661,97906,1517,1652,-0.0011089570874679635,-0.0020207662482749555,-0.00019673720181376318,60423,True,1083,434,-0.054609975685089046,0.053501018597621075
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.6924573183059692,0.22055102845501742,0.21823077270243516,0.22288892003994207,1716,0.028399781540142,0.1761084355295169,121736,33867,26849,26730,87750,119,7137,-0.057649339554445685,-0.05901294604718407,-0.05624424985213906,60423,True,93,26,-0.057649339554445705,0.0
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,adaface-4df25b75e065b0b9ed43,3000,20,cosine_similarity,cosine_similarity,0.6924573183059692,0.27820036800946313,0.27569015025005017,0.28072458339106,2269,0.03755192559124836,0.1777799844430101,0.677521824836731,0.27525957810343693,0.2727576970893432,0.2777756423309424,2140,0.03541697697896496,0.1761084355295169,121736,33867,33509,31766,86126,1743,2101,-0.002940789906026155,-0.0038854570546099755,-0.001921781560097262,60423,True,1240,503,-0.057649339554445705,0.05470854964841951
