compression_profile,search_mode,threshold_policy,target_fpir,side,quantile,score,threshold,score_space
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.5,0.6306175887584686,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.95,0.7778055518865585,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.99,0.8180058062076567,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.999,0.8528618738055229,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,1.0,0.8928828835487366,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.5,0.619291752576828,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.95,0.7561573088169098,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.99,0.7933453232049942,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.999,0.8257865357398986,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,1.0,0.859359085559845,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.5,0.6306175887584686,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.95,0.7778055518865585,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.99,0.8180058062076567,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.999,0.8528618738055229,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,1.0,0.8928828835487366,0.8176113367080688,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.5,0.619291752576828,0.7943065166473389,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.95,0.7561573088169098,0.7943065166473389,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.99,0.7933453232049942,0.7943065166473389,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.999,0.8257865357398986,0.7943065166473389,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,1.0,0.859359085559845,0.7943065166473389,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.5,0.6306175887584686,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.95,0.7778055518865585,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.99,0.8180058062076567,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.999,0.8528618738055229,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,1.0,0.8928828835487366,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.5,0.619291752576828,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.95,0.7561573088169098,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.99,0.7933453232049942,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.999,0.8257865357398986,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,1.0,0.859359085559845,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.5,0.6306175887584686,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.95,0.7778055518865585,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.99,0.8180058062076567,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.999,0.8528618738055229,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,1.0,0.8928828835487366,0.7799594402313232,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.5,0.619291752576828,0.7584589123725891,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.95,0.7561573088169098,0.7584589123725891,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.99,0.7933453232049942,0.7584589123725891,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.999,0.8257865357398986,0.7584589123725891,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,1.0,0.859359085559845,0.7584589123725891,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.5,0.6306175887584686,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.95,0.7778055518865585,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.99,0.8180058062076567,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.999,0.8528618738055229,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,1.0,0.8928828835487366,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.5,0.619291752576828,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.95,0.7561573088169098,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.99,0.7933453232049942,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.999,0.8257865357398986,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,1.0,0.859359085559845,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.5,0.6306175887584686,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.95,0.7778055518865585,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.99,0.8180058062076567,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.999,0.8528618738055229,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,1.0,0.8928828835487366,0.7557207345962524,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.5,0.619291752576828,0.7358126640319824,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.95,0.7561573088169098,0.7358126640319824,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.99,0.7933453232049942,0.7358126640319824,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.999,0.8257865357398986,0.7358126640319824,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,1.0,0.859359085559845,0.7358126640319824,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.5,0.6306175887584686,0.7210968732833862,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.95,0.7778055518865585,0.7210968732833862,cosine_similarity
