compression_profile,search_mode,threshold_policy,target_fpir,cohort,count,fixed_winner_drift_mean,selection_gain_mean,maximum_score_drift_mean,decomposition_max_abs_residual,selection_gain_min_raw
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,all_nonmated,121736,-0.013651276056547264,0.0034528152841722323,-0.010198460772375031,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa,0,,,,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_same_winner,0,,,,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_changed_winner,0,,,,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,all_nonmated,121736,-0.013651276056547264,0.0034528152841722323,-0.010198460772375031,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa,171,-0.016231245391999386,0.0023137783416143304,-0.013917467050385057,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_same_winner,130,-0.013925364597239826,8.465906254661294e-09,-0.01392535613133357,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_changed_winner,41,-0.02354257474123702,0.009650121849957009,-0.013892452891280011,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,all_nonmated,121736,-0.013651276056547264,0.0034528152841722323,-0.010198460772375031,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa,2,-0.0032543409180902927,0.0072619486165308444,0.004007607698440552,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_same_winner,1,0.0019863884039637014,-6.361682380884304e-08,0.0019863247871398926,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_changed_winner,1,-0.008495070240144287,0.014523960849885498,0.006028890609741211,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,all_nonmated,121736,-0.013651276056547264,0.0034528152841722323,-0.010198460772375031,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa,627,-0.013128038061286755,0.002620535722183747,-0.010507502339103005,0.0,-5.413016426203399e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_same_winner,479,-0.0105494473996197,-5.681698431615968e-09,-0.010549453081318133,0.0,-5.413016426203399e-07
