compression_profile,search_mode,threshold_policy,target_fpir,cohort,count,fixed_winner_drift_mean,selection_gain_mean,maximum_score_drift_mean,decomposition_max_abs_residual,selection_gain_min_raw
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa,0,,,,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_same_winner,0,,,,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_changed_winner,0,,,,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa,167,-0.013832671551877748,0.001299227778299723,-0.012533443773578026,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_same_winner,136,-0.012779811605243468,7.558854147180102e-10,-0.012779810849358053,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_changed_winner,31,-0.0184516700274346,0.006999062457278624,-0.011452607570155975,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa,0,,,,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_same_winner,0,,,,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_changed_winner,0,,,,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa,516,-0.010907552881984722,0.0027004613545929487,-0.008207091527391774,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_same_winner,364,-0.008263867375996598,-5.007718433758856e-09,-0.008263872383715032,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_changed_winner,152,-0.01723848396211418,0.009167367643285997,-0.00807111631882818,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa,11,0.0020746982476941996,0.0034112699086001896,0.005485968156294389,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa_same_winner,7,0.005374369743110309,2.7807200098095564e-08,0.005374397550310407,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa_changed_winner,4,-0.0036997268692839924,0.00938094358605035,0.005681216716766357,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa,948,-0.008547144894368338,0.0023248831732965236,-0.006222261721071815,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa_same_winner,699,-0.005989237173402077,-3.0452393417288018e-09,-0.00598924021864142,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa_changed_winner,249,-0.015727777412261574,0.008851370991596,-0.0068764064206655725,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa,69,0.0014478103764484595,0.004360734819089605,0.005808545195538065,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa_same_winner,45,0.006155739403641376,1.2407492115211009e-08,0.00615575181113349,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa_changed_winner,24,-0.007379556549538258,0.012537089340834898,0.005157532791296641,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa,1747,-0.00658267635128263,0.003010496362633351,-0.003572179988649278,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_same_winner,1192,-0.003359076874195527,8.634946868273851e-10,-0.0033590760107008403,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_changed_winner,555,-0.013506154867837268,0.009476281290513148,-0.00402987357732412,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa,162,0.0032544222135394226,0.004403786380370701,0.007658208593910123,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_same_winner,110,0.007340745245979411,3.4975980253451864e-09,0.007340748743577437,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_changed_winner,52,-0.00538972266277594,0.01371948094008213,0.00832975827730619,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa,2073,-0.004174424530204894,0.003245463972938019,-0.0009289605572668757,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_same_winner,1417,-0.0009177269579696616,-1.7615599258430373e-09,-0.0009177287195295873,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_changed_winner,656,-0.011209089865353256,0.010255867853705683,-0.0009532220116475733,0.0,-5.598076313617639e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa,2,-0.011384136699467362,0.020972080253391923,0.00958794355392456,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_same_winner,0,,,,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_changed_winner,2,-0.011384136699467362,0.020972080253391923,0.00958794355392456,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa,232,-0.018607926110158133,0.004491476250522549,-0.014116449859635583,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_same_winner,150,-0.013901714259697858,1.2888822817173443e-08,-0.013901701370875041,0.0,-5.308997366171297e-07
