dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_left,angular_error_rad,9122,1674,0.003351575728063163,0.95,-0.016329577327670652,0.023054938203082406,500
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_left,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_left,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_left,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_left,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_right,angular_error_rad,9122,1674,0.0004095824951435566,0.95,-0.018053558470122615,0.020380451199845388,500
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_right,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_right,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_right,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_top_right,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_left,angular_error_rad,9122,1674,0.01213851533025245,0.95,-0.006106301755515735,0.03159327999744569,500
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_left,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_left,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_left,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_left,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_right,angular_error_rad,9122,1674,-0.011344818833103475,0.95,-0.030633341681375596,0.006212922606573345,500
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_right,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_right,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_right,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,quadrant_bottom_right,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_eye_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_eye_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_eye_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_eye_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_eye_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_eye_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_eye_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_eye_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_eye_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_eye_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,nose_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,nose_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,nose_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,nose_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,nose_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,mouth_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,mouth_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,mouth_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,mouth_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,mouth_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_cheek_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_cheek_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_cheek_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_cheek_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_cheek_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_cheek_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_cheek_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_cheek_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_cheek_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,right_cheek_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,jaw_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,jaw_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,jaw_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,jaw_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,jaw_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,outside_face_attention,angular_error_rad,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,outside_face_attention,reconstruction_mse,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,outside_face_attention,top1_score_drift,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,outside_face_attention,agreement_with_origin,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,outside_face_attention,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_entropy,angular_error_rad,9122,1674,0.0015796618951475958,0.95,-0.01941389494080008,0.02296326156429445,500
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_entropy,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_entropy,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_entropy,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_entropy,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,maximum_region_concentration,angular_error_rad,9122,1674,-0.0027834972849950764,0.95,-0.02239028090537221,0.016525020244947133,500
lfw,arcface-7972a704552df378345f,origin,origin_512,maximum_region_concentration,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,maximum_region_concentration,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,maximum_region_concentration,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,maximum_region_concentration,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_right_asymmetry,angular_error_rad,9122,1674,-0.0020630895619124447,0.95,-0.02256142277830712,0.016026343958518714,500
lfw,arcface-7972a704552df378345f,origin,origin_512,left_right_asymmetry,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_right_asymmetry,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_right_asymmetry,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,left_right_asymmetry,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_x,angular_error_rad,9122,1674,-0.013870468622985665,0.95,-0.03350951939148873,0.0037691627014054753,500
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_x,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_x,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_x,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_x,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_y,angular_error_rad,9122,1674,-0.0015082081706739759,0.95,-0.02182518980146594,0.021773804296973676,500
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_y,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_y,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_y,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_center_y,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_spread,angular_error_rad,9122,1674,0.0019488147483866878,0.95,-0.01732962392755422,0.022707310337994443,500
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_spread,reconstruction_mse,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_spread,top1_score_drift,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_spread,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,origin,origin_512,saliency_spread,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,9122,1674,-0.0129407196326667,0.95,-0.08151459588463321,0.040544330231477715,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,9122,1674,-0.012940479773675169,0.95,-0.08203469822458138,0.04782560956520096,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,top1_score_drift,9122,1674,0.016393003775631527,0.95,-0.002953876715432945,0.036063025693384224,500
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,agreement_with_origin,9122,1674,,0.95,,,0
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,threshold_crossing,0,0,,0.95,,,0
lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,9122,1674,-0.07304270358646511,0.95,-0.1245820411533809,-0.017893359336904755,500
